id,line,J_late,J_norm,joint_makespan_s,total_energy_kwh,transport_sorties,relay_sorties,combined_archive_nondominated,line_archive_nondominated
A03_Q3_001,OWN_GENERATED,43657.351915389074,0.5888172625200164,9617.668097477275,64.43824149398257,19,7,True,True
A03_Q3_002,OWN_GENERATED,43657.351915389074,0.6205754100118838,11082.025158389133,64.36460467039059,19,7,False,False
A03_Q3_002_CC,OWN_GENERATED,43657.351915389074,0.6018996691690528,9617.668097477275,64.3646046713906,19,7,True,True
A11_Q3_001,OWN_GENERATED,0.0,0.4673434992897176,7191.5822294705995,70.46423541987247,25,5,True,True
A11_Q3_002,OWN_GENERATED,0.0,0.4868831080440261,7369.003090567623,70.3673689861658,25,6,True,True
A11_Q3_003,OWN_GENERATED,13889.492384050165,0.5762426330412276,11082.025158389133,70.33280687776555,25,5,False,False
A11_Q3_003_CC,OWN_GENERATED,3408.6210139019167,0.49236430295375977,7117.713587814491,70.33280687876555,25,5,True,True
A11_Q3_004,OWN_GENERATED,0.0,0.548183260491938,11082.025158389133,70.3356858741178,25,5,False,False
A11_Q3_004_CC,OWN_GENERATED,0.0,0.5242431369620049,7940.428839949525,70.3356858751178,25,5,True,True
A11_Q3_005,OWN_GENERATED,72924.65496876868,0.5719354190111585,11082.025158389133,70.33095800953447,25,5,False,False
A11_Q3_005_CC,OWN_GENERATED,1102.880476593782,0.5436517291413926,7838.813577718189,70.33095801053447,25,5,True,True
AN01_Q3_001,OWN_GENERATED,0.0,0.49480710835552044,9765.405180051526,70.46343545805483,25,6,False,False
AN01_Q3_001_CC,OWN_GENERATED,0.0,0.49357134168401784,8744.681681657115,70.1657244376898,25,6,True,True
B01_Q3_001,EXTERNAL_CONTROL,0.0,0.5148505256657516,8173.843850264619,69.74940746450218,24,6,True,True
B01_Q3_002,EXTERNAL_CONTROL,0.0,0.5267819826347152,7995.553591968153,69.69906853150452,24,6,False,False
B01_Q3_002_CC,EXTERNAL_CONTROL,0.0,0.5235307022987569,7995.553591968153,69.69906853150452,24,6,True,True
B01_Q3_003,EXTERNAL_CONTROL,23218.468734022354,0.5718723790407687,11082.025158389133,69.69816134749905,24,6,False,False
B01_Q3_003_CC,EXTERNAL_CONTROL,23218.468734022354,0.5406526363204172,7995.553591968153,69.69816134849906,24,6,True,True
B02_Q3_001,EXTERNAL_CONTROL,3597.4676152360007,0.5455945721715137,9487.211286461375,65.18770803497881,21,5,True,True
B02_Q3_002,EXTERNAL_CONTROL,29620.73128509657,0.5476554504294565,9573.30215819571,65.06087675997652,21,6,True,True
B02_Q3_003,EXTERNAL_CONTROL,3597.4676152360007,0.5493983397872052,9441.146500171366,65.34386844661739,21,6,True,True
