site_id,task_ids,preparation_start_s,takeoff_s,arrival_s,setup_start_s,service_start_s,service_end_s,return_s,uav_available_s,energy_ready_s,charge_duration_s,return_soc,outbound_time_s,return_time_s,flight_energy_kwh,setup_energy_kwh,active_communication_s,idle_hover_s,active_energy_kwh,idle_energy_kwh,total_energy_kwh,energy_margin_kwh,service_windows,relay_id,energy_component_id,relay_sortie_id
E52_cdef0b479e00ae29ebd83132,"[""P01_GAMMA04_M001_00"", ""P01_GAMMA04_M004_00"", ""P01_GAMMA04_M007_00"", ""P01_GAMMA04_M008_00""]",0.0,180.0,700.0071121141804,700.0071121141804,730.0071121141804,2462.5418956544427,3017.0852051766633,3317.0852051766633,3858.9170734138584,841.8318682371951,0.7370524090483115,520.0071121141804,554.5433095222207,0.3028799960747676,0.009166666666666667,1732.5347835402622,0.0,0.5293856283039691,0.0,0.8414322910454033,1.7185677089545972,"[[730.0071121141804, 2462.5418956544427]]",R01,REC-01,Q3E8_G04_001_R001
E52_c0294c7ff44d44fc4ede8d97,"[""P01_GAMMA04_M002_00"", ""P01_GAMMA04_M002_01"", ""P01_GAMMA04_M002_02"", ""P01_GAMMA04_M002_03"", ""P01_GAMMA04_M002_04"", ""P01_GAMMA04_M005_00""]",147.97966974075575,327.97966974075575,644.6875,644.6875,674.6875,1660.625,2019.5820632507807,2319.5820632507807,2713.2295520982216,693.6474888474409,0.8510403931942763,316.70783025924425,358.9570632507807,0.16644027302831577,0.009166666666666667,971.90625,14.03125,0.2969713541666667,0.004092447916666667,0.4766707417783158,2.083329258221685,"[[674.6875, 1231.90625], [1245.9375, 1660.625]]",R02,REC-02,Q3E8_G04_001_R002
E52_be79b94db4a0a5b6faaed631,"[""P01_GAMMA04_M003_00"", ""P01_GAMMA04_M006_00""]",2319.5820632507807,2499.5820632507807,2938.868195339162,2938.868195339162,2968.868195339162,3691.930695339162,4184.852936843234,4484.852936843234,4873.832612602772,688.9796757595387,0.8546310186465086,439.28613208838135,492.92224150407145,0.23507830977561708,0.009166666666666667,723.0625,0.0,0.22093576388888891,0.0,0.4651807403311726,2.094819259668828,"[[2968.868195339162, 3691.930695339162]]",R02,REC-03,Q3E8_G04_001_R003
E52_3875f0f2b8e39572338b498b,"[""P01_GAMMA04_M012_00"", ""P01_GAMMA04_M013_00"", ""P01_GAMMA04_M014_00"", ""P01_GAMMA04_M014_01"", ""P01_GAMMA04_M014_02"", ""P01_GAMMA04_M014_03"", ""P01_GAMMA04_M014_04"", ""P01_GAMMA04_M015_00"", ""P01_GAMMA04_M016_00""]",5573.362510127033,5753.362510127033,6183.805533450047,6183.805533450047,6213.805533450047,7514.089758281448,7985.9174338057965,8285.917433805796,8748.286567498099,762.3691336923022,0.7981775894674599,430.443023323014,471.8276755243487,0.23983909257274777,0.009166666666666667,1265.5,34.784224831400934,0.3866805555555556,0.010145398909158606,0.6458317137041286,1.914168286295872,"[[6213.805533450047, 7009.743033450047], [7016.496008281448, 7041.839758281448], [7049.339758281448, 7460.683508281448], [7468.214758281448, 7493.527258281448], [7506.527258281448, 7514.089758281448]]",R01,REC-06,Q3E8_G04_001_R006
E52_2e64690809088e2a96fb2160,"[""P01_GAMMA04_M009_00"", ""P01_GAMMA04_M011_00""]",4484.852936843234,4664.852936843234,5188.6318661626565,5188.6318661626565,5218.6318661626565,6174.8818661626565,6725.82699268667,7025.82699268667,7474.820264362284,748.9932716756148,0.8084667140956809,523.7789293194231,550.945126524013,0.31155234822715455,0.009166666666666667,956.25,0.0,0.2921875,0.0,0.6129065148938212,1.9470934851061794,"[[5218.6318661626565, 6174.8818661626565]]",R02,REC-05,Q3E8_G04_001_R005
E52_246111a1ef063bec9e89ec9e,"[""P01_GAMMA04_M010_00""]",3317.0852051766637,3497.0852051766637,3910.198728460767,3910.198728460767,3940.198728460767,4820.292478460768,5273.362510127033,5573.362510127033,5979.764005388572,706.4014952615391,0.8412296190295853,413.11352328410356,453.07003166626504,0.22998101771643822,0.009166666666666667,880.0937500000005,0.0,0.26891753472222235,0.0,0.5080652191053272,2.0519347808946735,"[[3940.198728460767, 4820.292478460768]]",R01,REC-04,Q3E8_G04_001_R004
E52_cdef0b479e00ae29ebd83132,"[""P01_GAMMA04_M017_00"", ""P01_GAMMA04_M018_00"", ""P01_GAMMA04_M021_00"", ""P01_GAMMA04_M024_00"", ""P01_GAMMA04_M026_00"", ""P01_GAMMA04_M027_00""]",7025.82699268667,7205.82699268667,7725.83410480085,7725.83410480085,7755.83410480085,10465.657762688752,11020.201072210974,11320.201072210974,11980.445358764326,960.2442865533518,0.6459659334204986,520.0071121141804,554.5433095222207,0.3028799960747676,0.009166666666666667,2195.792406887902,514.0312510000003,0.6709365687713035,0.14992578154166677,1.1329090130544046,1.4270909869455959,"[[7755.83410480085, 8892.39660480085], [9406.42785580085, 10465.657762688752]]",R02,REC-02,Q3E8_G04_001_R007
E52_b60e4d2a4cdcd5801a5d757f,"[""P01_GAMMA04_M020_00"", ""P01_GAMMA04_M022_00"", ""P01_GAMMA04_M022_01"", ""P01_GAMMA04_M022_02"", ""P01_GAMMA04_M022_03"", ""P01_GAMMA04_M022_04"", ""P01_GAMMA04_M028_00""]",11320.201072210974,11500.201072210974,11808.461309813678,11808.461309813678,11838.461309813678,12492.461309813678,12838.08769833598,13138.08769833598,13489.98792867976,651.9002303437816,0.8831536689663219,308.26023760270465,345.626388522301,0.16519254750221457,0.009166666666666667,633.53125,20.46875,0.1935789930555556,0.005970052083333333,0.37390825930777016,2.1860917406922304,"[[11838.461309813678, 12439.086309813678], [12446.586309813678, 12471.930059813678], [12484.898809813678, 12492.461309813678]]",R02,REC-04,Q3E8_G04_001_R010
E52_aaa387ee3ee3170bd804334d,"[""P01_GAMMA04_M023_00""]",8285.917433805796,8465.917433805796,8729.439011688752,8729.439011688752,8759.439011688752,9312.407761688752,9611.63637183896,9911.63637183896,10234.054073346444,622.417701507484,0.9012035394432565,263.5215778829557,299.2286101502083,0.13801933350380158,0.009166666666666667,552.96875,0.0,0.1689626736111111,0.0,0.31614867378157935,2.243851326218421,"[[8759.439011688752, 9312.407761688752]]",R01,REC-01,Q3E8_G04_001_R008
E52_246111a1ef063bec9e89ec9e,"[""P01_GAMMA04_M019_00"", ""P01_GAMMA04_M025_00""]",9911.636371838958,10091.636371838958,10504.749895123063,10504.749895123063,10534.749895123063,11570.343645123063,12023.413676789327,12323.413676789327,12749.117689411978,725.7040126226502,0.8263815287518075,413.11352328410356,453.07003166626504,0.22998101771643822,0.009166666666666667,1035.59375,0.0,0.31643142361111115,0.0,0.5555791079942161,2.0044208920057844,"[[10534.749895123063, 11570.343645123063]]",R01,REC-03,Q3E8_G04_001_R009
