energy_component_id,relay_sortie_id,takeoff_s,return_s,soc_at_takeoff,return_soc,charge_start_s,charge_end_s,charge_duration_s
REC-01,Q3E8_G04_001_R001,180.0,3017.0852051766633,1.0,0.7370524090483115,3017.0852051766633,3858.9170734138584,841.8318682371951
REC-02,Q3E8_G04_001_R002,327.97966974075575,2019.5820632507807,1.0,0.8510403931942763,2019.5820632507807,2713.2295520982216,693.6474888474409
REC-03,Q3E8_G04_001_R003,2499.5820632507807,4184.852936843234,1.0,0.8546310186465086,4184.852936843234,4873.832612602772,688.9796757595387
REC-06,Q3E8_G04_001_R006,5753.362510127033,7985.9174338057965,1.0,0.7981775894674599,7985.9174338057965,8748.286567498099,762.3691336923022
REC-05,Q3E8_G04_001_R005,4664.852936843234,6725.82699268667,1.0,0.8084667140956809,6725.82699268667,7474.820264362284,748.9932716756148
REC-04,Q3E8_G04_001_R004,3497.0852051766637,5273.362510127033,1.0,0.8412296190295853,5273.362510127033,5979.764005388572,706.4014952615391
REC-02,Q3E8_G04_001_R007,7205.82699268667,11020.201072210974,1.0,0.6459659334204986,11020.201072210974,11980.445358764326,960.2442865533518
REC-04,Q3E8_G04_001_R010,11500.201072210974,12838.08769833598,1.0,0.8831536689663219,12838.08769833598,13489.98792867976,651.9002303437816
REC-01,Q3E8_G04_001_R008,8465.917433805796,9611.63637183896,1.0,0.9012035394432565,9611.63637183896,10234.054073346444,622.417701507484
REC-03,Q3E8_G04_001_R009,10091.636371838958,12023.413676789327,1.0,0.8263815287518075,12023.413676789327,12749.117689411978,725.7040126226502
