atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,construction_guard_s
F02_M003_G00,F02_M003_G00,F02,M003,747.8125,1603.84375,856.03125,0.0,2.0
F02_M004_G00,F02_M004_G00,F02,M004,814.03125,1755.65625,941.625,0.0,2.0
F02_M005_G00,F02_M005_G00,F02,M005,3798.9625,4731.55625,932.5937499999995,0.0,2.0
F02_M006_G00,F02_M006_G00,F02,M006,4714.0375,5758.88125,1044.84375,0.0,2.0
F02_M007_G00,F02_M007_G00,F02,M007,5001.18125,5845.65,844.46875,0.0,2.0
F02_M008_G00,F02_M008_G00,F02,M008,730.125,760.78125,30.65625,0.0,2.0
F02_M008_G01,F02_M008_G01,F02,M008,771.1875,1177.78125,406.59375,0.0,2.0
F02_M008_G02,F02_M008_G02,F02,M008,1188.15625,1218.84375,30.6875,0.0,2.0
F02_M009_G00,F02_M009_G00,F02,M009,4082.525,4113.18125,30.656249999999545,0.0,2.0
F02_M009_G01,F02_M009_G01,F02,M009,4123.5875,4560.18125,436.59375,0.0,2.0
F02_M009_G02,F02_M009_G02,F02,M009,4570.55625,4601.24375,30.6875,0.0,2.0
F02_M010_G00,F02_M010_G00,F02,M010,3823.0375,3848.38125,25.34375,0.0,2.0
F02_M010_G01,F02_M010_G01,F02,M010,3855.88125,4267.225,411.34375000000045,0.0,2.0
F02_M010_G02,F02_M010_G02,F02,M010,4274.75625,4300.1,25.34375,0.0,2.0
F02_M013_G00,F02_M013_G00,F02,M013,4368.91875,5253.29375,884.375,0.0,2.0
F02_M014_G00,F02_M014_G00,F02,M014,2432.41875,3346.79375,914.375,0.0,2.0
F02_M015_G00,F02_M015_G00,F02,M015,5353.05,5876.95625,523.90625,0.0,2.0
F02_M016_G00,F02_M016_G00,F02,M016,2763.2375,3148.675,385.4375,0.0,2.0
F02_M017_G00,F02_M017_G00,F02,M017,2042.9375,2458.375,415.4375,0.0,2.0
F02_M019_G00,F02_M019_G00,F02,M019,1953.64375,2754.64375,801.0000000000002,0.0,2.0
F02_M020_G00,F02_M020_G00,F02,M020,741.6875,1140.6875,399.0,0.0,2.0
F02_M021_G00,F02_M021_G00,F02,M021,2315.3125,2934.46875,619.15625,0.0,2.0
F02_M022_G00,F02_M022_G00,F02,M022,5382.65,5974.8375,592.1875,0.0,2.0
F02_M023_G00,F02_M023_G00,F02,M023,830.21875,1640.6875,810.46875,0.0,2.0
F02_M023_G01,F02_M023_G01,F02,M023,1677.375,2038.75,361.375,0.0,2.0
F02_M023_G02,F02_M023_G02,F02,M023,2049.125,2079.8125,30.6875,0.0,2.0
F02_M024_G00,F02_M024_G00,F02,M024,2878.79375,2929.8875,51.09375,0.0,2.0
F02_M024_G01,F02_M024_G01,F02,M024,2945.575,3519.66875,574.09375,0.0,2.0
