energy_component_id,relay_sortie_id,takeoff_s,return_s,soc_at_takeoff,return_soc,charge_start_s,charge_end_s,charge_duration_s
REC-01,L1_RESOURCE_ABLATION_R001,180.0,2212.131081984592,1.0,0.8206916617895988,2212.131081984592,2945.2319216581136,733.1008396735215
REC-02,L1_RESOURCE_ABLATION_R002,330.9505586261875,2422.7689519671535,1.0,0.8104075127225993,2422.7689519671535,3169.2391854277744,746.470233460621
REC-03,L1_RESOURCE_ABLATION_R003,2692.131081984592,3477.663770386646,1.0,0.9278836381092199,3477.663770386646,3931.9968502985603,454.33307991191447
REC-05,L1_RESOURCE_ABLATION_R005,3957.6637703866463,5808.870230464649,1.0,0.8327069404118278,5808.870230464649,6526.351207929272,717.4809774646238
REC-06,L1_RESOURCE_ABLATION_R006,6288.870230464649,7574.235843052803,1.0,0.8885216348286623,7574.235843052803,8219.157717775543,644.9218747227391
REC-04,L1_RESOURCE_ABLATION_R011,11019.537102400174,12713.407344308496,1.0,0.8495151164039935,12713.407344308496,13409.037692983306,695.6303486748085
REC-02,L1_RESOURCE_ABLATION_R008,8054.235843052803,9721.678896402134,1.0,0.8501257502369118,9721.678896402134,10416.51542109415,694.8365246920146
REC-05,L1_RESOURCE_ABLATION_R010,10201.678896402134,12195.208550856765,1.0,0.8191170520598928,12195.208550856765,12930.356383178905,735.1478323221394
REC-06,L1_RESOURCE_ABLATION_R012,12675.208550856765,13756.494803103811,1.0,0.8999749041942061,13756.494803103811,14386.527427651343,630.032624547532
REC-01,L1_RESOURCE_ABLATION_R007,7355.7019771494615,9179.26766890155,1.0,0.8360219199923706,9179.26766890155,9892.439172911469,713.1715040099182
REC-04,L1_RESOURCE_ABLATION_R004,2902.7689519671535,6875.7019771494615,1.0,0.6403134839360716,6875.7019771494615,7843.294448032569,967.5924708831069
REC-03,L1_RESOURCE_ABLATION_R009,9659.26766890155,10539.537102400174,1.0,0.9188375947406238,10539.537102400174,11050.860255534244,511.3231531340702
