sortie_id,shift_s
M001,-0.0
M002,-0.0
M003,-0.0
M004,40.006007856634255
M005,-0.0
M006,-0.0
M007,442.4050088726435
M008,-73.05225184047049
M009,2610.8310036296025
M010,-4.970218779845593
M011,541.400772505061
M012,706.8481277158962
M013,5887.642014837324
M014,-4.970217779845592
M015,-1654.8593983215956
M016,-1495.5595259403467
M017,5400.97809265149
M018,-1495.5595249403466
M019,6174.570861872077
M020,5915.139508357348
M021,5493.999266334656
M022,5563.8097319026665
M023,999.5877187715747
M024,175.54383037696243
M025,274.1723234809069
M026,834.2599429576863
M027,475.3773487827002
M028,903.9025485291388
