relay_id,relay_sortie_id,busy_start_s,return_s,busy_end_s,turnaround_s
R01,L1_RESOURCE_ABLATION_R001,0.0,2212.131081984592,2512.131081984592,300.0
R02,L1_RESOURCE_ABLATION_R002,150.9505586261875,2422.7689519671535,2722.7689519671535,300.0
R01,L1_RESOURCE_ABLATION_R003,2512.131081984592,3477.663770386646,3777.663770386646,300.0
R01,L1_RESOURCE_ABLATION_R005,3777.6637703866463,5808.870230464649,6108.870230464649,300.0
R01,L1_RESOURCE_ABLATION_R006,6108.870230464649,7574.235843052803,7874.235843052803,300.0
R02,L1_RESOURCE_ABLATION_R011,10839.537102400174,12713.407344308496,13013.407344308496,300.0
R01,L1_RESOURCE_ABLATION_R008,7874.235843052803,9721.678896402134,10021.678896402134,300.0
R01,L1_RESOURCE_ABLATION_R010,10021.678896402134,12195.208550856765,12495.208550856765,300.0
R01,L1_RESOURCE_ABLATION_R012,12495.208550856765,13756.494803103811,14056.494803103811,300.0
R02,L1_RESOURCE_ABLATION_R007,7175.7019771494615,9179.26766890155,9479.26766890155,300.0
R02,L1_RESOURCE_ABLATION_R004,2722.7689519671535,6875.7019771494615,7175.7019771494615,300.0
R02,L1_RESOURCE_ABLATION_R009,9479.26766890155,10539.537102400174,10839.537102400174,300.0
