battery_id,sortie_id,takeoff_s,return_s,return_soc,energy_ready_s,charge_duration_s
BAT-C-04,M001,2587.8120186387077,3601.9824105176726,0.6353055079653442,5225.487143259426,1623.5047327417542
BAT-C-02,M002,570.0,1692.170391878965,0.6255321544315746,3336.8507239438864,1644.6803320649215
BAT-A-04,M003,360.0,2003.7375242139126,0.32918662148352795,3375.794916285326,1372.0573920714135
BAT-C-01,M004,480.0,2107.812018638708,0.26837108934177256,4526.341325064868,2418.5293064261596
BAT-B-03,M005,5914.982566535064,7575.525664810946,0.33621457570038105,9392.753733596952,1817.2280687860061
BAT-C-03,M006,2509.662839821701,4465.773984158781,0.2628610718370119,6896.241661845255,2430.4676776864744
BAT-C-02,M007,4665.393148918374,6486.454215511538,0.23088787400035304,8986.19715517744,2499.7429396659018
BAT-B-02,M008,7935.525664810945,9091.70052678253,0.5289307885048932,10574.887160040715,1483.1866332581853
BAT-B-02,M009,4330.174398918374,5486.349260889958,0.5413734475155271,6947.9686185297105,1461.619357639753
BAT-A-03,M010,5442.201316535064,6774.397568153189,0.5285988724357911,7887.219033986661,1112.8214658334716
BAT-A-01,M011,360.0,1313.485266596983,0.6984373007190467,2205.5167756622222,892.0315090652392
BAT-B-01,M012,360.0,1207.276912821857,0.7154664089004564,2367.135137394399,1159.8582245725422
BAT-A-02,M013,2755.3603023465503,3708.845568943533,0.7085441999392076,4587.738109022564,878.8925400790301
BAT-A-01,M014,2487.5378398217017,3824.97316249534,0.5838850844250048,4865.922552742833,1040.9493902474937
BAT-A-03,M015,360.0,1727.4353226736384,0.5620247582009279,2796.8031370124318,1069.3678143387936
BAT-A-02,M016,360.0,1727.4353226736384,0.5939038617900676,2755.3603023465503,1027.924979672912
BAT-C-01,M017,5457.857566535064,7207.569651127238,0.2704970459512557,9621.49271823285,2413.923067105613
BAT-B-01,M018,7453.150664810945,8621.592912205353,0.4759473657320945,10196.617478269722,1575.0245660643693
BAT-A-06,M019,2333.7375242139096,3598.596922535505,0.57304103759146,4653.643573666607,1055.046651131102
BAT-A-05,M020,1918.3000242139096,3213.159422535505,0.5794613551551151,4259.859660833856,1046.7002382983503
BAT-B-01,M021,3984.520968832925,4782.944618944526,0.7315165686977672,5914.982566535064,1132.037947590537
BAT-B-03,M022,1991.3937742139096,3524.1283301839926,0.31191138952446495,5383.48192167492,1859.3535914909273
BAT-B-02,M023,390.0,1510.4702802929446,0.5438204341741839,2967.8481943910256,1457.3779140980812
BAT-B-04,M024,2114.7687742139096,3594.520968832926,0.4649242488096277,5188.652270896238,1594.131302063312
BAT-B-04,M025,5464.732566535064,6903.0211505555135,0.4231438038602314,8569.571890531111,1666.5507399755988
