sortie_id,uav_type,uav_id,preparation_start_s,return_s
R001,A,U01,0.0,1250.9011452645589
R002,A,U02,0.0,1250.9011452645589
R003,C,U07,0.0,1560.170391878965
R004,A,U04,0.0,1250.9011452645589
R005,A,U01,1250.9011452645589,2501.8022905291177
R006,A,U03,0.0,2003.7375242139128
R007,C,U08,0.0,2107.812018638708
R008,C,U08,4076.341325064868,6427.775436931246
R009,B,U05,3425.1290970653554,5490.453872587332
R010,C,U07,3449.488979363579,5750.550045956742
R011,C,U07,5750.550045956742,7627.745204152284
R012,C,U08,2107.812018638708,3669.371544579055
R013,C,U07,1560.170391878965,3449.488979363579
R014,B,U06,3429.1791119791733,5331.021419146217
R015,B,U05,5490.453872587332,7452.296179754376
R016,B,U05,7452.296179754376,9010.738427148784
R017,B,U05,0.0,1555.376902446339
R018,B,U06,7157.9467300546885,8343.418382282174
R019,B,U06,1507.8256880077884,3429.1791119791733
R020,B,U06,0.0,1507.8256880077884
R021,B,U05,1555.376902446339,3425.1290970653554
R022,B,U06,5331.021419146217,7157.946730054688
