sortie_id,uav_type,battery_id,takeoff_s,return_s,return_soc,battery_ready_s
R001,A,BAT-A-01,360.0,1250.9011452645589,0.7150389759477327,2121.350476532506
R002,A,BAT-A-02,360.0,1250.9011452645589,0.7150389759477327,2121.350476532506
R003,C,BAT-C-01,510.0,1560.170391878965,0.6353055079653442,3183.6751246207186
R004,A,BAT-A-04,360.0,1250.9011452645589,0.7243768086677039,2109.2112939965436
R005,A,BAT-A-05,1610.9011452645589,2501.8022905291177,0.7243768086677039,3360.1124392611023
R006,A,BAT-A-03,360.0,2003.7375242139128,0.32918662148352795,3375.7949162853265
R007,C,BAT-C-02,480.0,2107.812018638708,0.26837108934177256,4526.341325064867
R008,C,BAT-C-02,4526.341325064868,6427.775436931246,0.28033748550753956,8820.37755166491
R009,B,BAT-B-01,3815.1290970653554,5490.453872587332,0.3065459999403699,7359.10747269069
R010,C,BAT-C-01,3929.488979363579,5750.550045956742,0.23088787400035304,8250.292985622644
R011,C,BAT-C-04,6230.550045956742,7627.745204152284,0.4722281495612677,9604.584213436203
R012,C,BAT-C-04,2587.812018638708,3669.371544579055,0.6752529517883454,5206.323482370973
R013,C,BAT-C-03,2010.170391878965,3449.488979363579,0.574527676432511,5204.679013759805
R014,B,BAT-B-02,3789.1791119791733,5331.021419146217,0.3091418530572285,7195.175540513687
R015,B,BAT-B-03,5880.453872587332,7452.296179754376,0.2561979088099089,9408.219804483866
R016,B,BAT-B-01,7842.296179754376,9010.738427148784,0.4759473657320945,10585.762993213153
R017,B,BAT-B-01,390.0,1555.376902446339,0.5442135670880817,3012.0733861603303
R018,B,BAT-B-02,7547.9467300546885,8343.418382282174,0.7318116502132994,9474.944855245789
R019,B,BAT-B-04,1897.8256880077884,3429.1791119791733,0.31204944738877405,5288.293403171965
R020,B,BAT-B-02,390.0,1507.8256880077884,0.5440847874461384,2964.7453897678147
R021,B,BAT-B-03,1945.376902446339,3425.1290970653554,0.4649242488096277,5019.260399128667
R022,B,BAT-B-04,5721.021419146217,7157.946730054688,0.42328007655139144,8824.261264032275
