uav_id,sortie_id,busy_start_s,busy_end_s
U01,M001,0.0,1250.9011452645589
U02,M002,0.0,1250.9011452645589
U03,M003,0.0,1250.9011452645589
U05,M004,0.0,1555.376902446339
U06,M005,1869.7522046190134,3791.1056285903983
U07,M006,1561.5595359403524,3121.7299278193173
U08,M007,0.0,2107.812018638708
U05,M008,1555.3769124463142,3063.2026004541026
U08,M009,2107.8120286386984,4709.132797021228
U06,M010,0.0,1869.7521946190163
U07,M011,0.0,1561.5595259403467
U05,M012,3063.2026104540855,4965.04491762113
U07,M013,3121.7299378192984,4998.92509601484
U06,M014,5752.947955757379,7698.272731279355
U08,M015,4709.132807021204,7192.566918887581
U05,M016,4965.044927621115,6721.738861543026
U07,M017,4998.9251060148235,7299.986172607987
U06,M018,3791.1056385903353,5752.94794575738
U05,M019,8021.607590203377,9207.079242430864
U06,M020,7698.272741279331,9256.714988673739
U05,M021,6721.738871543028,7870.8403933861855
