sortie_id,battery_id,takeoff_s,return_s,return_soc,charge_duration_s,energy_ready_s
M024,BAT-B-04,5048.453716186355,6204.628578157939,0.5413734475155271,1461.619357639753,7666.247935797692
M022,BAT-B-04,2282.734555970077,3130.011468791934,0.7154664089004564,1159.8582245725422,4289.869693364476
M017,BAT-A-03,2701.559636619946,3966.4190349415417,0.57304103759146,1055.046651131102,5021.465686072644
M007,BAT-A-06,2087.435322673642,3731.1728468875544,0.32918662148352795,1372.0573920714135,5103.230238958968
M020,BAT-C-01,510.0,1560.170391878965,0.6353055079653442,1623.5047327417542,3183.675124620719
M023,BAT-B-01,3520.0114687919413,4688.45371618635,0.4759473657320945,1575.0245660643693,6263.4782822507195
M025,BAT-C-02,4446.281536216033,6195.993620808207,0.2704970459512557,2413.923067105613,8609.916687913821
M004,BAT-A-02,360.0,1313.485266596983,0.6984373007190467,892.0315090652392,2205.5167756622222
M006,BAT-A-04,4091.1728468875517,5993.8268690650875,0.31476007122585303,1390.8119074063911,7384.638776471478
M009,BAT-A-02,2205.516775662225,3159.002042259208,0.7085441999392076,878.8925400790301,4037.8945823382383
M015,BAT-A-04,360.0,1727.4353226736384,0.5939038617900676,1027.924979672912,2755.3603023465503
M021,BAT-C-03,2040.1703918789572,3996.2815362160372,0.2628610718370119,2430.4676776864744,6426.749213902512
M018,BAT-A-05,1673.485266596981,3040.9205892706195,0.5620247582009279,1069.3678143387936,4110.288403609413
M002,BAT-B-03,5610.3767314814595,6408.800381593061,0.7315165686977672,1132.037947590537,7540.838329183598
M003,BAT-A-01,330.0,1667.4353226736384,0.5838850844250048,1040.9493902474937,2708.384712921132
M019,BAT-B-02,390.0,1922.734555970083,0.31191138952446495,1859.3535914909273,3782.0881474610105
M011,BAT-C-01,4213.982410517667,6035.04347711083,0.23088787400035304,2499.7429396659018,8534.786416776733
M008,BAT-A-01,4037.894582338253,5370.090833956378,0.5285988724357911,1112.8214658334716,6482.91229978985
M005,BAT-B-02,3782.088147461007,5220.376731481457,0.4231438038602314,1666.5507399755988,6886.927471457056
M016,BAT-B-03,1900.4702802929387,3380.222474911955,0.4649242488096277,1594.131302063312,4974.3537769752675
M013,BAT-C-02,540.0,1626.170391878965,0.6255321544315746,1644.6803320649215,3270.8507239438864
M014,BAT-A-02,4326.419034941544,5658.61528655967,0.5126740814551964,1133.5236941082449,6792.138980667914
M001,BAT-B-01,390.0,1510.4702802929446,0.5438204341741839,1457.3779140980812,2967.8481943910256
M012,BAT-A-03,360.0,1654.8593983215956,0.5794613551551151,1046.7002382983503,2701.559636619946
M010,BAT-C-04,2106.170391878957,3733.9824105176654,0.26837108934177256,2418.5293064261596,6152.511716943825
