solution_id,Gamma_C_db,J_late,J_norm,joint_makespan_s,transport_energy_kwh,relay_energy_kwh,total_energy_kwh,transport_sorties,relay_sorties,total_transport_shift_s,total_absolute_transport_shift_s,max_transport_shift_s,minimum_M_E_kwh
Q3E8_G04_001,4.0,909226.8680443967,0.9022469147633128,12838.08769833598,73.47077585529216,5.928632274996139,79.3994081302883,28,10,68637.97324279614,72963.2502272589,9353.711309813678,1.4270909869455959
Q3E8_G04_002,4.0,910917.3728271361,0.9030094953231417,12838.08769833598,73.47077585529216,5.926422848472352,79.39719870376452,28,10,68793.82027783987,73119.09726230263,9353.711309813678,1.4270909869455959
Q3E8_G04_003,4.0,955432.8145307745,0.9146069388966914,13332.751374563673,73.47077585529216,5.780214795003322,79.25099065029548,28,10,71073.95898937636,75840.40120862563,9077.30373704472,1.5087985999609976
Q3E8_G04_004,4.0,955432.8145307747,0.9149137854222208,13350.670862900633,73.47077585529216,5.773095505160943,79.2438713604531,28,10,70878.79601685486,75645.23823610412,9076.86301376199,1.5115529336696722
Q3E8_G04_005,4.0,955432.814530775,0.9149594973117232,13352.83574055452,73.47077585529216,5.763949883891107,79.23472573918326,28,10,70870.7062108851,75637.14843013434,9066.950152925776,1.5115228659244793
Q3E8_G04_006,4.0,1000929.6152227161,0.9219146448989296,13642.386664701304,73.47077585529216,5.731663356899072,79.20243921219124,28,10,70799.48986697065,75565.93208621991,8996.95969960405,1.5109475681933433
Q3E8_G04_007,4.0,1000929.6152227162,0.9261645310683134,13613.885701455905,73.47077585529216,5.743153584963035,79.2139294402552,28,10,73852.27350917194,78618.7157284212,10129.509312933566,1.5112718037163275
Q3E8_G04_008,4.0,1000929.6152227165,0.9271252132422769,13421.589084867961,73.47077585529216,5.726235598183524,79.19701145347568,28,10,73656.03479729171,78422.47701654097,9365.353662293457,1.5147124515502328
Q3E8_G04_009,4.0,1000929.6152227165,0.9276452584844479,14243.17183284256,73.47077585529216,5.709947147762924,79.18072300305508,28,10,73744.91321634594,78511.35543559521,9133.076506287094,1.509913462996384
Q3E8_G04_010,4.0,1000929.6152227168,0.9220911893997689,13235.405768366614,73.47077585529216,5.757044539155367,79.22782039444753,28,10,71545.61278836986,76312.05500761913,9072.294642118859,1.5112718037163275
