battery_id,sortie_id,takeoff_s,return_s,return_soc,energy_ready_s,charge_duration_s
BAT-C-02,M001,540.0,1626.170391878965,0.6255321544315746,3270.8507239438864,1644.6803320649215
BAT-C-01,M002,510.0,1560.170391878965,0.6353055079653442,3183.675124620719,1623.5047327417542
BAT-A-02,M003,360.0,2003.7375242139126,0.32918662148352795,3375.794916285326,1372.0573920714135
BAT-C-03,M004,2040.1703918789651,3667.982410517673,0.26837108934177256,6086.511716943833,2418.5293064261596
BAT-B-04,M005,5997.352030679236,7687.895128955119,0.30502477739266864,9559.185514807827,1871.2903858527077
BAT-C-01,M006,4383.468465815643,6204.5295324088065,0.23088787400035304,8704.272472074708,2499.7429396659018
BAT-C-03,M007,7887.395128955119,9284.59028715066,0.4722281495612677,11261.42929643458,1976.83900928392
BAT-A-01,M008,360.0,1727.4353226736384,0.5620247582009279,2796.8031370124318,1069.3678143387936
BAT-B-02,M009,7761.176378955118,9303.018686122163,0.3091418530572285,11167.172807489633,1864.1541213674705
BAT-B-03,M010,5829.334071788074,7401.176378955118,0.2561979088099089,9357.100003684609,1955.9236247294914
BAT-B-01,M011,8077.895128955119,9246.337376349527,0.4759473657320945,10821.361942413896,1575.0245660643693
BAT-B-01,M012,390.0,1555.376902446339,0.5442135670880817,3012.073386160331,1456.696483713992
BAT-B-02,M013,4640.910421676473,5439.334071788074,0.7315165686977672,6571.37201937861,1132.037947590537
BAT-B-02,M014,390.0,1922.734555970083,0.31191138952446495,3782.0881474610105,1859.3535914909273
BAT-B-04,M015,2927.231526520194,4047.7018068131392,0.5438204341741839,5505.079720911221,1457.3779140980812
BAT-B-03,M016,1945.3769024463393,3425.1290970653554,0.4649242488096277,5019.260399128667,1594.131302063312
BAT-B-01,M017,3815.1290970653554,5253.417681085805,0.4231438038602314,6919.968421061404,1666.5507399755988
BAT-C-02,M018,6657.408714691101,8805.020861416457,0.2562931276534296,11249.719084834025,2444.698223417569
BAT-C-04,M019,2220.253564081332,4159.827723918089,0.44619914679421757,6193.062905863951,2033.2351819458618
