sortie_id,battery_id,takeoff_s,return_s,return_soc,charge_duration_s,energy_ready_s
M001,BAT-A-01,390.0,2536.7090851904422,0.24492959371010148,1481.591528176868,4018.3006133673102
M002,BAT-B-01,360.0,1985.3678928172935,0.36632566414611856,1765.0355154800613,3750.403408297355
M003,BAT-A-02,390.0,2129.1400323053044,0.5090979149332409,1138.172710586787,3267.3127428920916
M004,BAT-B-02,390.0,2032.4328321479334,0.3755774066651243,1748.9991617804512,3781.4319939283846
M005,BAT-A-03,360.0,2109.0828301758197,0.3203568490134049,1383.5360962825737,3492.6189264583936
M006,BAT-C-01,360.0,1969.2846571841203,0.5444584484750425,1820.3400283040746,3789.6246854881947
M007,BAT-C-02,450.0,1428.170391878965,0.7197092846766863,1440.629883200513,2868.8002750794776
M008,BAT-A-04,360.0,1612.1111816650089,0.5649083818765711,1065.6191035604575,2677.730285225466
M009,BAT-B-03,2315.3678928172935,3132.6448056391505,0.7334354819691629,1128.711831253451,4261.356636892601
M010,BAT-B-04,2422.4328321479334,4428.923739118466,0.21596908443618046,2025.6535869772872,6454.577326095753
M011,BAT-B-01,3750.403408297355,5519.902480920476,0.2910212309241609,1895.5631997314547,7415.465680651931
M012,BAT-A-05,1972.1111816650089,3874.765203842544,0.337339941623068,1361.4580758900115,5236.223279732556
M013,BAT-B-02,4788.923739118466,6197.212323138916,0.4823108550335087,1563.9945179419183,7761.206841080834
M014,BAT-A-06,2469.0828301758197,3801.2790817939454,0.5285988724357911,1112.8214658334716,4914.100547627417
M015,BAT-A-04,2677.730285225466,4006.3441599388543,0.49893332368114396,1151.386679214513,5157.730839153367
M016,BAT-A-02,3267.3127428920916,4129.339661895525,0.7439999486838502,832.8000667109948,4962.139728606519
M017,BAT-C-03,1878.170391878965,2856.34078375793,0.6599541709125436,1570.0992963561555,4426.4400801140855
M018,BAT-C-04,2449.28465718412,4077.0966758228283,0.23679822438654818,2486.937180495812,6564.03385631864
M019,BAT-C-02,3276.34078375793,4285.900309698276,0.709024318036301,1463.7806442546812,5749.680953952957
M020,BAT-C-01,4557.096675822828,6513.207820159908,0.2313121578433852,2498.823658005999,9012.031478165907
M021,BAT-C-03,4705.900309698276,6454.96137629144,0.3101913389002793,2327.9187657160614,8782.880142007501
M022,BAT-A-01,4161.279081793946,6248.816040095664,0.37949228629701004,1306.660027813887,7555.476067909551
M023,BAT-C-02,6814.96137629144,8164.536824127616,0.6233815417901765,1649.339992787951,9813.876816915566
M024,BAT-C-04,6873.207820159908,8514.919904752081,0.3383394176715302,2266.931261711685,10781.851166463766
M025,BAT-C-03,8782.880142007501,10108.075300203043,0.5266192194952495,1858.991691093626,11967.06699129667
M026,BAT-B-03,5849.902480920476,6955.279383366815,0.6211059515765082,1323.4163506007192,8278.695733967534
M027,BAT-B-04,6527.212323138916,7587.68260343186,0.6211002766043003,1323.4261872192128,8911.108790651073
M028,BAT-A-03,4204.765203842544,5065.666349107103,0.7363184376392633,842.7860310689576,5908.452380176061
M029,BAT-A-06,4914.100547627417,5775.001692891976,0.7382098677412959,840.3271719363153,6615.328864828291
M030,BAT-C-01,9012.031478165907,10617.743562758082,0.36288048929695926,2213.7589398565883,12831.50250261467
M031,BAT-B-01,7415.465680651931,8153.889330763532,0.7764359599206634,1054.17766947085,9208.067000234381
M032,BAT-B-02,7917.68260343186,9295.971187452311,0.5206450845946864,1497.548520035877,10793.519707488187
