atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,construction_guard_s
P0002_M001_G00,P0002_M001_G00,P0002,M001,2670.2254865325067,3373.2567365325067,703.03125,0.0,2.0
P0002_M002_G00,P0002_M002_G00,P0002,M002,3947.211487938197,4650.242737938197,703.03125,0.0,2.0
P0002_M005_G00,P0002_M005_G00,P0002,M005,2505.497035940347,3586.340785940347,1080.84375,0.0,2.0
P0002_M006_G00,P0002_M006_G00,P0002,M006,753.6875,1171.15625,417.46875,0.0,2.0
P0002_M007_G00,P0002_M007_G00,P0002,M007,2301.720662446339,3102.720662446339,801.0,0.0,2.0
P0002_M008_G00,P0002_M008_G00,P0002,M008,741.6875,1140.6875,399.0,0.0,2.0
P0002_M009_G00,P0002_M009_G00,P0002,M009,5774.80373581083,6306.99123581083,532.1875,0.0,2.0
P0002_M010_G00,P0002_M010_G00,P0002,M010,4184.861478416422,4708.767728416422,523.90625,0.0,2.0
P0002_M013_G00,P0002_M013_G00,P0002,M013,2278.201651878965,3183.826651878965,905.625,0.0,2.0
P0002_M014_G00,P0002_M014_G00,P0002,M014,2789.8000342139126,3189.4875342139126,399.6875,0.0,2.0
P0002_M017_G00,P0002_M017_G00,P0002,M017,747.8125,1603.84375,856.03125,0.0,2.0
P0002_M019_G00,P0002_M019_G00,P0002,M019,2315.282790292945,2934.439040292945,619.15625,0.0,2.0
P0002_M020_G00,P0002_M020_G00,P0002,M020,4889.858190277427,4915.201940277427,25.34375,0.0,2.0
P0002_M020_G01,P0002_M020_G01,P0002,M020,4922.701940277427,5541.951940277427,619.25,0.0,2.0
P0002_M020_G02,P0002_M020_G02,P0002,M020,5549.483190277427,5574.826940277427,25.34375,0.0,2.0
P0002_M021_G00,P0002_M021_G00,P0002,M021,4471.735366887551,5374.329116887551,902.59375,0.0,2.0
P0002_M022_G00,P0002_M022_G00,P0002,M022,2126.963655264559,2556.651155264559,429.6875,0.0,2.0
P0002_M023_G00,P0002_M023_G00,P0002,M023,5431.103796975273,6061.228796975273,630.125,0.0,2.0
P0002_M024_G00,P0002_M024_G00,P0002,M024,816.0625,1245.75,429.6875,0.0,2.0
P0002_M025_G00,P0002_M025_G00,P0002,M025,3335.6148105291177,3966.9898105291177,631.375,0.0,2.0
P0002_M026_G00,P0002_M026_G00,P0002,M026,4370.4511805176735,5326.7011805176735,956.25,0.0,2.0
P0002_M028_G00,P0002_M028_G00,P0002,M028,4657.968649537144,5483.999899537144,826.03125,0.0,2.0
