kind,task_id,block,start_s,end_s,source_resource_id,resource_id,group_id
TUAV_A,M006,2,0.0,1654.8593983215956,U02,G1-TUAV_A-01,G1
TUAV_A,M002,1,0.0,2121.7020521620752,U03,G1-TUAV_A-02,G1
TUAV_A,M001,2,0.0,2395.0848798156608,U04,G1-TUAV_A-03,G1
TUAV_A,M025,1,2395.874375642982,4316.3139110946795,U01,G1-TUAV_A-01,G1
TUAV_A,M020,1,2633.7545487074995,4346.3139110946795,U02,G1-TUAV_A-02,G1
TUAV_A,M013,3,5245.605118084892,6934.21899279828,U03,G1-TUAV_A-01,G1
TUAV_B,M003,2,0.0,1869.7521946190163,U05,G1-TUAV_B-01,G1
TUAV_B,M004,1,40.006007856634255,1796.699941778546,U06,G1-TUAV_B-02,G1
TUAV_B,M008,0,1796.6999427785458,3005.8014646217034,U06,G1-TUAV_B-02,G1
TUAV_B,M007,2,2586.7677962152607,4034.593484223049,U05,G1-TUAV_B-01,G1
TUAV_B,M011,2,3103.883497682328,5025.53150885557,U06,G1-TUAV_B-02,G1
TUAV_B,M010,1,4034.593485223049,6099.918260745026,U05,G1-TUAV_B-01,G1
TUAV_B,M012,3,5190.978864066406,7017.904174974877,U06,G1-TUAV_B-02,G1
TUAV_B,M014,1,6099.918261745025,7616.093123716609,U05,G1-TUAV_B-01,G1
TUAV_B,M023,2,8081.454162977895,9516.831065424234,U06,G1-TUAV_B-01,G1
TUAV_B,M024,2,8089.346761929096,9890.700185900481,U05,G1-TUAV_B-02,G1
TUAV_B,M026,0,9516.831066424234,10605.93258826739,U06,G1-TUAV_B-01,G1
TUAV_B,M027,3,10605.93258926739,12044.374836661798,U06,G1-TUAV_B-01,G1
TUAV_C,M016,0,0.0,1494.170391878965,U07,G1-TUAV_C-01,G1
TUAV_C,M005,1,0.0,1495.5595259403467,U08,G1-TUAV_C-02,G1
TUAV_C,M018,0,1494.170392878965,2922.340784757929,U07,G1-TUAV_C-01,G1
TUAV_C,M017,1,2630.6913428804282,4738.503361519136,U08,G1-TUAV_C-02,G1
TUAV_C,M009,1,2922.3407857579296,5122.052870350104,U07,G1-TUAV_C-01,G1
TUAV_C,M019,1,4738.503362519136,7089.937474385513,U08,G1-TUAV_C-02,G1
TUAV_C,M021,2,7122.4196259311675,9291.480692524332,U07,G1-TUAV_C-01,G1
