sortie_id,shift_s
M001,1692.170391878965
M002,-2107.8120286387084
M003,-0.0
M004,-0.0
M005,626.5627022313456
M006,613.6416167597433
M007,497.58182791092054
M008,343.0501461546901
M009,2325.4969844784346
M010,-43.50070179360955
M011,-562.9825056705372
M012,-0.0
M013,-0.0
M014,562.9825452660916
M015,-0.0
M016,-0.0
M017,-208.98129336774946
M018,-61.83258378825053
M019,-9.999999974752427e-06
M020,-9.999999974752427e-06
M021,-250.21102612002073
M022,-9.999999974752427e-06
M023,-0.0
M024,-9.999999974752427e-06
M025,-957.1339098253493
