relay_id,relay_sortie_id,busy_start_s,return_s,busy_end_s,turnaround_s
R01,Q3E8_G04_005_R001,17.71163788581964,3034.7968430624833,3334.7968430624833,300.0
R02,Q3E8_G04_005_R002,147.97966974075575,2019.5820632507807,2319.5820632507807,300.0
R02,Q3E8_G04_005_R003,2319.5820632507807,4184.852936843234,4484.852936843234,300.0
R01,Q3E8_G04_005_R006,5836.648412304946,7985.9174338057965,8285.917433805796,300.0
R02,Q3E8_G04_005_R005,4484.852936843234,6725.82699268667,7025.82699268667,300.0
R01,Q3E8_G04_005_R004,3580.3711073545774,5536.648412304946,5836.648412304946,300.0
R02,Q3E8_G04_005_R007,7025.82699268667,10733.439915323072,11033.439915323072,300.0
R02,Q3E8_G04_005_R009,11033.439915323072,12551.326541448077,12851.326541448077,300.0
R01,Q3E8_G04_005_R010,12027.116802521356,13352.83574055452,13652.83574055452,300.0
R01,Q3E8_G04_005_R008,9615.339497570985,11727.116802521354,12027.116802521354,300.0
