battery_id,sortie_id,takeoff_s,return_s,return_soc,energy_ready_s,charge_duration_s
BAT-A-02,M001,390.0,2395.0848798156608,0.31497288875810114,3785.620124430129,1390.5352446144684
BAT-A-01,M002,390.0,2121.7020521620752,0.5096948468400417,3259.0987512700212,1137.3966991079458
BAT-B-04,M003,2605.993195339162,4085.7453899581783,0.4649242488096277,5679.87669202149,1594.131302063312
BAT-B-01,M004,523.25,1919.9439339219116,0.39184802105606753,3640.740697424728,1720.7967635028162
BAT-C-01,M005,450.0,1495.5595259403467,0.6825660059946004,3016.666512952046,1521.1069870116992
BAT-A-03,M006,2661.618195339162,3956.4775936607575,0.5655978254576951,5021.200420565754,1064.7228269049965
BAT-B-03,M007,1714.166217462174,2801.991905469962,0.5648509250592085,4222.916968700667,1420.925063230705
BAT-B-02,M008,535.0646946190163,1354.166216462174,0.7315098080940781,2486.215882432439,1132.0496659702646
BAT-C-02,M009,4834.1631161626565,6583.875200754831,0.2704970459512557,8997.798267860444,2413.923067105613
BAT-B-02,M010,3819.9945971008547,5495.319372622831,0.3065459999403699,7363.97297272619,1868.653600103359
BAT-B-01,M011,4761.901488092357,6323.549499265598,0.3558775332408115,8106.695108314858,1783.1456090492602
BAT-B-03,M012,6112.759068730901,7549.684379639372,0.42328007655139144,9215.99891361696,1666.314533977588
BAT-A-05,M013,6216.27893562796,7544.892810341348,0.49893332368114396,8696.279489555862,1151.386679214513
BAT-B-04,M014,6683.549500265598,7839.724362237182,0.5571286202586379,9274.034753788876,1434.3103915516945
BAT-A-04,M015,6216.232083949555,7075.307005068875,0.7442656278118132,7907.761688913518,832.4546838446429
BAT-C-03,M016,6254.744711568306,7268.915103447272,0.6255321544315746,8913.595435512194,1644.6803320649215
BAT-C-01,M017,7748.915104447272,9376.72712308598,0.23679822438654818,11863.664303581792,2486.937180495812
BAT-C-04,M018,7533.501522620161,8511.671914499126,0.7113113807456068,9970.497256216977,1458.8253417178516
BAT-C-02,M019,9826.727124085972,11728.16123595235,0.28033748550753956,14120.763350686015,2392.6021147336646
BAT-A-01,M020,11115.564027639164,12468.123390026343,0.5634062291852384,13535.695292085533,1067.57190205919
BAT-C-03,M021,8931.671915499126,10680.73298209229,0.3101913389002793,13008.651747808352,2327.9187657160614
BAT-C-04,M022,11226.036529217216,12551.231687412757,0.5266192194952495,14410.223378506384,1858.991691093626
BAT-B-01,M023,12234.710484360045,13340.087386806383,0.6211059515765082,14663.503737407102,1323.4163506007192
BAT-B-02,M024,7879.684380639372,9351.037804610756,0.4277517932691962,11009.60136294415,1658.5635583333933
BAT-A-06,M025,9802.316496081681,11124.875858468862,0.5999396795696359,12144.954275028336,1020.0784165594735
BAT-B-01,M026,8169.724363237181,8928.825885080338,0.7622735018876424,10007.551815141758,1078.7259300614198
BAT-B-03,M027,9258.825886080338,10367.268133474747,0.5643934439844132,11788.986163901764,1421.7180304270173
BAT-B-04,M028,11332.375681171005,12067.847333398491,0.7766986776570728,13121.569625459564,1053.7222920610739
