node_id,time,x,y,z,mode,task_id,relay_id,phase_role
U07,2247.3,318686.2012849663,2545556.1393078705,127.7,prep,M001,,start
U07,2787.3,318686.2012849663,2545556.1393078705,127.7,climb,M001,,start
U07,2787.3,318686.2012849663,2545556.1393078705,127.7,prep,M001,,end
U07,2787.3,318686.2012849663,2545556.1393078705,127.7,takeoff,M001,,instant
U07,2845.442644042969,318686.2012849663,2545556.1393078705,273.0566101074219,climb,M001,,end
U07,2845.442644042969,318686.2012849663,2545556.1393078705,273.0566101074219,cruise,M001,,start
U07,3049.0418908857714,319988.599872737,2548318.494265952,273.0566101074219,cruise,M001,,end
U07,3049.0418908857714,319988.599872737,2548318.494265952,273.0566101074219,descent,M001,,start
U07,3093.5701959394823,319988.599872737,2548318.494265952,184.0,descent,M001,,end
U07,3093.5701959394823,319988.599872737,2548318.494265952,184.0,handover_start,M001,,start
U07,3561.5701959394823,319988.599872737,2548318.494265952,184.0,climb,M001,,start
U07,3561.5701959394823,319988.599872737,2548318.494265952,184.0,handover_end,M001,,end
U07,3597.192839982451,319988.599872737,2548318.494265952,273.0566101074219,climb,M001,,end
U07,3597.192839982451,319988.599872737,2548318.494265952,273.0566101074219,cruise,M001,,start
U07,3800.7920868252536,318686.2012849663,2545556.1393078705,273.0566101074219,cruise,M001,,end
U07,3800.7920868252536,318686.2012849663,2545556.1393078705,273.0566101074219,descent,M001,,start
U07,3873.4703918789646,318686.2012849663,2545556.1393078705,127.7,descent,M001,,end
U07,3873.4703918789646,318686.2012849663,2545556.1393078705,127.7,return,M001,,instant
U08,104.2,318686.2012849663,2545556.1393078705,127.7,prep,M002,,start
U08,614.2,318686.2012849663,2545556.1393078705,127.7,climb,M002,,start
U08,614.2,318686.2012849663,2545556.1393078705,127.7,prep,M002,,end
U08,614.2,318686.2012849663,2545556.1393078705,127.7,takeoff,M002,,instant
U08,672.3426440429688,318686.2012849663,2545556.1393078705,273.0566101074219,climb,M002,,end
U08,672.3426440429688,318686.2012849663,2545556.1393078705,273.0566101074219,cruise,M002,,start
U08,875.9418908857715,319988.599872737,2548318.494265952,273.0566101074219,cruise,M002,,end
U08,875.9418908857715,319988.599872737,2548318.494265952,273.0566101074219,descent,M002,,start
U08,920.4701959394824,319988.599872737,2548318.494265952,184.0,descent,M002,,end
U08,920.4701959394824,319988.599872737,2548318.494265952,184.0,handover_start,M002,,start
U08,1352.4701959394824,319988.599872737,2548318.494265952,184.0,climb,M002,,start
U08,1352.4701959394824,319988.599872737,2548318.494265952,184.0,handover_end,M002,,end
U08,1388.092839982451,319988.599872737,2548318.494265952,273.0566101074219,climb,M002,,end
U08,1388.092839982451,319988.599872737,2548318.494265952,273.0566101074219,cruise,M002,,start
U08,1591.6920868252537,318686.2012849663,2545556.1393078705,273.0566101074219,cruise,M002,,end
U08,1591.6920868252537,318686.2012849663,2545556.1393078705,273.0566101074219,descent,M002,,start
U08,1664.3703918789647,318686.2012849663,2545556.1393078705,127.7,descent,M002,,end
U08,1664.3703918789647,318686.2012849663,2545556.1393078705,127.7,return,M002,,instant
U05,1869.8,318686.2012849663,2545556.1393078705,127.7,prep,M003,,start
U05,2259.8,318686.2012849663,2545556.1393078705,127.7,climb,M003,,start
U05,2259.8,318686.2012849663,2545556.1393078705,127.7,prep,M003,,end
U05,2259.8,318686.2012849663,2545556.1393078705,127.7,takeoff,M003,,instant
U05,2320.218084716797,318686.2012849663,2545556.1393078705,308.9542541503906,climb,M003,,end
U05,2320.218084716797,318686.2012849663,2545556.1393078705,308.9542541503906,cruise,M003,,start
U05,2814.3052653007994,321607.1664922811,2552367.559439648,308.9542541503906,cruise,M003,,end
U05,2814.3052653007994,321607.1664922811,2552367.559439648,308.9542541503906,descent,M003,,start
U05,2850.0869669609556,321607.1664922811,2552367.559439648,219.5,descent,M003,,end
U05,2850.0869669609556,321607.1664922811,2552367.559439648,219.5,handover_start,M003,,start
U05,3090.0869669609556,321607.1664922811,2552367.559439648,219.5,climb,M003,,start
U05,3090.0869669609556,321607.1664922811,2552367.559439648,219.5,handover_end,M003,,end
U05,3119.9050516777525,321607.1664922811,2552367.559439648,308.9542541503906,climb,M003,,end
U05,3119.9050516777525,321607.1664922811,2552367.559439648,308.9542541503906,cruise,M003,,start
U05,3613.992232261755,318686.2012849663,2545556.1393078705,308.9542541503906,cruise,M003,,end
U05,3613.992232261755,318686.2012849663,2545556.1393078705,308.9542541503906,descent,M003,,start
U05,3686.4939339219113,318686.2012849663,2545556.1393078705,127.7,descent,M003,,end
U05,3686.4939339219113,318686.2012849663,2545556.1393078705,127.7,return,M003,,instant
U06,5032.0,318686.2012849663,2545556.1393078705,127.7,prep,M004,,start
U06,5422.0,318686.2012849663,2545556.1393078705,127.7,climb,M004,,start
U06,5422.0,318686.2012849663,2545556.1393078705,127.7,prep,M004,,end
U06,5422.0,318686.2012849663,2545556.1393078705,127.7,takeoff,M004,,instant
