sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag,source_uav_id,source_battery_id,group_id
M001,G1-TUAV_C-01,C,G1-TBAT_C-01,0.0,480.0,S001,1494.170391878965,2.995742764547403,3.4042572354525973,6,78.0,F13,U07,BAT-C-01,G1
M002,G1-TUAV_C-02,C,G1-TBAT_C-02,0.0,570.0,S001,1692.170391878965,2.917555936277246,3.4824440637227543,9,76.0,F13,U08,BAT-C-02,G1
M003,G2-TUAV_A-03,A,G2-TBAT_A-03,0.0,360.0,S002,2003.7375242139124,3.0186602033241243,0.5813397966758758,2,22.0,F13,U03,BAT-A-03,G2
M004,G2-TUAV_C-01,C,G2-TBAT_C-01,1494.2,1974.2,S002,3602.0120186387085,5.8530312852658195,0.5469687147341808,6,59.0,F13,U07,BAT-C-03,G2
M005,G2-TUAV_B-02,B,G2-TBAT_B-02,3792.6,4182.6,S003,5873.143098275883,2.7799008904293254,0.42009910957067476,3,25.0,F13,U06,BAT-B-02,G2
M006,G2-TUAV_C-02,C,G2-TBAT_C-04,3892.0,4372.0,S004,6193.061066593164,6.152897007997176,0.2471029920028247,6,59.0,F13,U08,BAT-C-02,G2
M007,G2-TUAV_A-02,A,G2-TBAT_A-06,4182.4,4542.4,S005,5874.596251618125,2.192966633451616,1.4070333665483843,2,22.0,F13,U02,BAT-A-05,G2
M008,G2-TUAV_B-01,B,G2-TBAT_B-03,4624.5,4984.5,S005,6140.674861971584,1.8345062099378917,1.3654937900621085,2,20.0,F13,U05,BAT-B-03,G2
M009,G2-TUAV_A-01,A,G2-TBAT_A-01,0.0,330.0,S006,1253.485266596983,1.2888670060198661,2.311132993980134,1,14.0,F13,U01,BAT-A-01,G2
M010,G2-TUAV_A-01,A,G2-TBAT_A-01,1795.9,2125.9,S006,3049.385266596983,1.2888670060198661,2.311132993980134,1,14.0,F13,U01,BAT-A-05,G2
M011,G2-TUAV_A-04,A,G2-TBAT_A-04,0.1,360.1,S006,1313.5852665969828,1.3570321467642898,2.2429678532357102,2,22.0,F13,U04,BAT-A-04,G2
M012,G2-TUAV_A-02,A,G2-TBAT_A-02,0.0,360.0,S006,1313.485266596983,1.2577858487376936,2.3422141512623065,2,9.0,F13,U02,BAT-A-02,G2
M013,G2-TUAV_A-04,A,G2-TBAT_A-04,2273.1,2633.1,S007,4000.5353226736383,1.9708885880958245,1.6291114119041756,2,22.0,F13,U03,BAT-A-01,G2
M014,G2-TUAV_C-02,C,G2-TBAT_C-02,1692.2,2142.2,S008,3891.9120845921743,5.836023632389955,0.5639763676100458,5,45.0,F13,U08,BAT-C-04,G2
M015,G2-TUAV_B-01,B,G2-TBAT_B-01,3066.0,3456.0,S009,4624.442247394409,2.096210537071622,1.1037894629283782,3,25.0,F13,U05,BAT-B-01,G2
M016,G2-TUAV_B-01,B,G2-TBAT_B-01,0.0,390.0,S010,1555.376902446339,1.8231457316476736,1.3768542683523266,3,25.0,F13,U05,BAT-B-01,G2
M017,G2-TUAV_B-02,B,G2-TBAT_B-04,1869.8,2259.8,S012,3792.5345559700827,2.75235444190214,0.44764555809786,3,25.0,F13,U06,BAT-B-04,G2
M018,G2-TUAV_B-01,B,G2-TBAT_B-03,1555.5,1945.5,S013,3065.9702802929446,1.8247182633032644,1.3752817366967358,3,25.0,F13,U05,BAT-B-03,G2
M019,G2-TUAV_B-02,B,G2-TBAT_B-02,0.0,390.0000000000002,S014,1869.7521946190166,2.1403030047614893,1.059696995238511,3,25.0,F13,U06,BAT-B-02,G2
M020,G2-TUAV_C-01,C,G2-TBAT_C-03,3602.2,4082.2,S007>S003,6229.812146725357,5.949654978772563,0.45034502122743714,6,62.0,F13,U07,BAT-C-01,G2
M021,G2-TUAV_A-01,A,G2-TBAT_A-03,3049.4,3439.4,S011>S005,5055.672279197948,2.2450838175782497,1.3549161824217504,3,20.0,F13,U01,BAT-A-04,G2
M022,G2-TUAV_A-03,A,G2-TBAT_A-05,2243.1,2633.1,S007>S015,4553.110855345105,2.6363443673019837,0.9636556326980164,3,20.0,F13,U04,BAT-A-02,G2
M023,G2-TUAV_A-02,A,G2-TBAT_A-02,1968.6,2328.6,S011>S015,4182.336160371922,2.5709628274950704,1.0290371725049297,2,22.0,F13,U02,BAT-A-06,G2
M024,G2-TUAV_A-04,A,G2-TBAT_A-01,4000.6,4360.6,S011>S015,6214.336160371922,2.528821664747687,1.0711783352523132,2,22.0,F13,U03,BAT-A-03,G2
