Gamma_C_db,points,best_J_late,best_J_norm,minimum_makespan_s,minimum_energy_kwh,relay_sorties_min,relay_sorties_max
0,8,87005.08617038542,0.5584702306702156,11304.755579720844,78.31961281052705,9,10
2,5,317358.4048172224,0.6373770416680177,11819.943899657608,78.7937258095293,9,9
4,10,909226.8680443967,0.9022469147633128,12838.08769833598,79.18072300305508,10,10
