Gamma_C_db,C_T_s,C_E_kwh,time_percent,energy_percent,time_witness,energy_witness
0,0.0,0.0,0.0,0.0,Q3E8_G00_006,Q3E8_G00_008
2,515.188319936764,0.47411299900225856,4.557270754804632,0.6053566686408995,Q3E8_G02_004,Q3E8_G02_005
4,1533.3321186151352,0.9151129286562139,13.563602572405188,1.1684339283827727,Q3E8_G04_001,Q3E8_G04_005
