energy_component_id,relay_sortie_id,takeoff_s,return_s,soc_at_takeoff,return_soc,charge_start_s,charge_end_s,charge_duration_s
REC-01,Q3E8_G04_004_R001,197.71163788581964,3034.7968430624833,1.0,0.7370524090483115,3034.7968430624833,3876.6287112996783,841.8318682371951
REC-02,Q3E8_G04_004_R002,327.97966974075575,2019.5820632507807,1.0,0.8510403931942763,2019.5820632507807,2713.2295520982216,693.6474888474409
REC-03,Q3E8_G04_004_R003,2499.5820632507807,4184.852936843234,1.0,0.8546310186465086,4184.852936843234,4873.832612602772,688.9796757595387
REC-06,Q3E8_G04_004_R006,6014.483534651059,7985.9174338057965,1.0,0.8230491587586802,7985.9174338057965,8715.953527419511,730.0360936137157
REC-05,Q3E8_G04_004_R005,4664.852936843234,6725.82699268667,1.0,0.8084667140956809,6725.82699268667,7474.820264362284,748.9932716756148
REC-04,Q3E8_G04_004_R004,3758.2062297006905,5534.483534651059,1.0,0.8412296190295853,5534.483534651059,6240.885029912598,706.4014952615391
REC-02,Q3E8_G04_004_R007,7205.82699268667,10733.439915323072,1.0,0.6723602917717724,10733.439915323072,11659.371536019768,925.9316206966961
REC-03,Q3E8_G04_004_R009,11213.439915323072,12568.58561527301,1.0,0.8804929818973263,12568.58561527301,13223.944738806485,655.3591235334759
REC-04,Q3E8_G04_004_R010,12204.95192486747,13350.670862900633,1.0,0.9012035394432565,13350.670862900633,13973.088564408117,622.417701507484
REC-01,Q3E8_G04_004_R008,9793.1746199171,11724.951924867468,1.0,0.8263815287518075,11724.951924867468,12450.655937490119,725.7040126226502
