relay_id,relay_sortie_id,busy_start_s,return_s,busy_end_s,turnaround_s
R01,Q3E8_G04_004_R001,17.71163788581964,3034.7968430624833,3334.7968430624833,300.0
R02,Q3E8_G04_004_R002,147.97966974075575,2019.5820632507807,2319.5820632507807,300.0
R02,Q3E8_G04_004_R003,2319.5820632507807,4184.852936843234,4484.852936843234,300.0
R01,Q3E8_G04_004_R006,5834.483534651059,7985.9174338057965,8285.917433805796,300.0
R02,Q3E8_G04_004_R005,4484.852936843234,6725.82699268667,7025.82699268667,300.0
R01,Q3E8_G04_004_R004,3578.2062297006905,5534.483534651059,5834.483534651059,300.0
R02,Q3E8_G04_004_R007,7025.82699268667,10733.439915323072,11033.439915323072,300.0
R02,Q3E8_G04_004_R009,11033.439915323072,12568.58561527301,12868.58561527301,300.0
R01,Q3E8_G04_004_R010,12024.95192486747,13350.670862900633,13650.670862900633,300.0
R01,Q3E8_G04_004_R008,9613.1746199171,11724.951924867468,12024.951924867468,300.0
