run,method,seed,core,observed_cpu_s,wall_s,valid_checkpoints,unique_checkpoints,nondominated_points,feasible_success,zero_lateness_success,best_J_late,best_J_norm,best_makespan,best_energy,zero_late_best_makespan,zero_late_best_energy,frontier_ids
LNS_250901,LNS,250901,0,180.015746586,193.246081161,2,2,2,True,False,57595.34190053355,0.5061949397470714,10046.344561547741,85.66393821918167,,,"['P0001', 'P0002']"
LNS_250902,LNS,250902,4,180.008519899,193.73074214,2,2,2,True,False,52861.28789025401,0.5249461103488047,10298.011511881583,85.66393821918167,,,"['P0001', 'P0002']"
LNS_250903,LNS,250903,8,180.01686697,193.470301586,1,1,1,True,False,65501.00549024007,0.5125647900904743,10570.82377657593,85.66393821918167,,,['P0001']
LNS_250904,LNS,250904,0,180.005960354,193.74594959600006,8,6,5,True,False,40087.596207716924,0.5193959627521555,10570.82377657593,85.66393821918167,,,"['P0001', 'P0002', 'P0004', 'P0005', 'P0006']"
LNS_250905,LNS,250905,4,180.014883052,194.10917426900005,7,6,4,True,False,32492.965632167048,0.5255219720276549,10084.947398130165,85.66393821918167,,,"['P0001', 'P0002', 'P0004', 'P0006']"
POOL_250901,POOL,250901,4,178.679037667,191.908090612,13,5,2,True,True,0.0,0.4942170197632067,6454.839614277953,66.19169301226313,6454.839614277953,66.19169301226313,"['P0002', 'P0003']"
POOL_250902,POOL,250902,8,179.476638102,193.29028282299998,17,5,3,True,True,0.0,0.47707963680988624,6396.934739044012,60.427271642314416,6396.934739044012,60.427271642314416,"['P0002', 'P0003', 'P0004']"
POOL_250903,POOL,250903,0,180.032152469,193.69419673399995,12,5,2,True,True,0.0,0.46975238573617184,6454.839614277953,66.19169301226313,6454.839614277953,66.19169301226313,"['P0002', 'P0003']"
POOL_250904,POOL,250904,4,180.024683111,194.03537514900006,12,5,2,True,True,0.0,0.4882194917369331,6396.9347390440125,65.89211106203612,6396.9347390440125,65.89211106203612,"['P0002', 'P0003']"
POOL_250905,POOL,250905,8,180.018730614,194.32256593700004,12,5,2,True,True,0.0,0.4696216925239111,6454.839614277953,66.19169301226313,6454.839614277953,66.19169301226313,"['P0002', 'P0003']"
POOL_CHALLENGE_250901,POOL_CHALLENGE,250901,8,180.018868958,193.39460745999997,11,9,2,True,True,0.0,0.46163464522714137,6396.934709044004,66.19169301226313,6396.934709044004,66.19169301226313,"['P0010', 'P0011']"
POOL_CHALLENGE_250902,POOL_CHALLENGE,250902,0,179.640273068,193.32137398,13,8,3,True,True,0.0,0.4737937317681166,6396.934709044002,60.427271642314416,6396.934709044002,60.427271642314416,"['P0011', 'P0012', 'P0013']"
POOL_CHALLENGE_250903,POOL_CHALLENGE,250903,4,180.020176313,193.39567021000005,10,7,2,True,True,0.0,0.4672682473178652,6429.34260280919,66.19169301226313,6429.34260280919,66.19169301226313,"['P0003', 'P0010']"
POOL_CHALLENGE_250904,POOL_CHALLENGE,250904,8,178.851282297,192.484022751,11,8,2,True,True,0.0,0.4735382303364666,6396.934709044004,65.89211106203612,6396.934709044004,65.89211106203612,"['P0009', 'P0011']"
POOL_CHALLENGE_250905,POOL_CHALLENGE,250905,0,179.045918333,193.2500795630001,10,7,2,True,True,0.0,0.4653758167512685,6408.800381593061,66.19169301226313,6408.800381593061,66.19169301226313,"['P0009', 'P0010']"
