run,method,seed,pid,origin,source,cpu_ready_s,J_late,J_norm,makespan,energy,sorties
LNS_250901,LNS,250901,P0001,COMMON_RAW_DATA_B0,,0.96072602,65501.00549024007,0.5125647900904743,10570.82377657593,85.66393821918167,32
LNS_250901,LNS,250901,P0002,UNIFORM_DESTROY_REPAIR,,24.610719214,57595.34190053355,0.5061949397470714,10046.344561547741,88.06669105444463,33
LNS_250902,LNS,250902,P0001,COMMON_RAW_DATA_B0,,0.75878764,65501.00549024007,0.5125647900904743,10570.82377657593,85.66393821918167,32
LNS_250902,LNS,250902,P0002,UNIFORM_DESTROY_REPAIR,,35.755941356,52861.28789025401,0.5249461103488047,10298.011511881583,88.10005228621414,33
LNS_250903,LNS,250903,P0001,COMMON_RAW_DATA_B0,,0.753752514,65501.00549024007,0.5125647900904743,10570.82377657593,85.66393821918167,32
LNS_250904,LNS,250904,P0001,COMMON_RAW_DATA_B0,,0.730203858,65501.00549024007,0.5125647900904743,10570.82377657593,85.66393821918167,32
LNS_250904,LNS,250904,P0002,UNIFORM_DESTROY_REPAIR,,54.255690566,53849.96915227706,0.5209067699162324,11466.239371857608,91.99858112985044,34
LNS_250904,LNS,250904,P0003,UNIFORM_DESTROY_REPAIR,,69.639641061,51737.96915227706,0.5208771989124142,11233.127798443782,97.59126286832486,36
LNS_250904,LNS,250904,P0004,UNIFORM_DESTROY_REPAIR,,79.870036798,40087.596207716924,0.5204011995247821,11233.127798443782,96.72067820933059,35
LNS_250904,LNS,250904,P0005,UNIFORM_DESTROY_REPAIR,,89.951938205,41539.596207716924,0.51335437595247,11299.127798443782,94.00455524222008,34
LNS_250904,LNS,250904,P0006,UNIFORM_DESTROY_REPAIR,,106.955801483,40087.596207716924,0.5193959627521555,11233.127798443782,97.1362752340887,35
LNS_250904,LNS,250904,P0007,UNIFORM_DESTROY_REPAIR,,109.636116559,40087.596207716924,0.5193959627521555,11233.127798443782,97.1362752340887,35
LNS_250904,LNS,250904,P0008,UNIFORM_DESTROY_REPAIR,,113.90390522,40087.596207716924,0.5193959627521555,11233.127798443782,97.1362752340887,35
LNS_250905,LNS,250905,P0001,COMMON_RAW_DATA_B0,,0.742025703,65501.00549024007,0.5125647900904743,10570.82377657593,85.66393821918167,32
LNS_250905,LNS,250905,P0002,UNIFORM_DESTROY_REPAIR,,36.000958161,52861.28789025401,0.5249461103488047,10298.011511881583,88.10005228621414,33
LNS_250905,LNS,250905,P0003,UNIFORM_DESTROY_REPAIR,,89.814582954,36782.64758768084,0.5305197550722024,10672.297049136676,90.93542018294164,34
LNS_250905,LNS,250905,P0004,UNIFORM_DESTROY_REPAIR,,142.233172123,37734.491176035735,0.532490155440329,10554.205670621746,88.97524726941387,34
LNS_250905,LNS,250905,P0005,UNIFORM_DESTROY_REPAIR,,162.310514242,32492.965632167048,0.5273616650791624,10505.185475722852,92.95287412327247,34
LNS_250905,LNS,250905,P0006,UNIFORM_DESTROY_REPAIR,,165.253171718,32492.965632167048,0.5255219720276549,10084.947398130165,89.30275372468726,33
LNS_250905,LNS,250905,P0007,UNIFORM_DESTROY_REPAIR,,167.922638912,32492.965632167048,0.5255219720276549,10084.947398130165,89.30275372468726,33
POOL_250901,POOL,250901,P0001,COMMON_RAW_DATA_B0,,0.963616775,65501.00549024007,0.5125647900904743,10570.82377657593,85.66393821918167,32
POOL_250901,POOL,250901,P0002,PATTERN_JOINT_MILP,,18.229517872,0.0,0.5191734977048936,6454.839614277953,67.3896197830287,25
POOL_250901,POOL,250901,P0003,PATTERN_JOINT_MILP,,22.639873605,0.0,0.4942170197632067,6893.4894208244805,66.19169301226313,24
POOL_250901,POOL,250901,P0004,PATTERN_JOINT_MILP,,44.257641817,0.0,0.5465500060142862,8556.99744576533,93.69457405368111,36
POOL_250901,POOL,250901,P0005,PATTERN_JOINT_MILP,,68.891734608,597537.6470706719,0.7883950262613052,11078.985134713,116.41511850914199,42
POOL_250901,POOL,250901,P0006,PATTERN_JOINT_MILP,,82.164035441,0.0,0.5191734977048936,6454.839614277953,67.3896197830287,25
POOL_250901,POOL,250901,P0007,PATTERN_JOINT_MILP,,86.696934718,0.0,0.4942170197632067,6893.4894208244805,66.19169301226313,24
POOL_250901,POOL,250901,P0008,PATTERN_JOINT_MILP,,107.990851049,0.0,0.5465500060142862,8556.99744576533,93.69457405368111,36
POOL_250901,POOL,250901,P0009,PATTERN_JOINT_MILP,,131.78607028,597537.6470706719,0.7883950262613052,11078.985134713,116.41511850914199,42
POOL_250901,POOL,250901,P0010,PATTERN_JOINT_MILP,,145.216608651,0.0,0.5191734977048936,6454.839614277953,67.3896197830287,25
POOL_250901,POOL,250901,P0011,PATTERN_JOINT_MILP,,149.71963791,0.0,0.4942170197632067,6893.4894208244805,66.19169301226313,24
