sortie_id,shift_s
M001,-0.0
M002,-0.0
M003,-0.0
M004,2302.810614817339
M005,-0.0
M006,-0.0
M007,-1749.1254069716151
M008,-414.3579786609314
M009,2725.9928076261285
M010,1331.9781618318539
M011,-460.7884423738715
M012,-460.7884413738715
M013,4509.571911831854
M014,1331.978162831854
M015,-1654.8593983215956
M016,-1495.5595259403467
M017,3138.2262962643217
M018,-1495.5595249403466
M019,3911.0357381443173
M020,6595.535738144317
M021,785.0075462643217
M022,1747.6607381443173
M023,1999.245197031305
M024,-460.7884403738715
M025,7750.159911931038
M026,-103.39873861448496
M027,1559.0036619310376
M028,-88.18986890594579
