energy_component_id,relay_sortie_id,takeoff_s,return_s,soc_at_takeoff,return_soc,charge_start_s,charge_end_s,charge_duration_s
REC-01,Q3E7_005_R001,180.0,2212.131081984592,1.0,0.8206916617895988,2212.131081984592,2945.2319216581136,733.1008396735215
REC-02,Q3E7_005_R002,330.9505586261875,2422.7689519671535,1.0,0.8104075127225993,2422.7689519671535,3169.2391854277744,746.470233460621
REC-03,Q3E7_005_R003,2692.131081984592,3477.663770386646,1.0,0.9278836381092199,3477.663770386646,3931.9968502985603,454.33307991191447
REC-05,Q3E7_005_R005,3957.6637703866463,5808.870230464649,1.0,0.8327069404118278,5808.870230464649,6526.351207929272,717.4809774646238
REC-06,Q3E7_005_R006,6288.870230464649,7574.235843052803,1.0,0.8885216348286623,7574.235843052803,8219.157717775543,644.9218747227391
REC-04,Q3E7_005_R004,2902.7689519671535,7095.894182439904,1.0,0.6176932859208986,7095.894182439904,8092.892910742736,996.9987283028318
REC-02,Q3E7_005_R008,8054.235843052803,10047.765497507433,1.0,0.8191170520598928,10047.765497507433,10782.913329829573,735.1478323221394
REC-03,Q3E7_005_R009,10034.688098379707,11115.974350626751,1.0,0.8999749041942061,11115.974350626751,11746.006975174283,630.032624547532
REC-01,Q3E7_005_R007,7575.8941824399035,9554.688098379707,1.0,0.821199780530002,9554.688098379707,10287.128383690704,732.4402853109974
REC-05,Q3E7_005_R010,11595.974350626751,12476.243784125376,1.0,0.9188375947406238,12476.243784125376,12987.566937259446,511.3231531340702
