relay_id,relay_sortie_id,busy_start_s,return_s,busy_end_s,turnaround_s
R01,Q3E7_005_R001,0.0,2212.131081984592,2512.131081984592,300.0
R02,Q3E7_005_R002,150.9505586261875,2422.7689519671535,2722.7689519671535,300.0
R01,Q3E7_005_R003,2512.131081984592,3477.663770386646,3777.663770386646,300.0
R01,Q3E7_005_R005,3777.6637703866463,5808.870230464649,6108.870230464649,300.0
R01,Q3E7_005_R006,6108.870230464649,7574.235843052803,7874.235843052803,300.0
R02,Q3E7_005_R004,2722.7689519671535,7095.894182439904,7395.894182439904,300.0
R01,Q3E7_005_R008,7874.235843052803,10047.765497507433,10347.765497507433,300.0
R02,Q3E7_005_R009,9854.688098379707,11115.974350626751,11415.974350626751,300.0
R02,Q3E7_005_R007,7395.8941824399035,9554.688098379707,9854.688098379707,300.0
R01,Q3E7_005_R010,11415.974350626751,12476.243784125376,12776.243784125376,300.0
