sortie_id,shift_s
M001,2532.1001263976123
M002,3762.6961469034777
M003,-0.0
M004,-8.999999974752426e-06
M005,-12.176764318201094
M006,-0.0
M007,607.0988159515996
M008,-0.0
M009,4008.512897906303
M010,978.3117109778868
M011,-3159.5055106540535
M012,-2715.3398584137167
M013,215.11861974318072
M014,-8.999999974752426e-06
M015,-0.0
M016,593.5366791049938
M017,-0.0
M018,-0.0
M019,593.5366881049936
M020,273.31499911688206
M021,691.4378225067576
M022,450.44932226794765
M023,2046.4144047288619
M024,-0.0
M025,1827.5583788651911
M026,792.7220088766353
M027,-0.0
M028,505.2045398571645
