sortie_id,shift_s
M001,-0.0
M002,-0.0
M003,2133.9208462536226
M004,2067.7020962536226
M005,5106.1380094325905
M006,2390.767346988181
M007,5616.499466703419
M008,7278.9265934530395
M009,3422.0881474610105
M010,4976.3880094325905
M011,-0.0
M012,1922.7345559700825
M013,-0.0
M014,2518.642346988181
M015,2065.6708462536226
M016,2065.6708462536226
M017,4902.0442594325905
M018,6766.5515934530395
M019,402.46875
M020,-0.0
M021,9893.601508277534
M022,-0.0
M023,2140.0458462536226
M024,123.375
M025,4938.2630094325905
