sortie_id,shift_s
M001,1692.170391878965
M002,-2107.8120286387084
M003,66.21875
M004,-0.0
M005,116.59398906523893
M006,896.5969451092158
M007,1570.158131638551
M008,288.0189329885834
M009,1154.1105449659822
M010,-478.81730518561153
M011,-2395.3603123465505
M012,-0.0
M013,1727.4353226736384
M014,656.2645303121678
M015,-0.0
M016,-0.0
M017,-613.6416467597514
M018,1218.3443559398947
M019,148.08144298858315
M020,116.59399906523868
M021,6513.379013365572
M022,265.77110284036485
M023,72.34375
M024,85.95273536927652
M025,-1126.696372991456
