sortie_id,shift_s
M001,0.0
M002,0.0
M003,0.0
M004,10.006007856634255
M005,0.0
M006,0.0
M007,498.44497855413647
M008,0.0
M009,2603.7549900917575
M010,0.0
M011,1904.5544140712755
M012,0.0
M013,5277.550999438688
M014,1904.5544140712755
M015,0.0
M016,0.0
M017,7848.743408036689
M018,0.0
M019,7848.743408036689
M020,8332.904823742547
M021,8090.963666811297
M022,8090.963666811297
M023,1904.5544140712755
M024,1969.4513230308567
M025,4853.752691126472
M026,1904.5544140712755
M027,2169.8924552835797
M028,1904.5544140712755
