site_id,min_access_margin_db,backhaul_margin_db,min_twohop_margin_db,outbound_time_s,return_time_s,horizontal_time_s,flight_energy_kwh,setup_energy_kwh,service_energy_kwh,total_energy_kwh,energy_margin_kwh,return_soc,climb_out_m,climb_back_m,desc_out_m,desc_back_m,cruise_alt_m,horizontal_distance_m,max_dem_on_route_m,setup_time_s,earliest_ready_s,required_transport_shift_s,as_is_timing_feasible,atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s
E52_82c821a5773d0bfbe554f10a,7.038962317852878,11.397135806608844,7.038962317852878,512.9354114719376,566.0737563002253,707.0407539741487,0.2825549862639304,0.009166666666666667,0.12111114075615108,0.41283279368674813,2.1471672063132523,0.8709897519728912,637.6601379394531,0.0,0.0,637.6601379394531,765.3601379394531,5302.805654806116,465.3601379394531,30.0,722.9354114719376,0.0,1,P02_G000_E52_A000,P02_G000,P02,M001,841.9498147315915,1238.3135481153586,396.3637333837671
E52_82c821a5773d0bfbe554f10a,5.5237363087317135,11.397135806608844,5.5237363087317135,512.9354114719376,566.0737563002253,707.0407539741487,0.2825549862639304,0.009166666666666667,0.01908454632477863,0.31080619925537567,2.249193800744625,0.9028730627326951,637.6601379394531,0.0,0.0,637.6601379394531,765.3601379394531,5302.805654806116,465.3601379394531,30.0,722.9354114719376,0.0,1,P02_G001_E52_A000,P02_G001,P02,M001,1250.0029130821017,1312.4614283268318,62.45851524473005
E52_82c821a5773d0bfbe554f10a,0.6230836731091074,11.397135806608844,0.6230836731091074,512.9354114719376,566.0737563002253,707.0407539741487,0.2825549862639304,0.009166666666666667,0.2352012867319858,0.5269229396625829,2.0330770603374178,0.8353365813554429,637.6601379394531,0.0,0.0,637.6601379394531,765.3601379394531,5302.805654806116,465.3601379394531,30.0,722.9354114719376,10.006007856634255,0,P02_G004_E52_A000,P02_G004,P02,M004,712.9294036153034,1482.6790692836205,769.7496656683171
E52_beb70ec57fd2d66bf65b827f,1.6281698264162543,2.43785423226241,1.6281698264162543,429.6587378248194,468.09544538504076,628.6972302883107,0.2418430061920666,0.009166666666666667,0.35062869913037076,0.6016383719891041,1.9583616280108964,0.811988008753405,461.24049072265626,0.0,0.0,461.24049072265626,588.9404907226562,4715.22922716233,538.9404907226562,30.0,639.6587378248194,0.0,1,P02_G002_E52_A000,P02_G002,P02,M002,807.1614003372633,1954.6735065821129,1147.5121062448495
E52_beb70ec57fd2d66bf65b827f,17.300958501138936,2.43785423226241,2.43785423226241,429.6587378248194,468.09544538504076,628.6972302883107,0.2418430061920666,0.009166666666666667,0.18923438015486163,0.4402440530135949,2.1197559469864053,0.8624237334332516,461.24049072265626,0.0,0.0,461.24049072265626,588.9404907226562,4715.22922716233,538.9404907226562,30.0,639.6587378248194,0.0,1,P02_G003_E52_A000,P02_G003,P02,M003,805.2439655639018,1424.556482434358,619.3125168704562
E52_beb70ec57fd2d66bf65b827f,12.999969544391064,2.43785423226241,2.43785423226241,429.6587378248194,468.09544538504076,628.6972302883107,0.2418430061920666,0.009166666666666667,0.1266104784583279,0.37762015131706117,2.182379848682939,0.8819937027134184,461.24049072265626,0.0,0.0,461.24049072265626,588.9404907226562,4715.22922716233,538.9404907226562,30.0,639.6587378248194,0.0,1,P02_G005_E52_A000,P02_G005,P02,M006,790.6092964510069,1204.9708623146255,414.3615658636186
E52_be69bdf55826f2eb34075d09,0.129100810593485,12.029424972929434,0.129100810593485,457.6877788138426,500.48965717077624,658.5642874860837,0.25604119113741575,0.009166666666666667,0.11251456708695484,0.37772242489103725,2.182277575108963,0.8819617422215509,513.6225402832031,0.0,0.0,513.6225402832031,641.3225402832031,4939.232156145627,341.3225402832031,30.0,667.6877788138427,0.0,1,P02_G006_E52_A000,P02_G006,P02,M007,2528.001633700186,2896.2311259847656,368.22949228457946
E52_be69bdf55826f2eb34075d09,2.1858471240912536,12.029424972929434,2.1858471240912536,457.6877788138426,500.48965717077624,658.5642874860837,0.25604119113741575,0.009166666666666667,0.2580212653114593,0.5232291231155417,2.036770876884459,0.8364908990263933,513.6225402832031,0.0,0.0,513.6225402832031,641.3225402832031,4939.232156145627,341.3225402832031,30.0,667.6877788138427,0.0,1,P02_G008_E52_A000,P02_G008,P02,M010,3870.674419072423,4715.107651000835,844.4332319284122
E52_be69bdf55826f2eb34075d09,8.607486198729944,12.029424972929434,8.607486198729944,457.6877788138426,500.48965717077624,658.5642874860837,0.25604119113741575,0.009166666666666667,0.18071062903476545,0.4459184868388478,2.114081513161153,0.8606504728628601,513.6225402832031,0.0,0.0,513.6225402832031,641.3225402832031,4939.232156145627,341.3225402832031,30.0,667.6877788138427,0.0,1,P02_G010_E52_A000,P02_G010,P02,M012,5942.660060878543,6534.076664992321,591.4166041137778
E52_ef8fa59407d07a2296b5f591,1.3695242495045648,0.3151276047193221,0.3151276047193221,505.85939793409244,540.3898465933535,804.5361039126185,0.29384606362066074,0.009166666666666667,0.2922466872755998,0.5952594175629272,1.9647405824370732,0.8139814320115852,414.3653839111328,0.0,0.0,414.3653839111328,542.0653839111328,6034.020779344639,284.8677062988281,30.0,715.8593979340924,0.0,1,P02_G007_E52_A000,P02_G007,P02,M009,834.8733598094886,1791.3170636205425,956.4437038110539
E52_b677873645e212a13901ede2,1.2512697614083237,9.230718628911887,1.2512697614083237,575.9444140089429,616.0268887810784,911.3939793850733,0.3339048259552679,0.009166666666666667,0.1922662980602169,0.5353377906821515,2.024662209317849,0.8327069404118277,480.989697265625,0.0,0.0,480.989697265625,608.689697265625,6835.45484538805,390.4056396484375,30.0,785.9444140089429,0.0,1,P02_G009_E52_A000,P02_G009,P02,M011,4116.85190024332,4746.087057531303,629.2351572879825
E52_b677873645e212a13901ede2,4.740152659392066,9.230718628911887,4.740152659392066,575.9444140089429,616.0268887810784,911.3939793850733,0.3339048259552679,0.009166666666666667,0.1683965034466068,0.5114679960685413,2.0485320039314594,0.8401662512285808,480.989697265625,0.0,0.0,480.989697265625,608.689697265625,6835.45484538805,390.4056396484375,30.0,785.9444140089429,42.089099133035916,0,P02_G011_E52_A000,P02_G011,P02,M013,743.855314875907,1294.9711443375293,551.1158294616223
E52_eab18c460278cfbad2c20da0,8.401276263353054,7.760329046990023,7.760329046990023,212.31476099060268,226.15454090800176,341.5908424768108,0.12388533452538679,0.009166666666666667,0.007621488984631874,0.14067349017668535,2.419326509823315,0.9560395343197858,166.07735900878907,0.0,0.0,166.07735900878907,293.77735900878906,2561.931318576081,213.8477783203125,30.0,422.3147609906027,0.0,1,P02_G012_E52_A000,P02_G012,P02,M014,5914.316932530872,5939.259987389667,24.94305485879522
