energy_component_id,relay_sortie_id,takeoff_s,return_s,soc_at_takeoff,return_soc,charge_start_s,charge_end_s,charge_duration_s
REC-01,P03_R001,180.0,2212.131081984592,1.0,0.8206916617895988,2212.131081984592,2945.2319216581136,733.1008396735215
REC-02,P03_R002,330.9505586261875,2422.7689519671535,1.0,0.8104075127225993,2422.7689519671535,3169.2391854277744,746.470233460621
REC-03,P03_R003,2692.131081984592,7034.566322163097,1.0,0.6035657162400507,7034.566322163097,8049.930891051031,1015.364568887934
REC-04,P03_R004,2902.7689519671535,4935.461900305653,1.0,0.8139814320115852,4935.461900305653,5677.286038690592,741.8241383849393
REC-05,P03_R005,5415.461900305653,7266.668360383656,1.0,0.8327069404118277,7266.668360383656,7984.14933784828,717.480977464624
REC-06,P03_R006,7576.5565856115445,8521.941023079944,1.0,0.9129516399803616,8521.941023079944,9070.345691203665,548.4046681237221
REC-06,P03_R012,12627.709648564785,14321.579890473107,1.0,0.8495151164039935,14321.579890473107,15017.210239147917,695.6303486748085
REC-05,P03_R010,10472.001158438,12103.444211787335,1.0,0.8535632502369117,12103.444211787335,12793.81198647935,690.3677746920148
REC-01,P03_R013,12798.643296878776,14792.172951333407,1.0,0.8191170520598928,14792.172951333407,15527.320783655547,735.1478323221394
REC-02,P03_R014,15202.362485765396,16283.648738012442,1.0,0.8999749041942061,16283.648738012442,16913.681362559975,630.032624547532
REC-02,P03_R008,9042.636359152746,9992.001158438003,1.0,0.9199526325528656,9992.001158438003,10496.299573354949,504.2984149169464
REC-04,P03_R009,9167.620328684565,10835.302151575877,1.0,0.8509066644148404,10835.302151575877,11529.123487836585,693.8213362607074
REC-01,P03_R007,7746.668360383657,8687.620328684565,1.0,0.914764924959087,8687.620328684565,9224.601301442317,536.9809727577517
REC-03,P03_R011,11315.302151575877,12318.643296878778,1.0,0.90959429736244,12318.643296878778,12888.199223495405,569.5559266166277
