relay_id,relay_sortie_id,busy_start_s,return_s,busy_end_s,turnaround_s
R01,P02_R001,0.0,2058.75883344048,2358.75883344048,300.0
R02,P02_R002,150.9505586261875,2422.7689519671535,2722.7689519671535,300.0
R01,P02_R003,2358.75883344048,7034.566322163097,7334.566322163097,300.0
R02,P02_R004,2722.7689519671535,4935.461900305653,5235.461900305653,300.0
R02,P02_R005,5235.461900305653,7266.668360383656,7566.668360383656,300.0
R01,P02_R006,7396.5565856115445,8521.941023079944,8821.941023079944,300.0
R01,P02_R012,12447.709648564785,14321.579890473107,14621.579890473107,300.0
R01,P02_R010,10292.001158438,12103.444211787335,12403.444211787335,300.0
R02,P02_R013,12618.643296878776,14792.172951333407,15092.172951333407,300.0
R01,P02_R014,15022.362485765396,16283.648738012442,16583.64873801244,300.0
R01,P02_R008,8862.636359152746,9992.001158438003,10292.001158438003,300.0
R02,P02_R009,8987.620328684565,10835.302151575877,11135.302151575877,300.0
R02,P02_R007,7566.668360383657,8687.620328684565,8987.620328684565,300.0
R02,P02_R011,11135.302151575877,12318.643296878778,12618.643296878778,300.0
