site_id,task_ids,preparation_start_s,takeoff_s,arrival_s,setup_start_s,service_start_s,service_end_s,return_s,uav_available_s,energy_ready_s,charge_duration_s,return_soc,outbound_time_s,return_time_s,flight_energy_kwh,setup_energy_kwh,active_communication_s,idle_hover_s,active_energy_kwh,idle_energy_kwh,total_energy_kwh,energy_margin_kwh,service_windows,relay_id,energy_component_id,relay_sortie_id
E52_82c821a5773d0bfbe554f10a,"[""P02_G000_E52_A000"", ""P02_G001_E52_A000"", ""P02_G004_E52_A000""]",0.0,180.0,692.9354114719376,692.9354114719376,722.9354114719376,1492.6850771402546,2058.75883344048,2358.75883344048,2772.8212776784044,714.0624442379243,0.8353365813554429,512.9354114719376,566.0737563002253,0.2825549862639304,0.009166666666666667,769.749665668317,0.0,0.23520128673198576,0.0,0.5269229396625827,2.0330770603374178,"[[722.9354114719376, 1492.6850771402546]]",R01,REC-01,P02_R001
E52_beb70ec57fd2d66bf65b827f,"[""P02_G002_E52_A000"", ""P02_G003_E52_A000"", ""P02_G005_E52_A000""]",150.9505586261875,330.9505586261875,760.6092964510069,760.6092964510069,790.6092964510069,1954.6735065821129,2422.7689519671535,2722.7689519671535,3169.2391854277744,746.470233460621,0.8104075127225993,429.6587378248194,468.09544538504076,0.2418430061920666,0.009166666666666667,1164.064210131106,0.0,0.35568628642894906,0.0,0.6066959592876824,1.9533040407123181,"[[790.6092964510069, 1954.6735065821129]]",R02,REC-02,P02_R002
E52_be69bdf55826f2eb34075d09,"[""P02_G006_E52_A000"", ""P02_G008_E52_A000"", ""P02_G010_E52_A000""]",2358.75883344048,2538.75883344048,2996.4466122543226,2996.4466122543226,3026.4466122543226,6534.076664992321,7034.566322163097,7334.566322163097,8068.103904875919,1033.5375827128223,0.5895864748362905,457.6877788138426,500.48965717077624,0.25604119113741575,0.009166666666666667,1804.0793283267694,1703.5507244112287,0.5512464614331796,0.49686896128660835,1.3133232805238704,1.2466767194761301,"[[3026.4466122543226, 3394.676104538902], [3870.674419072423, 4715.107651000835], [5942.660060878543, 6534.076664992321]]",R01,REC-03,P02_R003
E52_ef8fa59407d07a2296b5f591,"[""P02_G007_E52_A000""]",2722.7689519671535,2902.7689519671535,3408.628349901246,3408.628349901246,3438.628349901246,4395.0720537123,4935.461900305653,5235.461900305653,5677.286038690592,741.8241383849393,0.8139814320115852,505.85939793409244,540.3898465933535,0.29384606362066074,0.009166666666666667,956.4437038110536,0.0,0.29224668727559977,0.0,0.5952594175629271,1.9647405824370734,"[[3438.628349901246, 4395.0720537123]]",R02,REC-04,P02_R004
E52_b677873645e212a13901ede2,"[""P02_G009_E52_A000"", ""P02_G011_E52_A000""]",5235.461900305653,5415.461900305653,5991.406314314596,5991.406314314596,6021.406314314596,6650.641471602578,7266.668360383656,7566.668360383656,7984.14933784828,717.480977464624,0.8327069404118277,575.9444140089429,616.0268887810784,0.3339048259552679,0.009166666666666667,629.2351572879825,0.0,0.1922662980602169,0.0,0.5353377906821515,2.024662209317849,"[[6021.406314314596, 6650.641471602578]]",R02,REC-05,P02_R005
E52_eab18c460278cfbad2c20da0,"[""P02_G012_E52_A000"", ""P02_G013_E52_A000"", ""P02_G014_E52_A000""]",7396.5565856115445,7576.5565856115445,7788.871346602147,7788.871346602147,7818.871346602147,8295.786482171941,8521.941023079944,8821.941023079944,9070.345691203665,548.4046681237221,0.9129516399803616,212.31476099060268,226.15454090800176,0.12388533452538679,0.009166666666666667,460.9802157311715,15.93491983862259,0.14085506591785796,0.004647684952931589,0.278554752062843,2.2814452479371576,"[[7818.871346602147, 7843.8144014609425], [7851.781861380254, 8262.875967393837], [8270.843427313148, 8295.786482171941]]",R01,REC-06,P02_R006
E52_47db2d0d55c92154c779a4c9,"[""P02_G016_E52_A000""]",12447.709648564785,12627.709648564785,12940.336747813366,12940.336747813366,12970.336747813366,13970.257981247312,14321.579890473107,14621.579890473107,15017.210239147917,695.6303486748085,0.8495151164039935,312.62709924858126,351.3219092257948,0.16685347284684848,0.009166666666666667,999.9212334339463,0.0,0.30553148799370583,0.0,0.48155162750722097,2.0784483724927796,"[[12970.336747813366, 13970.257981247312]]",R01,REC-06,P02_R012
E52_214ce9a3b3bd3fa9c582335a,"[""P02_G015_E52_A000"", ""P02_G017_E52_A000""]",10292.001158438,10472.001158438,10803.468513187527,10803.468513187527,10833.468513187527,11738.127221214243,12103.444211787335,12403.444211787335,12793.81198647935,690.3677746920148,0.8535632502369117,331.46735474952504,365.31699057309277,0.1830074384559416,0.009166666666666667,904.6587080267163,0.0,0.27642349411927447,0.0,0.4685975992418827,2.091402400758118,"[[10833.468513187527, 11738.127221214243]]",R01,REC-05,P02_R010
E52_b677873645e212a13901ede2,"[""P02_G018_E52_A000""]",12618.643296878776,12798.643296878776,13374.58771088772,13374.58771088772,13404.58771088772,14176.146062552329,14792.172951333407,15092.172951333407,15527.320783655547,735.1478323221394,0.8191170520598928,575.9444140089429,616.0268887810784,0.3339048259552679,0.009166666666666667,771.5583516646093,0.0,0.2357539407864084,0.0,0.5788254334083429,1.9811745665916576,"[[13404.58771088772, 14176.146062552329]]",R02,REC-01,P02_R013
E52_eab18c460278cfbad2c20da0,"[""P02_G019_E52_A000"", ""P02_G020_E52_A000"", ""P02_G021_E52_A000""]",15022.362485765396,15202.362485765396,15414.677246755999,15414.677246755999,15444.677246755999,16057.494197104439,16283.648738012442,16583.64873801244,16913.681362559975,630.032624547532,0.8999749041942061,212.31476099060268,226.15454090800176,0.12388533452538679,0.009166666666666667,596.8820305098179,15.93491983862259,0.1823806204335555,0.004647684952931589,0.32008030657854053,2.23991969342146,"[[15444.677246755999, 15469.620301614794], [15477.587761534105, 16024.583682326333], [16032.551142245644, 16057.494197104439]]",R01,REC-02,P02_R014
E52_aaa387ee3ee3170bd804334d,"[""P02_G022_E52_A000""]",8862.636359152746,9042.636359152746,9306.157937035701,9306.157937035701,9336.157937035701,9692.772548287794,9992.001158438003,10292.001158438003,10496.299573354949,504.2984149169464,0.9199526325528656,263.5215778829557,299.2286101502083,0.13801933350380158,0.009166666666666667,356.6146112520928,0.0,0.1089655756603617,0.0,0.2561515758308299,2.3038484241691704,"[[9336.157937035701, 9692.772548287794]]",R01,REC-02,P02_R008
E52_beb70ec57fd2d66bf65b827f,"[""P02_G023_E52_A000""]",8987.620328684565,9167.620328684565,9597.279066509383,9597.279066509383,9627.279066509383,10367.206706190836,10835.302151575877,11135.302151575877,11529.123487836585,693.8213362607074,0.8509066644148404,429.6587378248194,468.09544538504076,0.2418430061920666,0.009166666666666667,739.927639681453,0.0,0.22608900101377732,0.0,0.4770986738725106,2.08290132612749,"[[9627.279066509383, 10367.206706190836]]",R02,REC-04,P02_R009
E52_9026ce0d2a5dd9a75ef73c8e,"[""P02_G024_E52_A000""]",7566.668360383657,7746.668360383657,7995.284731084656,7995.284731084656,8025.284731084656,8420.249552262536,8687.620328684565,8987.620328684565,9224.601301442317,536.9809727577517,0.914764924959087,248.61637070099954,267.37077642202814,0.14290187810434732,0.009166666666666667,394.96482117787946,0.0,0.12068369535990763,0.0,0.2727522401309216,2.287247759869079,"[[8025.284731084656, 8420.249552262536]]",R02,REC-01,P02_R007
E52_76b4f0bdabd1ccab126282dd,"[""P02_G025_E52_A000""]",11135.302151575877,11315.302151575877,11560.069194871878,11560.069194871878,11590.069194871878,12053.035432253024,12318.643296878778,12618.643296878778,12888.199223495405,569.5559266166277,0.90959429736244,244.7670432960008,265.6078646257534,0.13866967590706417,0.009166666666666667,462.96623738114613,0.0,0.14146190586646132,0.0,0.28929824844019214,2.2707017515598085,"[[11590.069194871878, 12053.035432253024]]",R02,REC-03,P02_R011
