site_id,min_access_margin_db,backhaul_margin_db,min_twohop_margin_db,outbound_time_s,return_time_s,horizontal_time_s,flight_energy_kwh,setup_energy_kwh,service_energy_kwh,total_energy_kwh,energy_margin_kwh,return_soc,climb_out_m,climb_back_m,desc_out_m,desc_back_m,cruise_alt_m,horizontal_distance_m,max_dem_on_route_m,setup_time_s,earliest_ready_s,required_transport_shift_s,as_is_timing_feasible,atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,candidate_source
E52_4513f74e4ba51c209cccc792,7.528195666308719,9.790974506635663,7.528195666308719,548.6050089915749,589.1156759023821,854.1460165183059,0.3160741321008959,0.009166666666666667,0.34940647690814847,0.674647275675711,1.8853527243242896,0.7891727263513403,486.1280029296875,0.0,0.0,486.1280029296875,613.8280029296875,6406.095123887295,391.8226318359375,30.0,758.6050089915749,0.0,1,P01_G000_E52_A000,P01_G000,P01,M001,809.1614003372633,1952.6735065821129,1143.5121062448495,
E52_b677873645e212a13901ede2,6.300243332264628,9.230718628911887,6.300243332264628,575.9444140089429,616.0268887810784,911.3939793850733,0.3339048259552679,0.009166666666666667,0.34940647690814847,0.692477969530083,1.8675220304699174,0.7836006345218491,480.989697265625,0.0,0.0,480.989697265625,608.689697265625,6835.45484538805,390.4056396484375,30.0,785.9444140089429,0.0,1,P01_G000_E52_A000,P01_G000,P01,M001,809.1614003372633,1952.6735065821129,1143.5121062448495,
E52_beb70ec57fd2d66bf65b827f,1.6281698264162543,2.43785423226241,1.6281698264162543,429.6587378248194,468.09544538504076,628.6972302883107,0.2418430061920666,0.009166666666666667,0.34940647690814847,0.6004161497668817,1.9595838502331189,0.8123699531978494,461.24049072265626,0.0,0.0,461.24049072265626,588.9404907226562,4715.22922716233,538.9404907226562,30.0,639.6587378248194,0.0,1,P01_G000_E52_A000,P01_G000,P01,M001,809.1614003372633,1952.6735065821129,1143.5121062448495,
E52_ef8fa59407d07a2296b5f591,5.503846040711053,0.3151276047193221,0.3151276047193221,505.85939793409244,540.3898465933535,804.5361039126185,0.29384606362066074,0.009166666666666667,0.34940647690814847,0.6524192071954759,1.9075807928045245,0.7961189977514138,414.3653839111328,0.0,0.0,414.3653839111328,542.0653839111328,6034.020779344639,284.8677062988281,30.0,715.8593979340924,0.0,1,P01_G000_E52_A000,P01_G000,P01,M001,809.1614003372633,1952.6735065821129,1143.5121062448495,
E52_bfffb2993ede6e2e2bd9340b,1.9124442496521539,13.053008949478723,1.9124442496521539,400.85355156655817,436.85476820067277,585.6998033284289,0.22550922551216515,0.009166666666666667,0.017862324102556545,0.25253821628138834,2.307461783718612,0.9210818074120661,432.014599609375,0.0,0.0,432.014599609375,559.714599609375,4392.748524963216,275.29461669921875,30.0,610.8535515665582,0.0,1,P01_G001_E52_A000,P01_G001,P01,M002,1171.6403334902727,1230.0988487350032,58.458515244730506,
E52_50c718ca7f326f764494c89d,1.9034872651250652,13.080943299176411,1.9034872651250652,350.85355156655817,370.1881015340061,585.6998033284289,0.20772710552759727,0.009166666666666667,0.017862324102556545,0.23475609629682048,2.3252439037031802,0.9266387199072436,232.014599609375,0.0,0.0,232.014599609375,359.714599609375,4392.748524963216,275.29461669921875,30.0,560.8535515665582,0.0,1,P01_G001_E52_A000,P01_G001,P01,M002,1171.6403334902727,1230.0988487350032,58.458515244730506,
E52_b6789310c1ab16898a769b78,1.6723371312954924,2.625622464396969,1.6723371312954924,372.38145547243056,389.4038741939475,617.4514627840539,0.21924054354678854,0.009166666666666667,0.017862324102556545,0.24626953431601173,2.3137304656839888,0.9230407705262463,225.84925537109376,21.580230712890625,21.580230712890625,225.84925537109376,353.54925537109375,4630.885970880404,303.54925537109375,30.0,582.3814554724306,0.0,1,P01_G001_E52_A000,P01_G001,P01,M002,1171.6403334902727,1230.0988487350032,58.458515244730506,
E52_01234cac2d25748209cb57e8,0.26847602218906275,5.963634638729843,0.26847602218906275,275.78386787661753,295.55487261701467,419.772700963196,0.15719547582798327,0.009166666666666667,0.017862324102556545,0.18422446659720648,2.375775533402794,0.942429854188373,248.53977661132814,11.2877197265625,11.2877197265625,248.53977661132814,376.2397766113281,3148.2952572239697,326.2397766113281,30.0,485.78386787661753,0.0,1,P01_G001_E52_A000,P01_G001,P01,M002,1171.6403334902727,1230.0988487350032,58.458515244730506,
E52_06eb0baa948af7ff52881bcf,2.2641921338670983,16.258674653736037,2.2641921338670983,296.7597053393259,328.36499963050426,403.88764493158146,0.16274021246714285,0.009166666666666667,0.017862324102556545,0.18976920323636604,2.3702307967636345,0.9406971239886356,379.26353149414064,0.0,0.0,379.26353149414064,506.9635314941406,3029.157336986861,306.9635314941406,30.0,506.7597053393259,0.0,1,P01_G001_E52_A000,P01_G001,P01,M002,1171.6403334902727,1230.0988487350032,58.458515244730506,
E52_0c9d91fc306062a18ada9948,10.158330562854232,15.697900697510477,10.158330562854232,331.42241999480143,370.2725110389095,429.7442937249544,0.1787296459836012,0.009166666666666667,0.017862324102556545,0.2057586367528244,2.354241363247176,0.9357004260147423,466.2010925292969,0.0,0.0,466.2010925292969,593.9010925292969,3223.082202937158,326.7436828613281,30.0,541.4224199948014,0.0,1,P01_G001_E52_A000,P01_G001,P01,M002,1171.6403334902727,1230.0988487350032,58.458515244730506,
