sortie_id,shift_s
M001,0.0
M002,0.0
M003,0.0
M004,40.006007856634255
M005,0.0
M006,0.0
M007,442.4050088726435
M008,0.0
M009,2610.8310036296025
M010,0.0
M011,541.400772505061
M012,706.8481277158962
M013,5887.642014837324
M014,0.0
M015,-0.0
M016,0.0
M017,2610.8310036296025
M018,0.0
M019,2610.8310036296025
M020,5887.642014837324
M021,4921.987855998542
M022,4921.987855998542
M023,2963.9331260923873
M024,2679.0861349879096
M025,274.1723234809069
M026,2963.9331260923873
M027,2873.53166128235
M028,2963.9331260923873
