uav_id,sortie_id,busy_start_s,busy_end_s
U03,M001,0.0,2395.0848798156608
U02,M002,0.0,2121.7020521620752
U05,M003,0.0,1869.7521946190163
U06,M004,40.006007856634255,1796.699941778546
U07,M005,0.0,1495.5595259403467
U01,M006,0.0,1654.8593983215956
U05,M007,2199.098942794555,3646.9246308023435
U06,M008,1869.7521946190163,3078.853716462174
U07,M009,2610.8310036296025,4810.543088221777
U06,M010,3078.853716462174,5144.17849198415
U05,M011,3745.920394434761,5667.568405608003
U05,M012,5833.015760818837,7659.941071727309
U02,M013,5887.642014837324,7576.255889550712
U06,M014,5144.17849198415,6660.353353955734
U04,M015,1654.8593983215956,2873.9343194409144
U08,M016,1495.5595259403467,2989.7299178193116
U08,M017,4810.543088221777,6918.355106860485
U08,M018,2989.7299178193116,4417.900309698276
U07,M019,6918.355106860485,9269.789218726863
U03,M020,7576.255889550712,9288.815251937893
U08,M021,9339.888165696819,11508.949232289982
U07,M022,11508.949232289982,13254.144390485522
U06,M023,9624.286480048122,11059.66338249446
U05,M024,9632.179078999321,11433.532502970706
U01,M025,2395.874375642982,4316.3139110946795
U06,M026,11059.66338249446,12148.764904337615
U05,M027,11627.978029265147,13066.420276659555
U06,M028,12148.764904337615,13214.236556565102
