site_id,x_m,y_m,lon,lat,ground_elevation_m,agl_m,z_amsl_m,backhaul_margin_db,outbound_time_s,return_time_s,flight_energy_kwh
R318547_2547232_246,318547.3914705063,2547232.128837987,109.22930018514816,23.023627031568626,146.31304931640625,100,246.31304931640625,21.41575286175869,141.7684624017637,151.6528831781309,0.08217511297537762
R318547_2547232_296,318547.3914705063,2547232.128837987,109.22930018514816,23.023627031568626,146.31304931640625,150,296.31304931640625,21.396877196123086,154.2684624017637,168.3195498447976,0.0866206429715196
R318547_2547232_346,318547.3914705063,2547232.128837987,109.22930018514816,23.023627031568626,146.31304931640625,200,346.31304931640625,21.370504315554214,166.7684624017637,184.98621651146425,0.09106617296766156
R318547_2547232_396,318547.3914705063,2547232.128837987,109.22930018514816,23.023627031568626,146.31304931640625,250,396.31304931640625,21.336770413213586,179.2684624017637,201.65288317813093,0.09551170296380354
R318547_2547232_446,318547.3914705063,2547232.128837987,109.22930018514816,23.023627031568626,146.31304931640625,300,446.31304931640625,21.29584690471539,191.7684624017637,218.31954984479756,0.09995723295994552
R318667_2547112_237,318667.3914705063,2547112.128837987,109.23048491408579,23.02255663665683,186.52684020996094,50,236.52684020996094,22.09087886459585,132.44178750047982,141.51069085130987,0.07641001860411677
R318667_2547112_287,318667.3914705063,2547112.128837987,109.23048491408579,23.02255663665683,186.52684020996094,100,286.52684020996094,22.070577562173014,143.44692462613085,156.6824946436276,0.08039986006896477
R318667_2547112_337,318667.3914705063,2547112.128837987,109.23048491408579,23.02255663665683,186.52684020996094,150,336.52684020996094,22.041524218003744,155.94692462613085,173.34916131029428,0.08484539006510675
R318667_2547112_387,318667.3914705063,2547112.128837987,109.23048491408579,23.02255663665683,186.52684020996094,200,386.52684020996094,22.003893842032724,168.44692462613085,190.01582797696094,0.08929092006124871
R318667_2547112_437,318667.3914705063,2547112.128837987,109.23048491408579,23.02255663665683,186.52684020996094,250,436.52684020996094,21.957909085821782,180.94692462613085,206.6824946436276,0.09373645005739069
R318667_2547112_487,318667.3914705063,2547112.128837987,109.23048491408579,23.02255663665683,186.52684020996094,300,486.52684020996094,21.90383597853453,193.44692462613085,223.34916131029428,0.09818198005353265
R318667_2547232_256,318667.3914705063,2547232.128837987,109.23047077031575,23.023640127726804,205.80592346191406,50,255.80592346191406,21.44177262371356,143.76615280540506,154.44164642723123,0.08277920935917674
R318045_2548676_251,318044.6860098525,2548675.933669849,109.2242255404053,23.03660826683217,201.17930603027344,50,251.17930603027344,5.8788190764502986,260.3961118580843,270.68605402727377,0.15187857947142427
R318045_2548676_301,318044.6860098525,2548675.933669849,109.2242255404053,23.03660826683217,201.17930603027344,100,301.17930603027344,5.873328128737427,255.70769887387206,270.1643077097282,0.15108445651848795
R318045_2548676_351,318044.6860098525,2548675.933669849,109.2242255404053,23.03660826683217,201.17930603027344,150,351.17930603027344,15.865711783822661,268.20769887387206,286.83097437639486,0.15552998651462993
R318045_2548676_401,318044.6860098525,2548675.933669849,109.2242255404053,23.03660826683217,201.17930603027344,200,401.17930603027344,15.85598121508653,280.70769887387206,303.49764104306155,0.1599755165107719
R318045_2548676_451,318044.6860098525,2548675.933669849,109.2242255404053,23.03660826683217,201.17930603027344,250,451.17930603027344,15.844150631160545,293.20769887387206,320.1643077097282,0.1644210465069139
R318045_2548676_501,318044.6860098525,2548675.933669849,109.2242255404053,23.03660826683217,201.17930603027344,300,501.17930603027344,15.830237207310091,305.70769887387206,336.83097437639486,0.16886657650305587
R318045_2548796_305,318044.6860098525,2548795.933669849,109.22421133695633,23.037691752298855,254.64210510253906,50,304.64210510253906,5.558604069024625,264.4153452732567,279.1605206984683,0.1564024686314242
R318045_2548796_355,318044.6860098525,2548795.933669849,109.22421133695633,23.037691752298855,254.64210510253906,100,354.64210510253906,15.551382371705884,276.9153452732567,295.82718736513493,0.16084799862756616
R318045_2548796_405,318044.6860098525,2548795.933669849,109.22421133695633,23.037691752298855,254.64210510253906,150,404.64210510253906,15.542193438414287,289.4153452732567,312.4938540318016,0.16529352862370814
R318045_2548796_455,318044.6860098525,2548795.933669849,109.22421133695633,23.037691752298855,254.64210510253906,200,454.64210510253906,15.531049754800833,301.9153452732567,329.1605206984683,0.16973905861985011
R318045_2548796_505,318044.6860098525,2548795.933669849,109.22421133695633,23.037691752298855,254.64210510253906,250,504.64210510253906,15.51796638005267,314.4153452732567,345.82718736513493,0.1741845886159921
R318045_2548796_555,318044.6860098525,2548795.933669849,109.22421133695633,23.037691752298855,254.64210510253906,300,554.6421051025391,15.50296087977884,326.9153452732567,362.4938540318016,0.17863011861213407
R319247_2549913_360,319247.01344372646,2549912.941957309,109.2358097356654,23.04790860476329,259.714599609375,100,359.714599609375,13.080943299176411,350.85355156655817,370.1881015340061,0.20772710552759727
R319247_2549913_410,319247.01344372646,2549912.941957309,109.2358097356654,23.04790860476329,259.714599609375,150,409.714599609375,13.075624540840806,363.35355156655817,386.85476820067277,0.21217263552373922
R319247_2549913_460,319247.01344372646,2549912.941957309,109.2358097356654,23.04790860476329,259.714599609375,200,459.714599609375,13.069192458526956,375.85355156655817,403.52143486733945,0.2166181655198812
