pair,L_max_db,D_los_m,D_obs_m
transport<->G01,122.0,12510.905920255285,3956.295830009162
transport<->relay,116.0,6270.3063283438105,1982.8449624534046
relay<->G01,126.0,19828.449624534052,6270.3063283438105
