site_id,atomic_task_id,feasible,min_twohop_margin_db,total_energy_kwh
R318547_2547232_246,P01_G000_A01,1,0.5964858069384036,0.17869339886908142
R318547_2547232_296,P01_G000_A01,1,0.5990218821111881,0.1831389288652234
R318547_2547232_346,P01_G000_A01,1,0.6009251298733744,0.18758445886136538
R318547_2547232_396,P01_G000_A01,1,0.6021947173838811,0.19202998885750733
R318547_2547232_446,P01_G000_A01,1,0.6028300886110003,0.19647551885364933
R318667_2547112_237,P01_G000_A01,1,0.6960267597248162,0.17292830449782057
R318667_2547112_287,P01_G000_A01,1,0.698748617645478,0.17691814596266858
R318667_2547112_337,P01_G000_A01,1,0.7008231124683988,0.18136367595881053
R318667_2547112_387,P01_G000_A01,1,0.7022493154462808,0.1858092059549525
R318667_2547112_437,P01_G000_A01,1,0.7030265874701911,0.1902547359510945
R318667_2547112_487,P01_G000_A01,1,0.7031545800233658,0.19470026594723644
R318667_2547232_256,P01_G000_A01,1,0.7645799873035912,0.17929749525288052
R318045_2548676_251,P01_G000_A02,1,1.7800921965765326,0.3357484845921651
R318045_2548676_301,P01_G000_A02,1,1.7850872382570202,0.3349543616392288
R318045_2548676_351,P01_G000_A02,1,1.7892540741338223,0.33939989163537077
R318045_2548676_401,P01_G000_A02,1,1.7925903132958751,0.34384542163151277
R318045_2548676_451,P01_G000_A02,1,1.795094037561853,0.3482909516276548
R318045_2548676_501,P01_G000_A02,1,1.7967638051475774,0.3527364816237967
R318045_2548796_305,P01_G000_A02,1,1.6513641102479255,0.34027237375216507
R318045_2548796_355,P01_G000_A02,1,1.6553485439827682,0.344717903748307
R318045_2548796_405,P01_G000_A02,1,1.658527410270537,0.349163433744449
R318045_2548796_455,P01_G000_A02,1,1.660898936695645,0.353608963740591
R318045_2548796_505,P01_G000_A02,1,1.6624617990117656,0.3580544937367329
R318045_2548796_555,P01_G000_A02,1,1.6632151236031092,0.36250002373287493
R319247_2549913_360,P01_G001_A00,1,1.90348726512498,0.23475609629682048
R319247_2549913_410,P01_G001_A00,1,1.9070097849038774,0.23920162629296243
R319247_2549913_460,P01_G001_A00,1,1.9096777562550074,0.24364715628910438
R319247_2549913_510,P01_G001_A00,1,1.911489601967432,0.2480926862852464
R319247_2549913_560,P01_G001_A00,1,1.9124442496520686,0.25253821628138834
R319247_2550033_331,P01_G001_A00,1,1.787595309384102,0.23730944300534845
R319247_2550033_381,P01_G001_A00,1,1.7914973943710208,0.24175497300149046
R319247_2550033_431,P01_G001_A00,1,1.7945680098821697,0.2462005029976324
R319247_2550033_481,P01_G001_A00,1,1.7968053890438682,0.2506460329937744
R319247_2550033_531,P01_G001_A00,1,1.7982082426010493,0.25509156298991637
R319247_2550033_581,P01_G001_A00,1,1.7987757613903312,0.25953709298605837
R319247_2550153_332,P01_G001_A00,1,1.6723371312954072,0.24626953431601173
R320836_2548599_362,P01_G002_A00,1,0.29440902230354027,0.30962883773902766
R320836_2548599_412,P01_G002_A00,1,0.29646441767299336,0.3140743677351696
R320836_2548599_462,P01_G002_A00,1,0.2979292255849373,0.3185198977313116
R320836_2548719_366,P01_G002_A00,1,0.27366610249144685,0.31418697348184743
R320836_2548719_416,P01_G002_A00,1,0.275664424809662,0.31863250347798944
R320836_2548719_466,P01_G002_A00,1,0.2770749403451731,0.3230780334741314
R320836_2548839_417,P01_G002_A00,1,0.25149758412246115,0.3230011421943331
R320836_2548839_467,P01_G002_A00,1,0.2528848748649324,0.3274466721904751
R319460_2547617_263,P01_G003_A00,1,1.2018892940816102,0.30299622423084277
R319460_2547617_313,P01_G003_A00,1,1.203210902417979,0.3074417542269847
R319460_2547617_363,P01_G003_A00,1,1.2038041377470847,0.3118872842231267
R319460_2547617_413,P01_G003_A00,1,1.2036687015399963,0.3163328142192687
R319460_2547617_463,P01_G003_A00,1,1.2028046619595187,0.3207783442154106
R319460_2547737_246,P01_G003_A00,1,1.3736866527463576,0.3071044732097552
R319460_2547737_296,P01_G003_A00,1,1.3753203030944405,0.3107262180618489
R319460_2547737_346,P01_G003_A00,1,1.3761962799155185,0.31517174805799086
R319460_2547737_396,P01_G003_A00,1,1.3763141246045052,0.31961727805413287
R319460_2547737_446,P01_G003_A00,1,1.3756737754489734,0.3240628080502748
R319460_2547857_245,P01_G003_A00,1,1.5486516578314138,0.3126735844207924
R319460_2547857_295,P01_G003_A00,1,1.5503645665378087,0.31548944672094875
R318461_2547640_457,P01_G004_A00,1,3.6678301174035255,0.35253759903699555
R318461_2547760_475,P01_G004_A00,1,3.8643448608442696,0.3591838102468991
R318461_2547880_487,P01_G004_A00,1,4.0623894681536825,0.3654108467654492
R319454_2546358_284,P01_G005_A00,1,1.1216519937008371,0.1330563685695927
R319454_2546358_334,P01_G005_A00,1,1.1218612709557334,0.13750189856573464
R319454_2546358_384,P01_G005_A00,1,1.1213554890483977,0.14194742856187664
