pareto_id,transport_sorties,direct_available_time_ratio,n_direct_gaps,total_gap_duration_s,max_single_gap_s,sorties_requiring_relay,min_direct_margin_db,terrain_caused_gap_s,distance_caused_gap_s,active_time_s
P01,26,0.8566429784909073,100,6634.623699187448,537.811800857939,26,-6.204873602800717,6634.623699187448,0.0,46280.423723554064
P02,28,0.8430144218299547,106,7840.961485956626,856.5196342530044,28,-6.204873602800717,7840.961485956626,0.0,49947.01791946367
P03,29,0.8544575313506608,87,7412.9305925661465,547.8652101152302,27,-6.204873602800717,7412.9305925661465,0.0,50933.11018673453
P04,30,0.8590765381910624,101,7456.223315811412,535.7957148065398,30,-6.204873602800717,7456.223315811412,0.0,52909.73710197732
