pareto_id,sortie_id,uav_id,time,phase,x,y,z,distance_to_G01,los,L_fspl,L_path,L_max,M_C,M_C_LOS,direct_available
P02,M001,U01,0.0,prep,318686.2012849663,2545556.1393078705,127.7,19.999999999999986,1,66.07482474751174,66.07482474751174,122.0,55.92517525248826,55.92517525248826,1
P02,M001,U01,390.0,climb,318686.2012849663,2545556.1393078705,127.7,19.999999999999986,1,66.07482474751174,66.07482474751174,122.0,55.92517525248826,55.92517525248826,1
P02,M001,U01,390.0,prep,318686.2012849663,2545556.1393078705,127.7,19.999999999999986,1,66.07482474751174,66.07482474751174,122.0,55.92517525248826,55.92517525248826,1
P02,M001,U01,390.0,takeoff,318686.2012849663,2545556.1393078705,127.7,19.999999999999986,1,66.07482474751174,66.07482474751174,122.0,55.92517525248826,55.92517525248826,1
P02,M001,U01,456.236962890625,climb,318686.2012849663,2545556.1393078705,326.410888671875,178.710888671875,1,85.09724512285025,85.09724512285025,122.0,36.90275487714975,36.90275487714975,1
P02,M001,U01,456.236962890625,cruise,318686.2012849663,2545556.1393078705,326.410888671875,178.710888671875,1,85.09724512285025,85.09724512285025,122.0,36.90275487714975,36.90275487714975,1
P02,M001,U01,456.5282605720289,cruise,318686.2012849663,2545556.1393078705,331.37569080699575,183.67569080699576,1,85.33525847238151,85.33525847238151,122.0,36.66474152761849,36.66474152761849,1
P02,M001,U01,456.8195582534328,cruise,318686.2012849663,2545556.1393078705,336.3404929421165,188.6404929421165,1,85.56692328664016,85.56692328664016,122.0,36.43307671335984,36.43307671335984,1
P02,M001,U01,457.11085593483665,cruise,318686.2012849663,2545556.1393078705,341.30529507723725,193.60529507723726,1,85.79256945477238,85.79256945477238,122.0,36.20743054522762,36.20743054522762,1
P02,M001,U01,457.4021536162405,cruise,318686.2012849663,2545556.1393078705,346.27009721235794,198.57009721235795,1,86.01250180267128,86.01250180267128,122.0,35.98749819732872,35.98749819732872,1
P02,M001,U01,457.6934512976444,cruise,318686.2012849663,2545556.1393078705,351.2348993474787,203.5348993474787,1,86.22700256929338,86.22700256929338,122.0,35.772997430706624,35.772997430706624,1
P02,M001,U01,457.98474897904833,cruise,318686.2012849663,2545556.1393078705,356.19970148259944,208.49970148259945,1,86.43633358449934,86.43633358449934,122.0,35.56366641550066,35.56366641550066,1
P02,M001,U01,458.2760466604522,cruise,318686.2012849663,2545556.1393078705,361.1645036177202,213.4645036177202,1,86.64073819057602,86.64073819057602,122.0,35.359261809423984,35.359261809423984,1
P02,M001,U01,458.5673443418561,cruise,318686.2012849663,2545556.1393078705,366.12930575284093,218.42930575284095,1,86.8404429428094,86.8404429428094,122.0,35.1595570571906,35.1595570571906,1
P02,M001,U01,458.85864202325996,cruise,318686.2012849663,2545556.1393078705,371.0941078879617,223.3941078879617,1,87.03565911891158,87.03565911891158,122.0,34.96434088108842,34.96434088108842,1
P02,M001,U01,459.14993970466384,cruise,318686.2012849663,2545556.1393078705,376.05891002308243,228.35891002308244,1,87.22658406251809,87.22658406251809,122.0,34.773415937481914,34.773415937481914,1
P02,M001,U01,459.4412373860677,cruise,318686.2012849663,2545556.1393078705,381.0237121582031,233.32371215820314,1,87.41340238217401,87.41340238217401,122.0,34.58659761782599,34.58659761782599,1
P02,M001,U01,459.7325350674716,cruise,318686.2012849663,2545556.1393078705,385.9885142933239,238.28851429332389,1,87.59628702406971,87.59628702406971,122.0,34.40371297593029,34.40371297593029,1
P02,M001,U01,460.02383274887546,cruise,318686.2012849663,2545556.1393078705,390.9533164284446,243.25331642844463,1,87.77540023415027,87.77540023415027,122.0,34.22459976584973,34.22459976584973,1
