pareto_id,sortie_id,uav_id,time,phase,x,y,z,distance_to_G01,los,L_fspl,L_path,L_max,M_C,M_C_LOS,direct_available
P01,M001,U01,0.0,prep,318686.2012849663,2545556.1393078705,127.7,19.999999999999986,1,66.07482474751174,66.07482474751174,122.0,55.92517525248826,55.92517525248826,1
P01,M001,U01,390.0,climb,318686.2012849663,2545556.1393078705,127.7,19.999999999999986,1,66.07482474751174,66.07482474751174,122.0,55.92517525248826,55.92517525248826,1
P01,M001,U01,390.0,prep,318686.2012849663,2545556.1393078705,127.7,19.999999999999986,1,66.07482474751174,66.07482474751174,122.0,55.92517525248826,55.92517525248826,1
P01,M001,U01,390.0,takeoff,318686.2012849663,2545556.1393078705,127.7,19.999999999999986,1,66.07482474751174,66.07482474751174,122.0,55.92517525248826,55.92517525248826,1
P01,M001,U01,484.8864379882813,climb,318686.2012849663,2545556.1393078705,412.35931396484375,264.65931396484376,1,88.50796848242221,88.50796848242221,122.0,33.492031517577786,33.492031517577786,1
P01,M001,U01,484.8864379882813,cruise,318686.2012849663,2545556.1393078705,412.35931396484375,264.65931396484376,1,88.50796848242221,88.50796848242221,122.0,33.492031517577786,33.492031517577786,1
P01,M001,U01,485.3270267955044,cruise,318686.2012849663,2545556.1393078705,407.3652909128289,259.66529091282894,1,88.34250287399237,88.34250287399237,122.0,33.65749712600763,33.65749712600763,1
P01,M001,U01,485.7676156027275,cruise,318686.2012849663,2545556.1393078705,402.37126786081416,254.67126786081417,1,88.17382384238749,88.17382384238749,122.0,33.82617615761251,33.82617615761251,1
P01,M001,U01,486.20820440995067,cruise,318686.2012849663,2545556.1393078705,397.37724480879933,249.67724480879934,1,88.00180409901678,88.00180409901678,122.0,33.99819590098322,33.99819590098322,1
P01,M001,U01,486.6487932171738,cruise,318686.2012849663,2545556.1393078705,392.38322175678456,244.68322175678458,1,87.82630863906374,87.82630863906374,122.0,34.17369136093626,34.17369136093626,1
P01,M001,U01,487.08938202439697,cruise,318686.2012849663,2545556.1393078705,387.38919870476974,239.68919870476975,1,87.6471941049252,87.6471941049252,122.0,34.352805895074795,34.352805895074795,1
P01,M001,U01,487.52997083162006,cruise,318686.2012849663,2545556.1393078705,382.3951756527549,234.69517565275493,1,87.46430808262312,87.46430808262312,122.0,34.53569191737688,34.53569191737688,1
