pareto_id,gap_id,sortie_id,uav_id,start_s,end_s,duration_s,phase_start,phase_end,min_margin_db,cause
P04,0,M001,U01,1070.7571235026237,1343.8657850757875,273.1086615731638,cruise,handover_end,-5.433206355480664,TERRAIN_BLOCKAGE
P04,1,M001,U01,1377.9672870768422,1401.2867820052115,23.319494928369295,climb,cruise,-5.433206355480664,TERRAIN_BLOCKAGE
P04,2,M002,U05,906.05380889805,908.874736102609,2.820927204558984,cruise,descent,-2.762605430383033,TERRAIN_BLOCKAGE
P04,3,M002,U05,922.8134352310178,1333.780849088561,410.9674138575431,descent,cruise,-5.454177219446137,TERRAIN_BLOCKAGE
P04,4,M003,U06,944.5052653007996,1285.502768979158,340.9975036783584,cruise,cruise,-5.454177219446137,TERRAIN_BLOCKAGE
P04,5,M003,U06,1290.0518732106639,1322.7485598746125,32.69668666394864,cruise,cruise,-2.762605430383033,TERRAIN_BLOCKAGE
P04,6,M004,U02,862.5874912521838,863.4510573581533,0.8635661059695394,cruise,descent,-1.2112739881184353,TERRAIN_BLOCKAGE
P04,7,M004,U02,870.9892698248462,932.0095878630284,61.020318038182154,descent,handover_start,-1.775354393232817,TERRAIN_BLOCKAGE
P04,8,M004,U02,932.2374725579422,934.4783387245942,2.24086616665204,handover_start,handover_start,-1.4298614314213296,TERRAIN_BLOCKAGE
P04,9,M004,U02,934.9341081144217,1197.3893491123083,262.45524099788656,handover_start,cruise,-6.20251003921004,TERRAIN_BLOCKAGE
P04,10,M004,U02,1200.5117515462148,1202.3331529659936,1.8214014197787947,cruise,cruise,-1.2770108706036467,TERRAIN_BLOCKAGE
P04,11,M004,U02,1202.5933531688192,1203.0487035237638,0.455350354944585,cruise,cruise,-1.4188930069899897,TERRAIN_BLOCKAGE
P04,12,M004,U02,1204.219604436479,1220.286966960956,16.067362524477176,cruise,cruise,-5.4525293245872035,TERRAIN_BLOCKAGE
P04,13,M005,U03,861.3517515696519,861.4830758216283,0.1313242519763662,cruise,descent,-1.6666112833377298,TERRAIN_BLOCKAGE
P04,14,M005,U03,862.4949184188234,1108.5216027175345,246.02668429871107,descent,handover_end,-2.762605430383033,TERRAIN_BLOCKAGE
P04,15,M005,U03,1132.9785443756414,1133.078560657688,0.10001628204668123,climb,cruise,-1.6666112833377298,TERRAIN_BLOCKAGE
P04,16,M005,U03,1133.8491779128028,1133.91968119359,0.07050328078707935,cruise,cruise,-1.1933744790359526,TERRAIN_BLOCKAGE
P04,17,M005,U03,1535.7434337052111,1538.4997752062434,2.7563415010322387,descent,descent,-6.204873602800717,TERRAIN_BLOCKAGE
P04,18,M006,U04,853.9951509724783,1104.9663658274644,250.9712148549861,cruise,cruise,-6.204873602800717,TERRAIN_BLOCKAGE
P04,19,M007,U06,2466.556852515324,2475.757026386832,9.200173871508014,descent,descent,-2.512930070723627,TERRAIN_BLOCKAGE
P04,20,M007,U06,2736.1833436415595,2738.321381855582,2.1380382140223446,handover_end,handover_end,-2.508307265209851,TERRAIN_BLOCKAGE
P04,21,M008,U05,2526.5022514903158,2528.321381855582,1.819130365266119,descent,descent,-2.508307265209851,TERRAIN_BLOCKAGE
P04,22,M008,U05,2544.624141384211,2545.464770736884,0.8406293526732043,handover_start,handover_start,-3.1823893147237072,TERRAIN_BLOCKAGE
P04,23,M008,U05,2777.835633922663,2780.7563356782903,2.920701755627306,cruise,cruise,-3.1804680444144537,TERRAIN_BLOCKAGE
P04,24,M009,U07,1086.691376158392,1094.7371733580335,8.045797199641584,cruise,descent,-6.204873602800717,TERRAIN_BLOCKAGE
P04,25,M009,U07,1095.0791197390183,1148.7181791932892,53.639059454270864,descent,handover_start,-6.20251003921004,TERRAIN_BLOCKAGE
P04,26,M009,U07,1497.6960422960872,1499.6853637414872,1.9893214454000372,climb,handover_end,-6.20251003921004,TERRAIN_BLOCKAGE
P04,27,M009,U07,1538.4997752062434,1547.1940614214377,8.694286215194325,climb,cruise,-6.204873602800717,TERRAIN_BLOCKAGE
P04,28,M010,U06,3613.6071943875113,4117.394036019662,503.78684163215075,cruise,descent,-5.4525293245872035,TERRAIN_BLOCKAGE
P04,29,M010,U06,4174.519217776649,4201.031094201186,26.51187642453624,descent,handover_start,-5.279933477860197,TERRAIN_BLOCKAGE
P04,30,M010,U06,4384.519217776649,4640.402206070402,255.88298829375253,climb,handover_start,-5.801112632033352,TERRAIN_BLOCKAGE
P04,31,M010,U06,4793.873039740911,4838.047722274229,44.174682533318446,climb,cruise,-3.652433563921221,TERRAIN_BLOCKAGE
P04,32,M010,U06,5264.870162725051,5270.519603440584,5.649440715533274,descent,descent,-1.1933744790359526,TERRAIN_BLOCKAGE
P04,33,M011,U05,4263.659116031874,4341.472417080681,77.81330104880726,cruise,handover_start,-5.805216509221793,TERRAIN_BLOCKAGE
P04,34,M011,U05,4541.63478253578,4600.699527943999,59.064745408219096,climb,cruise,-5.805216509221793,TERRAIN_BLOCKAGE
P04,35,M011,U05,4601.304117107739,4603.612548460205,2.308431352465959,cruise,cruise,-4.698038782990011,TERRAIN_BLOCKAGE
P04,36,M011,U05,4604.134693647072,4608.641631049504,4.506937402432413,cruise,cruise,-3.9137786006010487,TERRAIN_BLOCKAGE
P04,37,M011,U05,5183.395426966242,5193.854366013826,10.458939047583954,descent,descent,-1.2112739881184353,TERRAIN_BLOCKAGE
P04,38,M012,U05,5614.826885114254,5619.851793381989,5.0249082677355545,takeoff,takeoff,-1.2112739881184353,TERRAIN_BLOCKAGE
P04,39,M012,U05,6129.166876519345,6134.400422645655,5.233546126310102,cruise,descent,-3.652433563921221,TERRAIN_BLOCKAGE
P04,40,M012,U05,6152.374650735196,6173.606666345763,21.232015610567032,descent,handover_start,-3.6437762988822158,TERRAIN_BLOCKAGE
P04,41,M012,U05,6186.610659005827,6378.877774033548,192.26711502772105,handover_start,handover_end,-3.6437762988822158,TERRAIN_BLOCKAGE
P04,42,M012,U05,6409.838027235491,6450.624010234977,40.785982999485896,climb,cruise,-3.652433563921221,TERRAIN_BLOCKAGE
P04,43,M013,U04,2475.757026386832,2485.82216000795,10.065133621118093,cruise,descent,-2.512930070723627,TERRAIN_BLOCKAGE
P04,44,M013,U04,2528.321381855582,2532.0846634201757,3.7632815645938535,descent,handover_start,-2.508307265209851,TERRAIN_BLOCKAGE
P04,45,M013,U04,2738.321381855582,2742.0846634201757,3.7632815645938535,climb,handover_end,-2.508307265209851,TERRAIN_BLOCKAGE
P04,46,M013,U04,2782.1250114128734,2801.8326397961287,19.70762838325527,climb,cruise,-3.1823893147237072,TERRAIN_BLOCKAGE
P04,47,M014,U03,2545.464770736884,2596.764094143026,51.299323406141866,cruise,handover_start,-3.1823893147237072,TERRAIN_BLOCKAGE
P04,48,M014,U03,2780.7563356782903,2816.3950054479355,35.638669769645276,climb,cruise,-3.1823893147237072,TERRAIN_BLOCKAGE
P04,49,M015,U01,3209.648771107344,3216.3009668363334,6.652195728989227,handover_end,handover_end,-5.454177219446137,TERRAIN_BLOCKAGE
P04,50,M016,U08,813.6962004434079,853.9951509724783,40.29895052907045,handover_start,handover_start,-1.7791733297825942,TERRAIN_BLOCKAGE
P04,51,M016,U08,1117.9684646451658,1123.780849088561,5.8123844433951035,handover_end,handover_end,-5.4290277395881645,TERRAIN_BLOCKAGE
