atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,candidate_count,source,candidate_set_complete,generation_mode
P01_G000_E52_A000,P01_G000,P01,M001,809.1614003372633,1952.6735065821129,1143.5121062448495,1,E52_MERGE_BACK,False,LAZY_FEASIBILITY_FIRST
P01_G001_E52_A000,P01_G001,P01,M002,1171.6403334902727,1230.0988487350032,58.458515244730506,3,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P01_G002_E52_A000,P01_G002,P01,M002,1248.1641088511385,1644.057325684367,395.8932168332285,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P01_G003_E52_A000,P01_G003,P01,M003,807.2439655639018,1422.556482434358,615.3125168704562,1,E52_NEW_GRID,False,LAZY_FEASIBILITY_FIRST
P01_G004_E52_A000,P01_G004,P01,M004,684.9294036153034,1420.6790692836205,735.7496656683171,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P01_G005_E52_A000,P01_G005,P01,M006,792.6092964510069,1202.9708623146255,410.3615658636186,1,E52_MERGE_BACK,False,LAZY_FEASIBILITY_FIRST
P01_G006_E52_A000,P01_G006,P01,M007,2470.001633700186,2834.2311259847656,364.22949228457946,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P01_G007_E52_A000,P01_G007,P01,M009,836.8733598094886,1789.3170636205425,952.4437038110539,1,E52_NEW_GRID,False,LAZY_FEASIBILITY_FIRST
P01_G008_E52_A000,P01_G008,P01,M010,3872.674419072423,4713.107651000835,840.4332319284122,1,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P01_G009_E52_A000,P01_G009,P01,M011,4024.207411890528,4649.44256917851,625.235157287982,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P01_G010_E52_A000,P01_G010,P01,M012,5926.649201997334,6514.065806111112,587.4166041137778,2,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P01_G011_E52_A000,P01_G011,P01,M013,745.855314875907,1292.9711443375293,547.1158294616223,2,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
