site_id,x_m,y_m,agl_m,lon,lat,ground_elevation_m,z_amsl_m,backhaul_distance_m,backhaul_los,backhaul_margin_db
E52_01234cac2d25748209cb57e8,316735.1709025074,2548027.0183970574,50.0,109.21152759395143,23.030605257435372,314.9520568847656,364.9520568847656,3155.7822299518075,False,5.963634638729843
E52_06eb0baa948af7ff52881bcf,316481.9618309005,2547633.9079671204,200.0,109.20910437727208,23.027027923434527,306.9635314941406,506.9635314941406,3050.387591320646,True,16.258674653736037
E52_0c9d91fc306062a18ada9948,316730.03716888884,2548117.7171102925,300.0,109.21146670383342,23.03142360894118,293.9010925292969,593.9010925292969,3253.8214920097535,True,15.697900697510477
E52_189eb019491ad876aa165071,315836.51019698515,2548377.4730950934,300.0,109.20271895918827,23.033670130941868,370.7445983886719,670.7445983886719,4044.037498311323,False,3.8094716871601975
E52_1eac4bbcd37cec5d48241661,316747.00389172294,2547995.083482414,100.0,109.21164683348958,23.03031822247924,299.44464111328125,399.44464111328125,3126.0695099166905,False,6.04580255430777
E52_1ef47ef68c1879e18ddbb164,317400.0,2551920.0,300.0,109.21755050183022,23.06582818938406,200.1396484375,500.1396484375,6502.0958436545925,True,9.684707827919368
E52_214ce9a3b3bd3fa9c582335a,316842.5238594948,2548470.7429414038,250.0,109.21252199890097,23.034623480657846,283.8956298828125,533.8956298828125,3470.3325279199216,True,15.138353346483314
E52_231555d7070bcf1a0911e332,316730.03716888884,2547997.7171102925,200.0,109.21148100484464,23.030340130151913,307.063232421875,507.063232421875,3149.130379505692,False,5.981962334569488
E52_246111a1ef063bec9e89ec9e,314908.07320592966,2547808.684039554,250.0,109.19373012042216,23.02843141010398,357.1781005859375,607.1781005859375,4422.593093961807,True,13.03223549741864
E52_24db349315b2a6b84dd4215d,316842.5238594948,2548230.7429414038,100.0,109.21255058761852,23.032456522546212,295.5179138183594,395.5179138183594,3257.9233821733474,False,5.686957833295324
E52_27bf01e9e990859ae5993708,316729.8100456512,2548011.5556927854,250.0,109.21147714002585,23.030465053529916,314.9520568847656,564.9520568847656,3167.117867012836,True,15.932490639468014
E52_27fdcb9bc2da20af468e67a1,316842.5238594948,2548230.7429414038,300.0,109.21255058761852,23.032456522546212,295.5179138183594,595.5179138183594,3279.205990729946,True,15.630401191469062
E52_2cea01313b8862fcfb6b2e63,319030.89440667327,2548507.9894431755,200.0,109.2338665709151,23.03519962117848,173.57440185546875,373.57440185546875,2980.4784540180103,True,16.460055432828085
E52_326bd9096774308657b14836,316857.2226552948,2547741.0715161283,50.0,109.2127522946368,23.02803690118286,334.6907958984375,384.6907958984375,2859.2404970232237,False,6.820761438549596
E52_347c51b45a583dd4c5a4aad0,313716.7230942601,2548899.56091612,300.0,109.18197635030256,23.03814763860963,413.7411193847656,713.7411193847656,6016.193488182535,True,10.359339260709504
E52_437c6a333219b14c3939f26c,316730.03716888884,2547997.7171102925,50.0,109.21148100484464,23.030340130151913,307.063232421875,357.063232421875,3135.556278780386,False,6.0194831627628105
E52_44ed69e1d99dc074a7941a18,318808.72529832093,2547800.6061558253,100.0,109.23178250251802,23.028788376891093,156.7248992919922,256.7248992919922,2250.451064582883,False,8.900383690419545
E52_4513f74e4ba51c209cccc792,323520.0,2549760.0,300.0,109.27751789752963,23.04698738877293,313.8280029296875,613.8280029296875,6423.031219868683,True,9.790974506635663
E52_47db2d0d55c92154c779a4c9,316481.9618309005,2547513.9079671204,300.0,109.20911869411772,23.025944445446576,292.0377197265625,592.0377197265625,2981.436852118985,True,16.45726286038159
E52_4cf0fac9feb721651efb2830,318254.2105234053,2548050.8247541543,250.0,109.226343507068,23.030987059637337,173.32435607910156,423.32435607910156,2546.770558891829,True,17.82597875173802
E52_4d215302190bc5bfb29bf912,320877.9092642227,2547577.485696127,300.0,109.25199403589981,23.02699811853132,262.66839599609375,562.6683959960938,3010.2531218038685,True,16.37371485667674
E52_50c718ca7f326f764494c89d,319247.01344372646,2549912.941957309,100.0,109.2358097356654,23.04790860476329,259.714599609375,359.714599609375,4397.861957134857,True,13.080943299176411
E52_515a3b7c8d98426ee13f2b4e,318254.2105234053,2548290.8247541543,150.0,109.22631514090541,23.033154034446284,210.1493377685547,360.1493377685547,2776.7346342977557,True,17.07508762021844
E52_60b0dc656c777ee2cc2279b1,313865.1344449905,2549273.4599024067,300.0,109.18337892400461,23.041540150973084,458.0350646972656,758.0350646972656,6118.305874118755,False,0.21315146591224732
E52_60b76d98beea93305f35c25d,319030.89440667327,2548387.9894431755,300.0,109.23388069545723,23.034116129698223,154.4119415283203,454.4119415283203,2869.1916548141053,True,16.79058398580294
E52_68694062ed2e2e792aeb51a9,319743.55190287094,2547889.6991960923,300.0,109.2408915602407,23.029694481684732,193.77735900878906,493.77735900878906,2585.2004989012894,True,17.695890544520793
E52_6aa461eda22a4c53e6730e81,316735.1709025074,2547787.0183970574,100.0,109.21155619300211,23.028438299403984,298.2250061035156,398.2250061035156,2974.2400445378307,False,6.478254834226846
E52_6dc095df8eb6475486134b5c,314908.07320592966,2547928.684039554,300.0,109.19371567885601,23.029514878569657,334.2599182128906,634.2599182128906,4487.756771423335,True,12.905188948092743
E52_73baea82bbbffa2db9d7426a,316729.8100456512,2548131.5556927854,150.0,109.21146283889722,23.031548532299794,304.7809143066406,454.7809143066406,3248.774372727097,False,5.711384152670419
E52_74b3fb0a4920873efc33101b,316481.9618309005,2547513.9079671204,100.0,109.20911869411772,23.025944445446576,292.0377197265625,392.0377197265625,2958.2478961849256,False,6.525083879148042
E52_7547086a1218012670f76a62,319980.1784575099,2550199.8149460675,50.0,109.24292937320949,23.05057847991368,275.39215087890625,325.39215087890625,4823.8651366235445,False,2.277872015791573
E52_76b4f0bdabd1ccab126282dd,319030.89440667327,2548267.9894431755,200.0,109.23389481914535,23.03303263806145,177.78985595703125,377.78985595703125,2743.3348039056345,True,17.180198899819032
E52_7ccd1e182a1b2540fd645bfb,323400.0,2545200.0,50.0,109.27687062060286,23.005800969184538,519.7205810546875,569.7205810546875,4746.033596941498,False,2.4191590009326376
E52_8ca7795ffa642a3b129c0a3d,316747.00389172294,2548115.083482414,300.0,109.21163253381907,23.031401701369894,295.2940368652344,595.2940368652344,3241.76221216629,True,15.730152054416479
E52_9026ce0d2a5dd9a75ef73c8e,316563.80070550786,2547510.7124856794,50.0,109.20991740805526,23.02592462853298,302.75286865234375,352.75286865234375,2892.574494466494,False,6.720084116703532
E52_928897c58ab324fea0c4e2a6,323880.0,2545080.0,50.0,109.28156619384356,23.004768334315518,365.17236328125,415.17236328125,5222.431923721384,False,1.5883194156787255
E52_96da4f081c74d8211b4b244f,319980.1784575099,2550079.8149460675,250.0,109.24294343576138,23.049494985241754,248.78350830078125,498.78350830078125,4718.1858624350125,True,12.47027426673894
E52_9b18c2085562c5280ea1e394,313596.7230942601,2549139.56091612,300.0,109.1807765667496,23.04030109436617,421.83721923828125,721.8372192382812,6250.8665177445255,False,0.02697066595830222
E52_a1af1f4ab7d520e82e20be53,314355.60399998253,2549594.376438453,300.0,109.18812514439298,23.044492562483065,439.5845947265625,739.5845947265625,5950.778045012047,False,0.45430012492889205
E52_a3836b1674b2d70f748125c1,318808.72529832093,2547920.6061558253,300.0,109.23176836484926,23.02987186787014,151.415283203125,451.415283203125,2387.039711059895,True,18.388582284998307
E52_a77602565c04dca5831f9b7a,320404.3729768618,2548275.723723577,300.0,109.24729304329905,23.033251517476952,151.27012634277344,451.27012634277344,3231.162047714642,True,15.758600383852013
E52_aaa387ee3ee3170bd804334d,321001.0670078552,2545175.158280074,300.0,109.25347486850443,23.005320267034914,256.18438720703125,556.1843872070312,2381.30412865276,True,18.409477866986336
E52_afb1e3673ff3adbe9c45b8fc,316563.80070550786,2547390.7124856794,100.0,109.20993171763863,23.02484114991118,280.4361877441406,380.4361877441406,2815.03269918967,False,6.956106286850726
E52_b544b4d7beda1d6ed7fbeefb,320355.47416829434,2548088.1087501324,300.0,109.24683792203126,23.03155222473767,194.6310272216797,494.6310272216797,3052.4911716843885,True,16.252686834440453
E52_b60e4d2a4cdcd5801a5d757f,316857.2226552948,2547861.0715161283,300.0,109.21273800538174,23.029120381041245,276.09381103515625,576.0938110351562,2973.4485988145343,True,16.480566458341656
E52_b677873645e212a13901ede2,323880.0,2550000.0,300.0,109.28100283829768,23.049192651705386,308.689697265625,608.689697265625,6850.982005838581,True,9.230718628911887
E52_b6789310c1ab16898a769b78,319247.01344372646,2550152.941957309,50.0,109.2357814977233,23.05007558605139,281.9690246582031,331.9690246582031,4634.550673878259,False,2.625622464396969
E52_b7c433bb400c5a28313b13f0,320355.47416829434,2548208.1087501324,200.0,109.24682390282342,23.032635724132746,174.59547424316406,374.59547424316406,3141.798121766724,True,16.00220965111248
E52_b8aeee13ee5f313ffdb298e7,313865.1344449905,2549153.4599024067,250.0,109.18339345664822,23.040456690364465,477.4808349609375,727.4808349609375,6043.140470978345,False,0.32052137756616617
E52_be69bdf55826f2eb34075d09,317117.7418444939,2550239.722260685,300.0,109.21499640025256,23.05062590630349,341.3225402832031,641.3225402832031,4963.836974013008,True,12.029424972929434
E52_beb70ec57fd2d66bf65b827f,323400.0,2545440.0,50.0,109.27684309588842,23.007968009498253,538.9404907226562,588.9404907226562,4735.82937143422,False,2.43785423226241
E52_bfffb2993ede6e2e2bd9340b,319247.01344372646,2549912.941957309,300.0,109.2358097356654,23.04790860476329,259.714599609375,559.714599609375,4412.028516890818,True,13.053008949478723
E52_c0294c7ff44d44fc4ede8d97,316857.2226552948,2547741.0715161283,300.0,109.2127522946368,23.02803690118286,334.6907958984375,634.6907958984375,2890.7181837333833,True,16.7256600789149
