pareto_id,gap_id,sortie_id,uav_id,start_s,end_s,duration_s,phase_start,phase_end,min_margin_db,cause
P01,45,M013,U06,4592.706557462571,4789.754960855868,197.04840339329712,climb,cruise,-5.29033503545547,TERRAIN_BLOCKAGE
P01,46,M014,U05,3934.336422927352,4006.318800063471,71.98237713611934,prep,prep,-5.454177219446137,TERRAIN_BLOCKAGE
P01,47,M014,U05,4271.956245147014,4297.53535384929,25.579108702276244,takeoff,takeoff,-5.29033503545547,TERRAIN_BLOCKAGE
P01,48,M014,U05,4789.754960855868,5116.765276024084,327.01031516821604,cruise,cruise,-5.29033503545547,TERRAIN_BLOCKAGE
P01,49,M015,U04,2117.191582271538,2118.316005360397,1.124423088858748,cruise,descent,-2.512930070723627,TERRAIN_BLOCKAGE
P01,50,M015,U04,2169.755937740288,2171.4855231906645,1.729585450376362,descent,handover_start,-2.508307265209851,TERRAIN_BLOCKAGE
P01,51,M015,U04,2379.755937740288,2388.0044961340086,8.248558393720486,climb,handover_end,-2.508307265209851,TERRAIN_BLOCKAGE
P01,52,M015,U04,2423.55956729758,2438.054011116491,14.494443818910897,climb,cruise,-2.512930070723627,TERRAIN_BLOCKAGE
P01,53,M015,U04,2864.021858448656,2864.247200368398,0.2253419197418225,descent,descent,-5.805216509221793,TERRAIN_BLOCKAGE
P01,54,M016,U03,1983.2532630215985,1986.125486696962,2.872223675363557,takeoff,takeoff,-1.6587909448326457,TERRAIN_BLOCKAGE
P01,55,M016,U03,2500.071961795141,2528.607566433994,28.53560463885333,cruise,handover_start,-3.1823893147237072,TERRAIN_BLOCKAGE
P01,56,M016,U03,2735.363526736547,2763.608008538185,28.244481801637903,climb,cruise,-3.1823893147237072,TERRAIN_BLOCKAGE
P01,57,M017,U02,2157.776498842604,2169.755937740288,11.97943889768476,prep,prep,-2.508307265209851,TERRAIN_BLOCKAGE
P01,58,M017,U02,2494.479023429168,2500.071961795141,5.592938365972714,takeoff,takeoff,-3.1823893147237072,TERRAIN_BLOCKAGE
P01,59,M017,U02,2587.7206371726397,2598.304437553936,10.583800381296896,cruise,cruise,-1.6666112833377298,TERRAIN_BLOCKAGE
P01,60,M017,U02,2835.536305108897,2841.9190518117484,6.382746702850909,handover_start,handover_start,-1.6587909448326457,TERRAIN_BLOCKAGE
P01,61,M017,U02,3044.3609374102152,3057.8664341750523,13.505496764837062,cruise,cruise,-6.20251003921004,TERRAIN_BLOCKAGE
P01,62,M018,U08,4006.318800063471,4138.788162182037,132.4693621185661,cruise,handover_start,-5.454177219446137,TERRAIN_BLOCKAGE
P01,63,M018,U08,4411.045927138666,4592.706557462571,181.66063032390505,climb,cruise,-5.454177219446137,TERRAIN_BLOCKAGE
P01,64,M018,U08,4973.109050367725,5000.059532404327,26.950482036601898,descent,descent,-5.279933477860197,TERRAIN_BLOCKAGE
P01,65,M018,U08,5055.743642553174,5068.302861246493,12.559218693319051,return,return,-3.643776298882216,TERRAIN_BLOCKAGE
P01,66,M019,U07,4410.265545180018,4915.157509764874,504.8919645848555,cruise,descent,-5.452529324587204,TERRAIN_BLOCKAGE
P01,67,M019,U07,5000.059532404327,5014.340210531776,14.280678127448482,descent,handover_start,-5.279933477860197,TERRAIN_BLOCKAGE
P01,68,M019,U07,5396.059532404327,5407.618561047239,11.55902864291238,climb,handover_end,-5.279933477860197,TERRAIN_BLOCKAGE
P01,69,M019,U07,5481.230736017608,5490.306132770049,9.07539675244061,climb,cruise,-5.29033503545547,TERRAIN_BLOCKAGE
P01,70,M020,U08,5454.032334568806,5481.230736017608,27.198401448802542,takeoff,takeoff,-5.29033503545547,TERRAIN_BLOCKAGE
P01,71,M020,U08,5873.495992773569,5952.129424230699,78.63343145713043,cruise,handover_start,-1.2112739881184351,TERRAIN_BLOCKAGE
P01,72,M020,U08,6238.161230200327,6243.029430047711,4.8681998473839485,climb,handover_end,-1.1933744790359526,TERRAIN_BLOCKAGE
P01,73,M020,U08,6264.974965867662,6310.378784916047,45.40381904838523,handover_end,cruise,-5.4290277395881645,TERRAIN_BLOCKAGE
P01,74,M020,U08,6412.882636540842,6421.500216987175,8.617580446332795,cruise,cruise,-1.7791733297825942,TERRAIN_BLOCKAGE
P01,75,M020,U08,6616.442729682015,6619.771694037956,3.328964355941025,descent,descent,-1.775354393232817,TERRAIN_BLOCKAGE
P01,76,M021,U07,6208.19441922484,6234.978598289982,26.78417906514187,prep,prep,-5.433206355480664,TERRAIN_BLOCKAGE
P01,77,M021,U07,7189.847538504215,7333.717161961486,143.8696234572717,cruise,handover_start,-5.805216509221793,TERRAIN_BLOCKAGE
P01,78,M021,U07,7562.817121634098,7663.574808145682,100.75768651158432,climb,cruise,-5.805216509221793,TERRAIN_BLOCKAGE
P01,79,M021,U07,7669.428740289911,7675.449927638259,6.021187348348576,cruise,cruise,-1.0172368927581346,TERRAIN_BLOCKAGE
P01,80,M021,U07,8286.219784988352,8288.159813082975,1.9400280946229032,return,return,-2.512930070723627,TERRAIN_BLOCKAGE
P01,81,M022,U08,7845.890013278288,7921.431135496477,75.54112221818832,cruise,handover_start,-3.1804680444144537,TERRAIN_BLOCKAGE
P01,82,M022,U08,8235.595457614225,8246.759291506145,11.163833891920149,climb,handover_end,-2.508307265209851,TERRAIN_BLOCKAGE
P01,83,M022,U08,8288.159813082975,8311.139960392442,22.9801473094667,climb,cruise,-2.512930070723627,TERRAIN_BLOCKAGE
P01,84,M022,U08,8314.969984944019,8323.48115061419,8.511165670171977,cruise,cruise,-0.8073088573043492,TERRAIN_BLOCKAGE
P01,85,M023,U06,5360.376929284529,5396.059532404327,35.68260311979793,prep,prep,-5.279933477860197,TERRAIN_BLOCKAGE
P01,86,M023,U06,5856.607069430641,6236.335534375788,379.7284649451467,cruise,descent,-5.433206355480664,TERRAIN_BLOCKAGE
P01,87,M023,U06,6236.3454030018665,6236.3454030018665,0.0,descent,descent,-0.4016939074970338,TERRAIN_BLOCKAGE
P01,88,M023,U06,6237.850368478851,6292.901628485375,55.05126000652399,descent,handover_start,-5.4290277395881645,TERRAIN_BLOCKAGE
P01,89,M023,U06,6292.937259791626,6292.937259791626,0.0,handover_start,handover_start,-0.400543965325113,TERRAIN_BLOCKAGE
P01,90,M023,U06,6298.353218341714,6537.795804992779,239.44258665106557,handover_start,cruise,-5.433206355480664,TERRAIN_BLOCKAGE
P01,91,M024,U05,6421.500216987175,6642.504282307647,221.00406532047143,cruise,cruise,-5.4290277395881645,TERRAIN_BLOCKAGE
P01,92,M025,U05,7831.670763464316,7880.074493228528,48.40372976421168,cruise,handover_start,-3.1823893147237072,TERRAIN_BLOCKAGE
P01,93,M025,U05,8036.962328405722,8076.282736132221,39.32040772649907,climb,cruise,-3.1823893147237072,TERRAIN_BLOCKAGE
P01,94,M026,U06,7155.195646925004,7189.847538504215,34.651891579210314,prep,prep,-5.805216509221793,TERRAIN_BLOCKAGE
P01,95,M026,U06,7534.134039322197,7562.817121634098,28.68308231190076,cruise,cruise,-5.801112632033352,TERRAIN_BLOCKAGE
P01,96,M026,U06,7778.231695714877,7831.670763464316,53.43906774943935,handover_start,handover_start,-3.1823893147237072,TERRAIN_BLOCKAGE
P01,97,M026,U06,7907.527558248817,7911.595457614226,4.067899365409176,handover_end,handover_end,-2.508307265209851,TERRAIN_BLOCKAGE
P01,98,M026,U06,7984.409684952132,8036.962328405722,52.55264345358955,cruise,cruise,-3.1804680444144537,TERRAIN_BLOCKAGE
P01,99,M026,U06,8222.788149630624,8235.595457614225,12.807307983601277,return,return,-2.508307265209851,TERRAIN_BLOCKAGE
P02,0,M001,U01,896.2904370069793,897.4240120205493,1.1335750135699527,cruise,descent,-2.512930070723627,TERRAIN_BLOCKAGE
P02,1,M001,U01,897.6068467001575,897.6799805720007,0.073133871843197,descent,descent,-1.208526128322532,TERRAIN_BLOCKAGE
P02,2,M001,U01,903.1467374922818,1130.698352148631,227.5516146563496,descent,handover_end,-5.452529324587204,TERRAIN_BLOCKAGE
P02,3,M001,U01,1131.6298349307292,1132.9785443756414,1.348709444912174,handover_end,handover_end,-1.6666112833377298,TERRAIN_BLOCKAGE
P02,4,M001,U01,1239.6073682641495,1627.5831694632432,387.97580119909344,cruise,descent,-2.7396286930284504,TERRAIN_BLOCKAGE
P02,5,M001,U01,1686.988345704339,1688.299974079148,1.3116283748088335,descent,handover_start,-1.1933744790359526,TERRAIN_BLOCKAGE
P02,6,M001,U01,1694.6499209730634,1694.6499209730634,0.0,handover_start,handover_start,-0.4016939074970338,TERRAIN_BLOCKAGE
P02,7,M001,U01,1694.691559969089,1902.9055660166684,208.21400604757943,handover_start,handover_end,-5.433206355480664,TERRAIN_BLOCKAGE
P02,8,M001,U01,1948.098503988844,1950.8488516134291,2.7503476245854017,climb,cruise,-1.2112739881184351,TERRAIN_BLOCKAGE
P02,9,M002,U02,916.1059091252224,944.5052653007996,28.399356175577168,handover_end,handover_end,-5.454177219446137,TERRAIN_BLOCKAGE
P02,10,M002,U02,998.7180392492656,1401.3673364942158,402.6492972449503,cruise,descent,-5.434226015558778,TERRAIN_BLOCKAGE
P02,11,M002,U02,1446.230483934338,1465.396624019571,19.16614008523288,descent,handover_start,-5.4290277395881645,TERRAIN_BLOCKAGE
P02,12,M002,U02,1656.230483934338,1669.1542385669966,12.923754632658529,climb,handover_end,-5.4290277395881645,TERRAIN_BLOCKAGE
P02,13,M002,U02,1700.4169219226194,1720.750686765747,20.333764843127938,climb,cruise,-5.433206355480664,TERRAIN_BLOCKAGE
P02,14,M003,U07,838.438468484645,853.9951509724783,15.556682487833314,handover_start,handover_start,-1.7791733297825942,TERRAIN_BLOCKAGE
P02,15,M003,U07,1248.6548220564391,1250.1050516777527,1.4502296213133832,handover_end,handover_end,-5.454177219446137,TERRAIN_BLOCKAGE
P02,16,M003,U07,1308.303638070322,1322.7485598746125,14.444921804290516,cruise,cruise,-2.762605430383033,TERRAIN_BLOCKAGE
P02,17,M004,U05,906.05380889805,906.9906749548672,0.93686605681728,cruise,descent,-2.762605430383033,TERRAIN_BLOCKAGE
