endpoint_A,endpoint_B,primary_result,dense_result,min_clearance_m
"(109.072367,23.060084,350.15)","(109.195896,23.223693,290.17)",True,False,
"(109.238235,22.977159,381.04)","(109.119076,22.866528,130.62)",False,True,
"(109.249053,22.988235,512.60)","(109.386153,22.888360,220.65)",False,True,
"(109.267447,22.923629,395.53)","(109.279627,23.068490,714.70)",False,True,
"(109.276630,22.915891,356.62)","(109.273793,23.038606,656.04)",False,True,
"(109.372316,22.988519,339.22)","(109.310357,23.093310,436.12)",False,True,
