pareto_id,sortie_id,uav_id,time,phase,x,y,z,distance_to_G01,los,L_fspl,L_path,L_max,M_C,M_C_LOS,direct_available
P04,M001,U01,0.0,prep,318686.2012849663,2545556.1393078705,127.7,19.999999999999986,1,66.07482474751174,66.07482474751174,122.0,55.92517525248826,55.92517525248826,1
P04,M001,U01,360.0,climb,318686.2012849663,2545556.1393078705,127.7,19.999999999999986,1,66.07482474751174,66.07482474751174,122.0,55.92517525248826,55.92517525248826,1
P04,M001,U01,360.0,prep,318686.2012849663,2545556.1393078705,127.7,19.999999999999986,1,66.07482474751174,66.07482474751174,122.0,55.92517525248826,55.92517525248826,1
P04,M001,U01,360.0,takeoff,318686.2012849663,2545556.1393078705,127.7,19.999999999999986,1,66.07482474751174,66.07482474751174,122.0,55.92517525248826,55.92517525248826,1
P04,M001,U01,454.8864379882813,climb,318686.2012849663,2545556.1393078705,412.35931396484375,264.65931396484376,1,88.50796848242221,88.50796848242221,122.0,33.492031517577786,33.492031517577786,1
P04,M001,U01,454.8864379882813,cruise,318686.2012849663,2545556.1393078705,412.35931396484375,264.65931396484376,1,88.50796848242221,88.50796848242221,122.0,33.492031517577786,33.492031517577786,1
P04,M001,U01,456.4382527669271,cruise,318686.2012849663,2545556.1393078705,417.01475830078124,269.31475830078125,1,88.65942789748432,88.65942789748432,122.0,33.34057210251568,33.34057210251568,1
P04,M001,U01,457.9900675455729,cruise,318686.2012849663,2545556.1393078705,421.6702026367188,273.9702026367188,1,88.8082914531104,88.8082914531104,122.0,33.1917085468896,33.1917085468896,1
P04,M001,U01,459.54188232421876,cruise,318686.2012849663,2545556.1393078705,426.3256469726563,278.6256469726563,1,88.95464663277886,88.95464663277886,122.0,33.04535336722114,33.04535336722114,1
P04,M001,U01,461.09369710286455,cruise,318686.2012849663,2545556.1393078705,430.9810913085938,283.28109130859383,1,89.09857657071213,89.09857657071213,122.0,32.901423429287874,32.901423429287874,1
P04,M001,U01,462.6455118815104,cruise,318686.2012849663,2545556.1393078705,435.6365356445313,287.9365356445313,1,89.2401603354819,89.2401603354819,122.0,32.7598396645181,32.7598396645181,1
P04,M001,U01,1070.7571235026237,cruise,324105.4192386115,2550581.156895364,412.35931396484375,7395.18556468996,0,117.43320635548066,127.43320635548066,122.0,-5.433206355480664,4.566793644519336,0
P04,M001,U01,1070.7571235026237,descent,324105.4192386115,2550581.156895364,412.35931396484375,7395.18556468996,0,117.43320635548066,127.43320635548066,122.0,-5.433206355480664,4.566793644519336,0
P04,M001,U01,1070.8173826885957,descent,324098.95423191483,2550567.6786379586,412.0417259336142,7381.280205343038,0,117.41685867746375,127.41685867746375,122.0,-5.41685867746375,4.58314132253625,0
P04,M001,U01,1070.8776418745674,descent,324092.48922521825,2550554.2003805535,411.72413790238465,7367.378945362952,0,117.40048500653687,127.40048500653687,122.0,-5.400485006536869,4.599514993463131,0
P04,M001,U01,1070.9379010605394,descent,324086.0242185216,2550540.722123148,411.4065498711551,7353.48180799771,0,117.38408528109672,127.38408528109672,122.0,-5.384085281096716,4.615914718903284,0
