pareto_id,sortie_id,uav_id,start_s,end_s,duration_s,phase_start,phase_end,min_margin_db,cause
P01,M001,U01,809.1614003372633,1952.6735065821126,1143.5121062448493,cruise,cruise,-5.434268449936752,TERRAIN_BLOCKAGE
P01,M002,U02,1171.6403334902727,1230.0988487350032,58.458515244730506,cruise,cruise,-1.1011936230591317,TERRAIN_BLOCKAGE
P01,M002,U02,1248.1641088511383,1644.057325684367,395.89321683322873,descent,cruise,-1.2207522279066723,TERRAIN_BLOCKAGE
P01,M003,U05,807.2439655639018,1422.556482434358,615.3125168704562,cruise,cruise,-2.762605430383033,TERRAIN_BLOCKAGE
P01,M004,U06,684.9294036153034,1420.6790692836205,735.7496656683171,cruise,cruise,-5.454177219446137,TERRAIN_BLOCKAGE
P01,M006,U03,792.6092964510069,1202.9708623146255,410.3615658636186,cruise,cruise,-1.6666112833377298,TERRAIN_BLOCKAGE
P01,M007,U06,2470.001633700186,2834.2311259847656,364.22949228457946,cruise,cruise,-1.7791733297825942,TERRAIN_BLOCKAGE
P01,M009,U08,836.8733598094886,1789.3170636205423,952.4437038110536,cruise,cruise,-6.204873602800717,TERRAIN_BLOCKAGE
P01,M010,U05,3872.6744190724226,4713.107651000835,840.4332319284126,cruise,cruise,-5.29033503545547,TERRAIN_BLOCKAGE
P01,M011,U06,4024.207411890528,4649.44256917851,625.235157287982,cruise,cruise,-5.805216509221793,TERRAIN_BLOCKAGE
P01,M012,U06,5926.649201997334,6514.065806111112,587.4166041137778,cruise,cruise,-3.652433563921221,TERRAIN_BLOCKAGE
P01,M013,U04,745.855314875907,1292.9711443375293,547.1158294616223,cruise,cruise,-3.1823893147237072,TERRAIN_BLOCKAGE
P01,M014,U05,5839.683303059287,5860.626357918082,20.94305485879522,cruise,cruise,-0.8077884196582374,TERRAIN_BLOCKAGE
P01,M014,U05,5872.5938178373935,6279.6879238509755,407.09410601358195,cruise,cruise,-2.512930070723627,TERRAIN_BLOCKAGE
P01,M014,U05,6291.655383770287,6312.598438629082,20.94305485879522,cruise,cruise,-0.8077884196582374,TERRAIN_BLOCKAGE
P01,M017,U08,3016.7251051508374,3953.383813177553,936.6587080267154,cruise,cruise,-5.454177219446137,TERRAIN_BLOCKAGE
P01,M019,U08,5189.593339776678,6185.514573210624,995.9212334339463,cruise,cruise,-5.29033503545547,TERRAIN_BLOCKAGE
P01,M020,U04,2502.56368944498,2923.5285106228607,420.9648211778808,cruise,cruise,-1.2112739881184353,TERRAIN_BLOCKAGE
P01,M021,U07,5315.624044076422,6083.1823957410315,767.5583516646093,cruise,cruise,-5.805216509221793,TERRAIN_BLOCKAGE
P01,M022,U07,7355.713579944701,7376.656634803497,20.94305485879522,cruise,cruise,-0.8077884196582374,TERRAIN_BLOCKAGE
P01,M022,U07,7388.624094722808,7931.620015515035,542.9959207922275,cruise,cruise,-2.512930070723627,TERRAIN_BLOCKAGE
P01,M022,U07,7943.587475434347,7964.530530293142,20.94305485879522,cruise,cruise,-0.8077884196582374,TERRAIN_BLOCKAGE
P01,M023,U05,7356.969893492841,7709.584504744934,352.6146112520928,cruise,cruise,-1.6666112833377298,TERRAIN_BLOCKAGE
P01,M024,U06,7641.816884597319,8377.74452427877,735.9276396814521,cruise,cruise,-5.433206355480664,TERRAIN_BLOCKAGE
P01,M025,U02,3173.5320399581838,3564.4968611360646,390.9648211778808,cruise,cruise,-1.2112739881184353,TERRAIN_BLOCKAGE
P01,M027,U06,9404.165880707089,9863.132118088235,458.96623738114613,cruise,cruise,-3.1823893147237072,TERRAIN_BLOCKAGE
