sortie_id,shift_s
M001,-0.0
M002,-8.999994517784216e-06
M003,-2433.1220359403233
M004,-1.7999988808194756e-05
M005,-1766.8095359403233
M006,1733.141445240135
M007,-0.0
M008,1626.170392878965
M009,-1984.9345359403233
M010,-1176.2470359403233
M011,55.391445240135226
M012,2136.9365982161444
M013,-1561.5595359403233
M014,177.76454179379584
M015,2501.802292529118
M016,3891.9053482161444
M017,1733.63544587873
M018,3902.7490982161444
M019,1542.229204878724
M020,2506.36699812804
M021,1461.1776793144672
M022,-1786.9881062200902
M023,1542.2291958787298
M024,4591.42183989341
