relay_id,relay_sortie_id,busy_start_s,return_s,busy_end_s,turnaround_s
R01,Q3E8_G04_006_R001,17.71163788581964,3034.7968430624833,3334.7968430624833,300.0
R02,Q3E8_G04_006_R002,147.97966974075575,2019.5820632507807,2319.5820632507807,300.0
R02,Q3E8_G04_006_R003,2319.5820632507807,4184.852936843234,4484.852936843234,300.0
R01,Q3E8_G04_006_R006,5944.1962023080505,7985.9174338057965,8285.917433805796,300.0
R02,Q3E8_G04_006_R005,4484.852936843234,6725.82699268667,7025.82699268667,300.0
R01,Q3E8_G04_006_R004,3687.918897357682,5644.1962023080505,5944.1962023080505,300.0
R02,Q3E8_G04_006_R007,7091.953346047988,10799.56626868439,11099.56626868439,300.0
R01,Q3E8_G04_006_R008,9711.67830019494,11229.564926319947,11529.564926319947,300.0
R02,Q3E8_G04_006_R009,11099.56626868439,12425.285206717554,12725.285206717554,300.0
R01,Q3E8_G04_006_R010,11529.564926319941,13641.34223127031,13941.34223127031,300.0
