from_id,to_id,max_dem_dense_sample_m,max_dem_cell_walk_m,abs_diff_m
O01,S001,223.05661010742188,223.05661010742188,0.0
O01,S002,258.9542541503906,258.9542541503906,0.0
O01,S003,501.4280090332031,501.4280090332031,0.0
O01,S004,348.2391662597656,348.2391662597656,0.0
O01,S005,276.410888671875,276.410888671875,0.0
O01,S006,316.09783935546875,316.09783935546875,0.0
O01,S007,451.8304748535156,451.8304748535156,0.0
O01,S008,322.9093322753906,322.9093322753906,0.0
O01,S009,243.22891235351562,243.22891235351562,0.0
O01,S010,385.63653564453125,385.63653564453125,0.0
O01,S011,243.34902954101562,243.34902954101562,0.0
O01,S012,362.35931396484375,363.2245788574219,0.865264892578125
O01,S013,347.3786926269531,347.3786926269531,0.0
O01,S014,541.9473876953125,525.5438232421875,16.403564453125
O01,S015,520.8697509765625,521.7992553710938,0.92950439453125
S001,O01,223.05661010742188,221.7563934326172,1.3002166748046875
S001,S002,259.2448425292969,259.2448425292969,0.0
S001,S003,505.94439697265625,505.94439697265625,0.0
S001,S004,358.7777404785156,358.7777404785156,0.0
S001,S005,266.13800048828125,266.13800048828125,0.0
S001,S006,343.9356384277344,343.9356384277344,0.0
S001,S007,389.17535400390625,389.17535400390625,0.0
S001,S008,315.542236328125,315.542236328125,0.0
S001,S009,243.22891235351562,243.22891235351562,0.0
S001,S010,381.0796813964844,379.1865539550781,1.89312744140625
S001,S011,226.38790893554688,226.38790893554688,0.0
S001,S012,385.599609375,385.599609375,0.0
S001,S013,328.3608093261719,328.3608093261719,0.0
S001,S014,542.6727294921875,542.6727294921875,0.0
S001,S015,547.315185546875,547.315185546875,0.0
S002,O01,258.9542541503906,258.9542541503906,0.0
S002,S001,259.2448425292969,259.2448425292969,0.0
S002,S003,571.1314086914062,571.1314086914062,0.0
S002,S004,283.658203125,282.4267883300781,1.231414794921875
S002,S005,356.79864501953125,356.79864501953125,0.0
S002,S006,342.2972106933594,344.2987060546875,2.001495361328125
S002,S007,424.7281799316406,424.7281799316406,0.0
S002,S008,331.8424987792969,331.8424987792969,0.0
S002,S009,277.57415771484375,277.57415771484375,0.0
S002,S010,441.85394287109375,441.85394287109375,0.0
S002,S011,311.78533935546875,311.78533935546875,0.0
S002,S012,357.8567810058594,357.8567810058594,0.0
S002,S013,327.2103271484375,327.2103271484375,0.0
S002,S014,456.09967041015625,451.1219482421875,4.97772216796875
S002,S015,593.7526245117188,593.7526245117188,0.0
S003,O01,501.4280090332031,501.4280090332031,0.0
S003,S001,505.94439697265625,505.94439697265625,0.0
