uav_id,sortie_id,busy_start_s,busy_end_s
U01,M001,1509.4966884125806,3618.5795185884003
U07,M002,1509.4966884125806,3478.7813455967007
U05,M003,1509.4966884125806,3266.190622334492
U02,M004,1509.4966884125806,3236.932011086219
U03,M005,1509.4966884125806,3164.356086734176
U04,M006,1509.4966884125806,3121.6078700775897
U06,M007,1509.4966884125806,2718.598210255738
U06,M008,2718.598210255738,3925.875123077595
U04,M009,3121.6078700775897,5384.261892255125
U05,M010,3266.190622334492,5187.838633507734
U06,M011,3925.875123077595,5827.717430244639
U05,M012,5187.838633507734,6956.127217528184
U03,M013,3164.356086734176,4856.552338352301
U01,M014,3618.5795185884003,5515.840848351435
U02,M015,3236.932011086219,5091.105832642606
U08,M016,1509.4966884125806,2937.6670802915455
U08,M017,2937.6670802915455,5045.479098930254
U07,M018,3478.7813455967007,4972.951737475665
U07,M019,4972.951737475665,6402.511263416012
U08,M020,5045.479098930254,7481.590243267334
U07,M021,6402.511263416012,8178.086711252188
U08,M022,7481.590243267334,9650.651309860497
U07,M023,8178.086711252188,10245.798795844363
U08,M024,9650.651309860497,11395.84646805604
U06,M025,5827.717430244639,7263.094332690978
U05,M026,6956.127217528184,8758.861773498267
U06,M027,7263.094332690978,8710.84974136403
U03,M028,4856.552338352301,6786.956872804458
U02,M029,5091.105832642606,6282.006977907165
U06,M030,8710.84974136403,10149.29198875844
U05,M031,8758.861773498267,9827.285423609868
U07,M032,10245.798795844363,12080.32046498851
