rho,uav_type,service_id,payload_limit_kg,binding_constraint,roundtrip_energy_kwh,energy_margin_kwh,return_soc
0.1,A,S001,25.0,mass,1.3126961049072723,2.7373038950927278,0.7082897544650506
0.1,A,S002,25.0,mass,3.0904181549535057,0.9595818450464941,0.3132404100103321
0.1,A,S003,25.0,mass,3.1568158522602117,0.8931841477397882,0.29848536616439736
0.1,A,S004,25.0,mass,3.266710815706025,0.7832891842939746,0.27406426317643884
0.1,A,S005,25.0,mass,2.244884581101708,1.8051154188982919,0.501136759755176
0.1,A,S006,25.0,mass,1.389703563652124,2.660296436347876,0.6911769858550836
0.1,A,S007,25.0,mass,2.017895792464923,2.032104207535077,0.5515787127855727
0.1,A,S008,25.0,mass,3.3871921605992137,0.6628078394007861,0.24729063097795256
0.1,A,S009,25.0,mass,2.386826189064769,1.663173810935231,0.46959418020782917
0.1,A,S010,25.0,mass,2.070648912866985,1.9793510871330149,0.53985579714067
0.1,A,S011,25.0,mass,1.219592732890757,2.830407267109243,0.7289793926909429
0.1,A,S012,25.0,mass,3.131140320894202,0.9188596791057977,0.30419103980128837
0.1,A,S013,25.0,mass,2.0740896215792444,1.9759103784207555,0.5390911952046124
0.1,A,S014,25.0,mass,2.425600957984785,1.6243990420152148,0.46097756489227004
0.1,A,S015,25.0,mass,2.6192258775659223,1.4307741224340775,0.4179498049853506
0.1,B,S001,30.0,mass,1.2739272592195,2.3260727407805,0.6815181851951251
0.1,B,S002,30.0,mass,2.998731484757008,0.601268515242992,0.25031712881074797
0.1,B,S003,30.0,mass,3.0643940237739073,0.5356059762260927,0.23390149405652316
0.1,B,S004,30.0,mass,3.1698171959520103,0.4301828040479898,0.20754570101199743
0.1,B,S005,30.0,mass,2.1782765840940703,1.4217234159059298,0.4554308539764824
0.1,B,S006,30.0,mass,1.3500429687676934,2.2499570312323067,0.6624892578080767
0.1,B,S007,30.0,mass,1.959741220407135,1.6402587795928651,0.5100646948982163
0.1,B,S008,30.0,mass,3.2871588998491417,0.3128411001508584,0.17821027503771458
0.1,B,S009,30.0,mass,2.316353271218972,1.283646728781028,0.420911682195257
0.1,B,S010,30.0,mass,2.0109619862815107,1.5890380137184894,0.49725950342962233
