type,mass_kg,energy_kwh,budget_kwh
A,0.0,2.893958850749831,3.6
A,0.3125,2.894666963453037,3.6
A,0.625,2.8956972732746227,3.6
A,0.9375,2.8969382109746142,3.6
A,1.25,2.898350385618308,3.6
A,1.5625,2.899911311294613,3.6
A,1.875,2.901606034207452,3.6
A,2.1875,2.9034237566068146,3.6
A,2.5,2.905356266940675,3.6
A,2.8125,2.9073970947459546,3.6
A,3.125,2.9095410092377305,3.6
A,3.4375,2.911783700284964,3.6
A,3.75,2.9141215644088247,3.6
A,4.0625,2.9165515551488705,3.6
A,4.375,2.9190710748766713,3.6
A,4.6875,2.921677894390819,3.6
A,5.0,2.92437009176386,3.6
A,5.3125,2.927146004910831,3.6
A,5.625,2.930004194175995,3.6
A,5.9375,2.9329434123880875,3.6
A,6.25,2.9359625805858993,3.6
A,6.5625,2.9390607681189893,3.6
A,6.875,2.9422371761730153,3.6
A,7.1875,2.9454911240104815,3.6
A,7.5,2.948822037389745,3.6
A,7.8125,2.952229438750004,3.6
A,8.125,2.9557129388419154,3.6
A,8.4375,2.959272229552182,3.6
A,8.75,2.9629070777223787,3.6
A,9.0625,2.966617319802064,3.6
A,9.375,2.9704028572069463,3.6
A,9.6875,2.9742636522769086,3.6
A,10.0,2.9781997247476113,3.6
A,10.3125,2.982211148664458,3.6
A,10.625,2.98629804967977,3.6
A,10.9375,2.9904606026837426,3.6
A,11.25,2.99469902972768,3.6
A,11.5625,2.999013598204489,3.6
A,11.875,3.0034046192567354,3.6
A,12.1875,3.0078724463869855,3.6
A,12.5,3.0124174742488465,3.6
A,12.8125,3.017040137600187,3.6
A,13.125,3.0217409104026105,3.6
A,13.4375,3.0265203050534617,3.6
A,13.75,3.031378871738491,3.6
A,14.0625,3.0363171978949004,3.6
A,14.375,3.0413359077758626,3.6
A,14.6875,3.046435662108763,3.6
A,15.0,3.051617157840446,3.6
A,15.3125,3.056881127963621,3.6
A,15.625,3.0622283414193525,3.6
A,15.9375,3.0676596030712258,3.6
A,16.25,3.073175753747403,3.6
A,16.5625,3.0787776703472525,3.6
A,16.875,3.0844662660097653,3.6
A,17.1875,3.090242490341334,3.6
A,17.5,3.0961073297008728,3.6
A,17.8125,3.1020618075405793,3.6
A,18.125,3.1081069848009526,3.6
A,18.4375,3.1142439603589422,3.6
A,18.75,3.1204738715283775,3.6
A,19.0625,3.1267978946120474,3.6
A,19.375,3.1332172455050156,3.6
A,19.6875,3.1397331803489763,3.6
A,20.0,3.1463469962376163,3.6
A,20.3125,3.153060031973169,3.6
A,20.625,3.1598736688744746,3.6
A,20.9375,3.1667893316370668,3.6
A,21.25,3.173808489245932,3.6
A,21.5625,3.1809326559417723,3.6
A,21.875,3.188163392241721,3.6
A,22.1875,3.1955023060156584,3.6
A,22.5,3.2029510536193646,3.6
A,22.8125,3.2105113410859527,3.6
A,23.125,3.218184925377142,3.6
A,23.4375,3.2259736156960814,3.6
A,23.75,3.23387927486362,3.6
A,24.0625,3.2419038207600224,3.6
