type,mass_kg,energy_kwh,budget_kwh
A,24.375,3.250049227834359,3.6
A,24.6875,3.258317528683895,3.6
A,25.0,3.266710815706025,3.6
B,0.0,2.31253208331338,3.2
B,0.375,2.313576417892457,3.2
B,0.75,2.315169975753893,3.2
B,1.125,2.31712429250108,3.2
B,1.5,2.319373671454075,3.2
B,1.875,2.3218811852650187,3.2
B,2.25,2.3246227388910885,3.2
B,2.625,2.327581331008514,3.2
B,3.0,2.3307443870779982,3.2
B,3.375,2.3341023248733936,3.2
B,3.75,2.337647704489317,3.2
B,4.125,2.341374688520017,3.2
B,4.5,2.345278680862849,3.2
B,4.875,2.3493560750256677,3.2
B,5.25,2.353604072974899,3.2
B,5.625,2.3580205512977357,3.2
B,6.0,2.3626039601863056,3.2
B,6.375,2.3673532458513997,3.2
B,6.75,2.372267790079838,3.2
B,7.125,2.377347362611407,3.2
B,7.5,2.3825920832893193,3.2
B,7.875,2.3880023917936724,3.2
B,8.25,2.3935790233538414,3.2
B,8.625,2.399322989246474,3.2
B,9.0,2.405235561178886,3.2
B,9.375,2.411318258870578,3.2
B,9.75,2.41757284030262,3.2
B,10.125,2.4240012942222693,3.2
B,10.5,2.4306058345793895,3.2
B,10.875,2.437388896639842,3.2
B,11.25,2.4443531345743965,3.2
B,11.625,2.451501420363755,3.2
B,12.0,2.458836843893799,3.2
B,12.375,2.4663627141422335,3.2
B,12.75,2.4740825613798734,3.2
B,13.125,2.4820001403281404,3.2
B,13.5,2.4901194342296735,3.2
B,13.875,2.4984446598020575,3.2
B,14.25,2.5069802730560014,3.2
B,14.625,2.5157309759692605,3.2
B,15.0,2.5247017240165857,3.2
B,15.375,2.5338977345641283,3.2
B,15.75,2.5433244961443844,3.2
B,16.125,2.5529877786350044,3.2
B,16.5,2.5628936443718136,3.2
B,16.875,2.5730484602333306,3.2
B,17.25,2.583458910741008,3.2
B,17.625,2.5941320122264964,3.2
B,18.0,2.6050751281245477,3.2
B,18.375,2.6162959854578016,3.2
B,18.75,2.6278026925877307,3.2
B,19.125,2.6396037583146232,3.2
B,19.5,2.651708112418649,3.2
B,19.875,2.664125127743969,3.2
B,20.25,2.676864643938637,3.2
B,20.625,2.6899369929747197,3.2
B,21.0,2.7033530265859307,3.2
B,21.375,2.717124145774137,3.2
B,21.75,2.7312623325515784,3.2
B,22.125,2.7457801841027965,3.2
B,22.5,2.7606909495691396,3.2
B,22.875,2.776008569679767,3.2
B,23.25,2.79174771947634,3.2
B,23.625,2.807923854404594,3.2
B,24.0,2.8245532600749126,3.2
B,24.375,2.8416531060263805,3.2
B,24.75,2.859241503864994,3.2
B,25.125,2.8773375701872745,3.2
B,25.5,2.895961494746092,3.2
B,25.875,2.915134614366771,3.2
B,26.25,2.9348794931792628,3.2
B,26.625,2.955220009797344,3.2
B,27.0,2.9761814521494854,3.2
B,27.375,2.9977906207494387,3.2
B,27.75,3.020075941289309,3.2
B,28.125,3.0430675875454427,3.2
B,28.5,3.0667976157100645,3.2
B,28.875,3.091300111401426,3.2
B,29.25,3.1166113507651216,3.2
B,29.625,3.1427699772624527,3.2
B,30.0,3.1698171959520103,3.2
C,0.0,4.864015362435362,6.4
C,1.0,4.866826584474375,6.4
C,2.0,4.871125721224797,6.4
C,3.0,4.876404440642261,6.4
C,4.0,4.8824866653803145,6.4
C,5.0,4.889274210233603,6.4
C,6.0,4.896703661639609,6.4
C,7.0,4.904730854900974,6.4
C,8.0,4.913323663453374,6.4
C,9.0,4.92245812326663,6.4
C,10.0,4.932116138956976,6.4
C,11.0,4.942284029376531,6.4
C,12.0,4.952951556760356,6.4
C,13.0,4.964111252435295,6.4
C,14.0,4.975757933699692,6.4
C,15.0,4.987888349065917,6.4
C,16.0,5.000500912692933,6.4
C,17.0,5.013595502636767,6.4
C,18.0,5.027173305954253,6.4
C,19.0,5.041236699006065,6.4
C,20.0,5.0557891547659235,6.4
C,21.0,5.0708351712608195,6.4
C,22.0,5.08638021685762,6.4
C,23.0,5.102430689226881,6.4
C,24.0,5.118993885612568,6.4
C,25.0,5.136077982617614,6.4
C,26.0,5.153692024146157,6.4
C,27.0,5.171845916467892,6.4
C,28.0,5.190550429618774,6.4
C,29.0,5.20981720454585,6.4
C,30.0,5.229658765557521,6.4
C,31.0,5.250088537764235,6.4
C,32.0,5.271120869296375,6.4
C,33.0,5.29277105817166,6.4
C,34.0,5.315055383757837,6.4
C,35.0,5.3379911428412115,6.4
C,36.0,5.361596690370105,6.4
C,37.0,5.385891484996672,6.4
C,38.0,5.410896139592303,6.4
C,39.0,5.436632476962423,6.4
C,40.0,5.463123591037133,6.4
C,41.0,5.490393913865848,6.4
C,42.0,5.518469288797766,6.4
C,43.0,5.547377050286865,6.4
C,44.0,5.577146110820827,6.4
C,45.0,5.607807055538981,6.4
C,46.0,5.6393922451761425,6.4
C,47.0,5.671935928047971,6.4
C,48.0,5.705474361880738,6.4
C,49.0,5.740045946385296,6.4
C,50.0,5.7756913675833,6.4
C,51.0,5.812453755015043,6.4
C,52.0,5.850378853094641,6.4
C,53.0,5.889515208032187,6.4
C,54.0,5.9299143719164285,6.4
C,55.0,5.971631125748752,6.4
C,56.0,6.014723723443454,6.4
C,57.0,6.059254159064594,6.4
C,58.0,6.10528845986131,6.4
C,59.0,6.152897007997176,6.4
C,60.0,6.202154894251879,6.4
C,61.0,6.253142307413602,6.4
C,62.0,6.305944963587526,6.4
C,63.0,6.360654580231705,6.4
C,64.0,6.417369400409832,6.4
C,65.0,6.476194773537831,6.4
C,66.0,6.537243799817654,6.4
C,67.0,6.600638046621073,6.4
C,68.0,6.666508346337558,6.4
C,69.0,6.734995686668743,6.4
C,70.0,6.806252206079934,6.4
C,71.0,6.880442309159058,6.4
C,72.0,6.957743919048642,6.4
C,73.0,7.038349886986026,6.4
C,74.0,7.122469582407199,6.4
C,75.0,7.210330691161079,6.4
C,76.0,7.302181254293002,6.4
C,77.0,7.398291985775661,6.4
C,78.0,7.49895891472814,6.4
C,79.0,7.604506406365205,6.4
C,80.0,7.715290626537049,6.4
