pareto_id,parent_gap_id,transport_sortie_id,depth,old_atomic_task_id,start_s,end_s,origin,source,merged_from
P01,P01_G000,M001,0,P01_G000_A00,809.1614003372633,1952.6735065821129,OLD_UNRESOLVED,E52_MERGE_BACK,"['P01_G000_A00', 'P01_G000_A00', 'P01_G000_A00', 'P01_G000_A00', 'P01_G000_A00', 'P01_G000_A00', 'P01_G000_A00', 'P01_G000_A00', 'P01_G000_A00', 'P01_G000_A00', 'P01_G000_A00', 'P01_G000_A01', 'P01_G000_A02']"
P01,P01_G001,M002,0,P01_G001_A00,1171.6403334902727,1230.0988487350032,OLD_RESOLVED,E5_REVALIDATED,
P01,P01_G002,M002,0,P01_G002_A00,1248.1641088511385,1644.057325684367,OLD_RESOLVED,E52_EXISTING_SITE,
P01,P01_G003,M003,0,P01_G003_A00,807.2439655639018,1422.556482434358,OLD_RESOLVED,E52_NEW_GRID,
P01,P01_G004,M004,0,P01_G004_A00,684.9294036153034,1420.6790692836205,OLD_RESOLVED,E52_EXISTING_SITE,
P01,P01_G005,M006,0,P01_G005_A00,792.6092964510069,1202.9708623146255,OLD_RESOLVED,E52_MERGE_BACK,"['P01_G005_A00', 'P01_G005_A01', 'P01_G005_A01', 'P01_G005_A01', 'P01_G005_A01', 'P01_G005_A02']"
P01,P01_G006,M007,0,P01_G006_A00,2470.001633700186,2834.2311259847656,OLD_RESOLVED,E52_EXISTING_SITE,
P01,P01_G007,M009,0,P01_G007_A00,836.8733598094886,1789.3170636205425,OLD_RESOLVED,E52_NEW_GRID,
P01,P01_G008,M010,0,P01_G008_A00,3872.674419072423,4713.107651000835,OLD_RESOLVED,E5_REVALIDATED,
P01,P01_G009,M011,0,P01_G009_A00,4024.207411890528,4649.44256917851,OLD_RESOLVED,E52_EXISTING_SITE,
P01,P01_G010,M012,0,P01_G010_A00,5926.649201997334,6514.065806111112,OLD_RESOLVED,E5_REVALIDATED,
P01,P01_G011,M013,0,P01_G011_A00,745.855314875907,1292.9711443375293,OLD_RESOLVED,E5_REVALIDATED,
P01,P01_G012,M014,0,P01_G012_A00,5839.683303059287,5860.626357918082,OLD_RESOLVED,E5_REVALIDATED,
P01,P01_G013,M014,0,P01_G013_A00,5872.5938178373935,6279.687923850976,OLD_RESOLVED,E52_EXISTING_SITE,
P01,P01_G014,M014,0,P01_G014_A00,6291.655383770287,6312.598438629082,OLD_RESOLVED,E5_REVALIDATED,
