atomic_task_id,site_id,min_access_margin_025s_db,delta_from_05s_db,valid
P01_G000_E52_A000,E52_4513f74e4ba51c209cccc792,7.528195666308719,0.0,True
P01_G001_E52_A000,E52_bfffb2993ede6e2e2bd9340b,1.9124442496521539,2.220446049250313e-16,True
P01_G001_E52_A000,E52_50c718ca7f326f764494c89d,1.9034872651250652,4.440892098500626e-16,True
P01_G001_E52_A000,E52_b6789310c1ab16898a769b78,1.6723371312954924,0.0,True
P01_G002_E52_A000,E52_c10a50247c57c0340b451298,23.058866510073486,-3.552713678800501e-15,True
P01_G003_E52_A000,E52_7ccd1e182a1b2540fd645bfb,17.826951235448703,0.0,True
P01_G004_E52_A000,E52_96da4f081c74d8211b4b244f,6.937264214523168,0.0,True
P01_G005_E52_A000,E52_beb70ec57fd2d66bf65b827f,13.06551082853818,0.0,True
P01_G006_E52_A000,E52_4d215302190bc5bfb29bf912,9.713639065507849,0.0,True
P01_G007_E52_A000,E52_1ef47ef68c1879e18ddbb164,1.8109249337023954,-2.220446049250313e-16,True
P01_G008_E52_A000,E52_dd12fb0cc4aee52816704b73,9.266012342456989,1.7763568394002505e-15,True
P01_G009_E52_A000,E52_b677873645e212a13901ede2,1.2512697614083237,0.0,True
P01_G010_E52_A000,E52_b8aeee13ee5f313ffdb298e7,8.471019933434604,0.0,True
P01_G010_E52_A000,E52_60b0dc656c777ee2cc2279b1,8.341150270762157,0.0,True
P01_G011_E52_A000,E52_a77602565c04dca5831f9b7a,7.81446751050494,0.0,True
P01_G011_E52_A000,E52_c76d93c5902d0dc017f7065c,7.454794546037789,0.0,True
P01_G012_E52_A000,E52_06eb0baa948af7ff52881bcf,6.231702511254468,0.0,True
P01_G012_E52_A000,E52_74b3fb0a4920873efc33101b,5.991923300187651,0.0,True
P01_G012_E52_A000,E52_47db2d0d55c92154c779a4c9,5.962940531927728,0.0,True
P01_G013_E52_A000,E52_b6789310c1ab16898a769b78,15.706200065217104,0.0,True
P01_G014_E52_A000,E52_d22cbe82615c6d2ee0ebf49f,7.864233650677548,0.0,True
P01_G014_E52_A000,E52_ea76d341ab82f2ebc1fa1efe,7.601570141040625,0.0,True
P01_G014_E52_A000,E52_de2c36302e014a6d0284c896,7.557781310666783,0.0,True
P01_G015_E52_A000,E52_96da4f081c74d8211b4b244f,6.937264214523168,0.0,True
P01_G016_E52_A000,E52_c117f06f984d58b2275e6c48,9.501200509022283,-1.7763568394002505e-15,True
P01_G017_E52_A000,E52_e0cd6bab1a22c4530d9a254c,0.9640367798385512,0.0,True
P01_G017_E52_A000,E52_afb1e3673ff3adbe9c45b8fc,0.7145260575741048,0.0,True
P01_G017_E52_A000,E52_f2fabdd802684ffd17ed2273,0.6936377613534717,0.0,True
P01_G018_E52_A000,E52_b677873645e212a13901ede2,1.2512697614083237,0.0,True
P01_G019_E52_A000,E52_b60e4d2a4cdcd5801a5d757f,7.482025772350141,0.0,True
P01_G019_E52_A000,E52_326bd9096774308657b14836,7.2143663517743875,0.0,True
P01_G019_E52_A000,E52_c0294c7ff44d44fc4ede8d97,7.161390638552078,0.0,True
